facility_name,facility_name_short,population_gender,capacity,county,location,postal_code_location,latitude,longitude
Airway Heights Corrections Center,AHCC,male,2258,Spokane County,Airway Heights,99001,47.644611,-117.593269
Cedar Creek Corrections Center,CCCC,male,480,Thurston County,Littlerock,98556,46.902771,-123.016777
Clallam Bay Corrections Center,CBCC,male,858,Clallam County,Clallam Bay,98326,48.17457,-124.30641
Coyote Ridge Corrections Center,CRCC,male,2468,Franklin County,Connell,99326,46.664791,-118.85997
Larch Corrections Center,LCC,male,240,Clark County,Yacolt,98675,45.73188669,-122.3423189
Mission Creek Corrections Center for Women,MCCCW,female,321,Mason County,Belfair,98528,47.48465201,-122.8643859
Monroe Correctional Complex,MCC,male,2400,Snohomish County,Monroe,98272,47.84427687,-122.0031812
Olympic Corrections Center,OCC,male,272,Clallam County,Forks,98331,47.71853062,-124.1363479
Stafford Creek Corrections Center,SCCC,male,1936,Grays Harbor County,Aberdeen,98520,46.92458613,-123.9209041
Washington Corrections Center,WCC,male,1268,Mason County,Shelton,98584,47.23697984,-123.1932215
Washington Corrections Center for Women,WCCW,female,738,Pierce County,Gig Harbor,98332,47.34655315,-122.6123838
Washington State Penitentiary,WSP,male,2439,Walla Walla County,Walla Walla,99362,46.07797821,-118.3568689
