"","zcta","pop_size","area_m2","pop_density_per_km2","pop_size_quartile","pop_density_quartile"
"1","83856",6429,NA,NA,3,NA
"2","98001",36073,48993011.7135143,736.288681555978,4,4
"3","98002",38474,18840559.3193846,2042.08374856552,4,4
"4","98003",51751,30402270.1286591,1702.20841341766,4,4
"5","98004",39136,22331419.0176368,1752.50842631592,4,4
"6","98005",20961,19479065.9606535,1076.07829052686,3,4
"7","98006",40871,29623015.5018684,1379.70423697824,4,4
"8","98007",29476,11376754.8774615,2590.89699281427,4,4
"9","98008",26518,21708144.8724056,1221.56914632114,4,4
"10","98010",5699,41606262.0292449,136.974573586884,3,3
"11","98011",27897,21240722.4253734,1313.37340799083,4,4
"12","98012",74956,39727265.4144418,1886.76464936728,4,4
"13","98014",7651,121966343.579563,62.7304203393534,3,3
"14","98019",12284,200284731.387905,61.3326832998006,3,3
"15","98020",20236,15842374.801143,1277.33374913842,3,4
"16","98021",34001,26192248.0786941,1298.13217627768,4,4
"17","98022",22874,1058158596.60608,21.6167974000926,3,2
"18","98023",51713,30381741.3439669,1702.10783557569,4,4
"19","98024",5141,63296791.3619754,81.2205467193457,3,3
"20","98025",40,NA,NA,1,NA
"21","98026",38610,27181748.1338324,1420.43844310157,4,4
"22","98027",29089,147126260.567862,197.714533678253,4,3
"23","98028",23914,16566259.4817249,1443.53648609577,4,4
"24","98029",31432,23228007.034643,1353.19401070963,4,4
"25","98030",38933,18689057.8136781,2083.19757946844,4,4
"26","98031",43055,19683271.6159723,2187.39043183565,4,4
"27","98032",38744,44102181.044672,878.505304777453,4,4
"28","98033",41763,28595855.0084369,1460.45641886484,4,4
"29","98034",51464,29511889.7846914,1743.8395296087,4,4
"30","98036",42248,25097559.3655067,1683.35093403801,4,4
"31","98037",29584,14916532.513197,1983.30275309134,4,4
"32","98038",37487,173202073.893418,216.435052752706,4,3
"33","98039",2915,15177797.829192,192.056847297931,2,3
"34","98040",25748,33411782.42209,770.626351947535,4,4
"35","98042",49031,76725853.8796838,639.041438064502,4,4
"36","98043",21285,10849782.3057453,1961.79051341233,3,4
"37","98045",15749,888536421.696087,17.7246532786326,3,2
"38","98047",6966,6347899.59586884,1097.37085390157,3,4
"39","98050",223,8568549.07006177,26.0254096903237,1,2
"40","98051",3802,134011212.997556,28.3707602890613,2,2
"41","98052",77176,54327132.5958578,1420.57930010987,4,4
"42","98053",22523,73923980.3278837,304.677858255212,3,3
"43","98055",24458,12623924.0760142,1937.43243802225,4,4
"44","98056",36344,23422092.1038553,1551.69742475813,4,4
"45","98057",13493,15957524.4988325,845.55721665896,3,4
"46","98058",43630,51167524.1762441,852.689292718532,4,4
"47","98059",41672,51897889.4946837,802.961361353023,4,4
"48","98065",16292,194129083.220214,83.9235406140504,3,3
"49","98068",530,NA,NA,1,NA
"50","98070",11055,128859648.296223,85.7910148457547,3,3
"51","98072",24939,47016586.436576,530.429831047858,4,3
"52","98074",30534,31497232.3888981,969.418507092782,4,4
"53","98075",26022,29055734.0622678,895.589144099186,4,4
"54","98077",13522,45458958.1207829,297.455123456031,3,3
"55","98087",40711,14905341.2397419,2731.30278235112,4,4
"56","98092",50258,117427952.073867,427.990091902357,4,3
"57","98101",16237,1615796.1421911,10048.9161819522,3,4
"58","98102",25066,4028112.56339417,6222.76552740594,4,4
"59","98103",53056,13710416.8577591,3869.7583414449,4,4
"60","98104",16157,2256767.98129973,7159.35361272486,3,4
"61","98105",49151,16787960.015861,2927.75298211115,4,4
"62","98106",26295,15081415.6127639,1743.53659332521,4,4
"63","98107",28557,6408737.96961411,4455.94751032075,4,4
"64","98108",25009,20361498.7628858,1228.24946686074,4,4
"65","98109",34551,6268856.4227096,5511.53155698946,4,4
"66","98110",24825,101007084.842923,245.774838850222,4,3
"67","98112",23152,12014133.9313199,1927.06358463714,4,4
"68","98115",54322,22011837.7533941,2467.85391608767,4,4
"69","98116",27691,9537372.34678996,2903.42024963722,4,4
"70","98117",35608,11782050.7019204,3022.22430550193,4,4
"71","98118",47504,23247710.1921934,2043.38404114965,4,4
"72","98119",26238,7903652.25942192,3319.73107353272,4,4
"73","98121",21411,1687142.34549213,12690.6897080783,3,4
"74","98122",41646,9568766.79112752,4352.28498186575,4,4
"75","98125",42965,16700582.038126,2572.66482700511,4,4
"76","98126",23727,9738792.18551557,2436.33908066023,4,4
"77","98133",50720,18562161.0254815,2732.44047017873,4,4
"78","98134",1216,10626180.6907988,114.434342439982,2,3
"79","98136",16424,8117485.58475565,2023.28662348889,3,4
"80","98144",32178,13516147.8386429,2380.70790465923,4,4
"81","98146",28845,13805445.7763446,2089.39287200891,4,4
"82","98148",11092,7977733.96363799,1390.36975293443,3,4
"83","98154",0,9146.68379813315,0,1,1
"84","98155",35948,21315171.4147749,1686.49828333457,4,4
"85","98158",0,5900290.92862907,0,1,1
"86","98164",176,NA,NA,1,NA
"87","98166",22152,18721604.9306644,1183.23189075083,3,4
"88","98168",36389,23452407.1031048,1551.61045260819,4,4
"89","98174",0,NA,NA,1,NA
"90","98177",20160,18321287.7953805,1100.35933200521,3,4
"91","98178",26122,15177528.0816855,1721.09712855817,4,4
"92","98188",27851,20260165.826331,1374.66791924297,4,4
"93","98195",3710,233076.094613373,15917.5483275286,2,4
"94","98198",38727,22474496.338385,1723.15318736895,4,4
"95","98199",22549,14734906.6419402,1530.31169778968,3,4
"96","98201",30421,26225177.9442872,1159.99212911449,4,4
"97","98203",37491,30010659.6578785,1249.25611190815,4,4
"98","98204",44810,20791210.3777319,2155.23767909121,4,4
"99","98207",741,785918.020205992,942.846430478565,1,4
"100","98208",60019,42493879.4793922,1412.41516979185,4,4
"101","98220",612,53164715.6675068,11.5113942079077,1,2
"102","98221",22853,172157945.238319,132.744381726702,3,3
"103","98222",41,NA,NA,1,NA
"104","98223",45139,832629934.77171,54.2125596437704,4,3
"105","98224",298,NA,NA,1,NA
"106","98225",49078,38736947.9729687,1266.95577654304,4,4
"107","98226",47011,310312355.67713,151.495740146787,4,3
"108","98229",33664,140407787.953646,239.758780411197,4,3
"109","98230",18754,125230053.104762,149.756384630063,3,3
"110","98232",4053,143600972.769458,28.2240427890891,2,2
"111","98233",16034,88405030.1160496,181.369770237645,3,3
"112","98235",436,79401.3426449534,5491.0910253696,1,4
"113","98236",6157,84847687.8931919,72.56532444055,3,3
"114","98237",4304,864264601.170385,4.97995636309937,2,1
"115","98238",83,563305.921293571,147.344447950058,1,3
"116","98239",7394,110339831.471186,67.0111590838425,3,3
"117","98240",3118,53645743.5442096,58.1220390286966,2,3
"118","98241",2344,1065818113.08087,2.19924954476932,2,1
"119","98243",340,NA,NA,1,NA
"120","98244",3134,1277564923.52472,2.45310429418609,2,1
"121","98245",4372,113678468.428171,38.4593499582774,2,2
"122","98247",9067,168076206.047611,53.9457678943063,3,2
"123","98248",26784,189450225.464841,141.377503955363,4,3
"124","98249",5056,64115449.5854571,78.8577485253542,3,3
"125","98250",8632,278973951.663433,30.9419569408905,3,2
"126","98251",5071,401196437.607738,12.6396934884005,3,2
"127","98252",10645,697797079.793492,15.2551512585153,3,2
"128","98253",2037,48010442.6103843,42.4282695439973,2,2
"129","98255",213,1337182.06237777,159.290201381586,1,3
"130","98256",446,219435495.603477,2.03248794719123,1,1
"131","98257",4467,53142490.0640616,84.0570322281694,2,3
"132","98258",51995,79360866.7942407,655.171775464697,4,4
"133","98260",5844,85361496.9740371,68.4617796918143,3,3
"134","98261",2752,140919009.512504,19.528947936267,2,2
"135","98262",934,24782905.5997502,37.6872677919337,2,2
"136","98263",186,659083.898934452,282.209898164267,1,3
"137","98264",23170,150233087.227134,154.227011024341,4,3
"138","98266",4097,62774335.1786636,65.2655259245586,2,3
"139","98267",545,905460422.272905,0.601903723888814,1,1
"140","98270",51969,37500980.1923145,1385.80377722102,4,4
"141","98271",32068,133566824.618959,240.089558851788,4,3
"142","98272",31127,284828154.661666,109.283438068032,4,3
"143","98273",31243,230383878.078645,135.612787928393,4,3
"144","98274",18949,372199650.684317,50.9108484254643,3,2
"145","98275",21642,22311709.6099526,969.98394019731,3,4
"146","98276",1434,514483.193773776,2787.26305806317,2,4
"147","98277",41517,184205153.182256,225.384574116243,4,3
"148","98278",1496,17335851.3661938,86.2951561131464,2,3
"149","98279",651,60125769.9196916,10.8273041803793,1,2
"150","98280",474,NA,NA,1,NA
"151","98281",1191,17043220.4640847,69.8811590514715,2,3
"152","98282",17356,146958989.478931,118.100975391426,3,3
"153","98283",473,1487265895.8343,0.318033245652193,1,1
"154","98284",27293,749249463.138286,36.4271198616296,4,2
"155","98286",253,44186965.2757646,5.72567041934342,1,1
"156","98288",344,558494707.753934,0.615941378179652,1,1
"157","98290",37535,314081744.943694,119.507104772132,4,3
"158","98292",24098,207616816.807416,116.069595760892,4,3
"159","98294",7494,155721589.25363,48.1243483059644,3,2
"160","98295",2899,75176567.1958404,38.5625482532063,2,2
"161","98296",27713,89860657.5800262,308.39970178629,4,3
"162","98297",142,NA,NA,1,NA
"163","98303",1302,55133326.188482,23.6154806903706,2,2
"164","98304",810,901344727.497929,0.898657278717882,2,1
"165","98305",481,313181885.244165,1.53584872772893,1,1
"166","98310",21580,22360631.5815618,965.089019122094,3,4
"167","98311",28059,37633865.0933367,745.578481785226,4,4
"168","98312",33405,174383028.985151,191.561072166285,4,3
"169","98314",991,3706922.07528431,267.337694149935,2,3
"170","98315",5482,31731612.0756846,172.761471649301,3,3
"171","98320",1341,257053950.274435,5.21680370431314,2,1
"172","98321",16924,94523623.3011486,179.045189011437,3,3
"173","98323",877,641200012.30243,1.36774794630907,2,1
"174","98325",1837,78510272.9292843,23.3982118703704,2,2
"175","98326",1374,786782417.861283,1.74635320872441,2,1
"176","98327",10222,23493456.410078,435.099877241351,3,3
"177","98328",10727,561806277.648072,19.0937702670522,3,2
"178","98329",10960,81088097.601196,135.161636839762,3,3
"179","98330",76,17058466.7423637,4.45526559613114,1,1
"180","98331",5952,2147382455.07948,2.77174659126089,3,1
"181","98332",20704,62666266.9533903,330.385086052742,3,3
"182","98333",3921,38451645.5325186,101.972228904586,2,3
"183","98335",27307,84630949.5250725,322.65973799467,4,3
"184","98336",906,179276686.902727,5.05364091479213,2,1
"185","98337",9653,4476069.45230598,2156.57958457883,3,4
"186","98338",30147,140222143.819215,214.99457345958,4,3
"187","98339",3805,17541245.0562844,216.917327577999,2,3
"188","98340",2707,30045913.5412662,90.0954466331037,2,3
"189","98342",1571,8334916.73851619,188.484186379488,2,3
"190","98345",576,1737290.87072073,331.550697530023,1,3
"191","98346",10402,84352853.4655478,123.315330455875,3,3
"192","98349",5000,108770861.426081,45.968193452232,3,2
"193","98350",404,8529444.41562852,47.3653359250164,1,2
"194","98351",1330,50444417.6632874,26.3656527641502,2,2
"195","98353",25,5079680.11071045,4.92156975540404,1,1
"196","98354",8264,6317856.45117261,1308.0385830017,3,4
"197","98355",626,494199462.392386,1.26669502425109,1,1
"198","98356",2179,276582644.629505,7.87829620661436,2,2
"199","98357",1708,110286693.74307,15.4869090914906,2,2
"200","98358",995,36564264.6171724,27.2123618625355,2,2
"201","98359",5358,39432369.7211636,135.878214722772,3,3
"202","98360",15332,183954430.663904,83.3467285602513,3,3
"203","98361",1000,1195817663.58912,0.83624789167155,2,1
"204","98362",23571,567446939.8161,41.5386855511794,4,2
"205","98363",14086,1666861659.93795,8.45061131259351,3,2
"206","98364",72,NA,NA,1,NA
"207","98365",5058,109412515.555426,46.2287150087296,3,2
"208","98366",36969,74332402.5167141,497.347035052275,4,3
"209","98367",30981,212765174.218149,145.611236020398,4,3
"210","98368",16567,164169637.810426,100.913909666602,3,3
"211","98370",32857,172179965.102844,190.829403295408,4,3
"212","98371",23965,30081710.2855632,796.663479985087,4,4
"213","98372",26652,35663936.8894096,747.309532389687,4,4
"214","98373",28165,24430040.8956274,1152.88386623377,4,4
"215","98374",45367,41462848.715459,1094.16022790266,4,4
"216","98375",33316,25178772.4723444,1323.17808727941,4,4
"217","98376",2130,341584014.135597,6.23565480776412,2,1
"218","98377",2103,559037803.115476,3.76182073605781,2,1
"219","98380",5297,123608712.163907,42.8529664881235,3,2
"220","98381",318,NA,NA,1,NA
"221","98382",30505,444734512.864219,68.5914834977367,4,3
"222","98383",21565,50570033.6301236,426.438316369917,3,3
"223","98385",455,1250495.06350794,363.855894579556,1,3
"224","98387",51630,74502489.5334962,692.99697665522,4,4
"225","98388",7096,53806723.7452948,131.8794289277,3,3
"226","98390",11727,25561478.9093319,458.776271967533,3,3
"227","98391",56427,102450749.526976,550.771958824394,4,3
"228","98392",3092,5111770.30233588,604.878509229392,2,4
"229","98394",1194,16777192.4435288,71.1680457870973,2,3
"230","98396",649,35607527.7901205,18.2264830017227,1,2
"231","98402",8053,2999894.89139991,2684.42738546818,3,4
"232","98403",8341,2842675.41646075,2934.2076663768,3,4
"233","98404",35172,19765877.8779034,1779.43019871226,4,4
"234","98405",24617,10740119.3639688,2292.06018720664,4,4
"235","98406",22768,12096492.3345807,1882.19852253468,3,4
"236","98407",21931,18805231.1416597,1166.21805043468,3,4
"237","98408",20566,8872572.65239499,2317.92973759968,3,4
"238","98409",27840,18424700.5072224,1511.01506312609,4,4
"239","98416",1478,269838.14876071,5477.357470721,2,4
"240","98418",10371,4360138.0980782,2378.59438547857,3,4
"241","98421",1239,21443933.4317045,57.7785789135198,2,3
"242","98422",21343,17567878.7335498,1214.88771204008,3,4
"243","98424",12132,16668687.7607627,727.831739014164,3,4
"244","98430",0,NA,NA,1,NA
"245","98433",20814,54853168.7420623,379.449364135631,3,3
"246","98438",582,2187500.52924516,266.057078487122,1,3
"247","98439",5474,22631827.4876233,241.871762366233,3,3
"248","98443",5733,13307033.9920956,430.824780593888,3,3
"249","98444",36885,17536126.0228455,2103.37220158816,4,4
"250","98445",33927,27030986.1619791,1255.11514070177,4,4
"251","98446",12800,28495215.8440232,449.198211730155,3,3
"252","98447",1053,149775.588884392,7030.51817618144,2,4
"253","98465",7524,6038216.47531072,1246.06330872111,3,4
"254","98466",29769,17600689.7457086,1691.35417021133,4,4
"255","98467",16512,21125682.2887226,781.607891964489,3,4
"256","98498",29982,24865961.4561009,1205.74465028956,4,4
"257","98499",33188,25574025.6248984,1297.72295088689,4,4
"258","98501",45274,92534771.9432855,489.264727725794,4,3
"259","98502",35698,184514060.246447,193.470350998292,4,3
"260","98503",40346,31767415.7326862,1270.04350430958,4,4
"261","98505",561,NA,NA,1,NA
"262","98506",19198,78117741.3393406,245.757233515042,3,3
"263","98512",31422,394857790.471304,79.5780170944444,4,3
"264","98513",36059,156485859.882956,230.42976551984,4,3
"265","98516",29443,110157216.668749,267.281626119308,4,3
"266","98520",24086,692934357.295069,34.7594252564151,4,2
"267","98524",3551,43118105.6140957,82.3551950955643,2,3
"268","98526",276,243426558.709852,1.1338121914995,1,1
"269","98527",332,59444175.3100559,5.58507201535416,1,1
"270","98528",11052,222613867.006851,49.6465029272406,3,2
"271","98530",641,13070942.296916,49.0400757221031,1,2
"272","98531",26669,357940617.688816,74.5067720232448,4,3
"273","98532",25572,838243048.051143,30.5066651724141,4,2
"274","98533",558,311810959.946678,1.78954581999113,1,1
"275","98535",529,30164321.0614139,17.5372752107686,1,2
"276","98536",153,160559358.503462,0.952918605468279,1,1
"277","98537",2181,502050801.779341,4.34418188810818,2,1
"278","98538",425,274586644.913977,1.54778102967515,1,1
"279","98539",164,NA,NA,1,NA
"280","98541",10509,552379411.788347,19.0249668538094,3,2
"281","98542",668,35227757.2078045,18.9623198564571,1,2
"282","98544",68,260348.387519578,261.188481510709,1,3
"283","98546",3013,81873594.2574257,36.8006318438466,2,2
"284","98547",1433,185117378.118569,7.74103444292599,2,2
"285","98548",2375,362846855.631213,6.54546115845049,2,1
"286","98550",11502,666790587.50191,17.2497935867564,3,2
"287","98552",196,239604114.350159,0.818016003321062,1,1
"288","98555",586,NA,NA,1,NA
"289","98556",453,NA,NA,1,NA
"290","98557",3695,93692704.8576272,39.4374354504422,2,2
"291","98558",134,357641.194980349,374.677195694313,1,3
"292","98559",60,NA,NA,1,NA
"293","98560",154,148851015.006857,1.03459153431306,1,1
"294","98562",174,2606544.2379072,66.7550534801992,1,3
"295","98563",8235,962463118.289353,8.5561720168941,3,2
"296","98564",2581,387754730.968215,6.65626952778965,2,2
"297","98565",448,1609768.97074463,278.300804737694,1,3
