"county_origin","county_destination","n_scaled_visits_county"
"Adams County","Adams County",7411972.2516744
"Adams County","Asotin County",23414.8604446487
"Adams County","Benton County",1259935.33973617
"Adams County","Chelan County",84370.6841943216
"Adams County","Clallam County",6114.29994759847
"Adams County","Clark County",8307.0076076899
"Adams County","Columbia County",1856.39288786862
"Adams County","Cowlitz County",2851.90608291762
"Adams County","Douglas County",40890.0038623607
"Adams County","Ferry County",3513.05766856107
"Adams County","Franklin County",838642.763745041
"Adams County","Garfield County",503.777534778465
"Adams County","Grant County",2130651.09971391
"Adams County","Grays Harbor County",6839.24258695775
"Adams County","Island County",1592.48242492034
"Adams County","Jefferson County",616.739806056207
"Adams County","King County",290843.422890516
"Adams County","Kitsap County",8524.87120324908
"Adams County","Kittitas County",148449.838446566
"Adams County","Klickitat County",1284.84024503653
"Adams County","Lewis County",10524.9180814936
"Adams County","Lincoln County",60034.0632581711
"Adams County","Mason County",647.075807703608
"Adams County","Okanogan County",31425.6029501833
"Adams County","Pacific County",3646.39900363712
"Adams County","Pend Oreille County",1749.42581838536
"Adams County","Pierce County",46283.9181775654
"Adams County","San Juan County",741.091814413233
"Adams County","Skagit County",6463.55180223532
"Adams County","Skamania County",681.46079529692
"Adams County","Snohomish County",41176.795811949
"Adams County","Spokane County",868436.812305185
"Adams County","Stevens County",9301.76027181833
"Adams County","Thurston County",7023.64518209668
"Adams County","Walla Walla County",28564.3371944337
"Adams County","Whatcom County",19403.8040431222
"Adams County","Whitman County",41262.5255262612
"Adams County","Yakima County",204258.57720153
"Asotin County","Adams County",17254.4807773409
"Asotin County","Asotin County",8938014.09134741
"Asotin County","Benton County",47480.1507763315
"Asotin County","Chelan County",20403.2970735708
"Asotin County","Clallam County",2156.6470648385
"Asotin County","Clark County",11948.2595791157
"Asotin County","Columbia County",21400.8840372969
"Asotin County","Cowlitz County",4582.90894025855
"Asotin County","Douglas County",5105.41902842093
"Asotin County","Ferry County",1116.69571540266
"Asotin County","Franklin County",17269.3101890939
"Asotin County","Garfield County",32090.1547490924
"Asotin County","Grant County",12640.8991479228
"Asotin County","Grays Harbor County",8248.15585197996
"Asotin County","Island County",2685.62661027884
"Asotin County","Jefferson County",2381.41280447856
"Asotin County","King County",192793.67631002
"Asotin County","Kitsap County",5753.0460747658
"Asotin County","Kittitas County",24429.3258392049
"Asotin County","Klickitat County",2262.64930143694
"Asotin County","Lewis County",3215.16924450886
"Asotin County","Lincoln County",2448.80014508347
"Asotin County","Mason County",602.366136056651
"Asotin County","Okanogan County",4012.36024582065
"Asotin County","Pacific County",7155.47606081933
"Asotin County","Pend Oreille County",899.667132099733
"Asotin County","Pierce County",25605.0248532319
"Asotin County","San Juan County",629.221921402785
"Asotin County","Skagit County",5054.11218628281
"Asotin County","Skamania County",99.4485596707819
"Asotin County","Snohomish County",18385.245323162
"Asotin County","Spokane County",538681.341386657
"Asotin County","Stevens County",7638.66353641595
"Asotin County","Thurston County",6032.45060230089
"Asotin County","Walla Walla County",55468.345159383
"Asotin County","Whatcom County",10184.0970942655
"Asotin County","Whitman County",349198.848868395
"Asotin County","Yakima County",25117.2808674479
"Benton County","Adams County",473539.476277928
"Benton County","Asotin County",59626.2461557472
"Benton County","Benton County",128419907.899506
"Benton County","Chelan County",458191.916144826
"Benton County","Clallam County",54691.3816151746
"Benton County","Clark County",221961.869743936
"Benton County","Columbia County",103881.037126827
"Benton County","Cowlitz County",55481.2623702696
"Benton County","Douglas County",127132.393115129
"Benton County","Ferry County",10529.3655203268
"Benton County","Franklin County",14722715.673032
"Benton County","Garfield County",8559.18308986514
"Benton County","Grant County",544066.056108201
"Benton County","Grays Harbor County",88514.8432604332
"Benton County","Island County",20502.9719149907
"Benton County","Jefferson County",11032.1268799787
"Benton County","King County",2971228.24575179
"Benton County","Kitsap County",81866.415854381
"Benton County","Kittitas County",615110.690232154
"Benton County","Klickitat County",74428.9419285364
"Benton County","Lewis County",119066.364089241
"Benton County","Lincoln County",54780.1162015104
"Benton County","Mason County",14998.2845075029
"Benton County","Okanogan County",72155.934317321
"Benton County","Pacific County",68055.557245118
"Benton County","Pend Oreille County",11955.5620451129
"Benton County","Pierce County",406528.592433961
"Benton County","San Juan County",13129.8165223038
"Benton County","Skagit County",58201.9343752393
"Benton County","Skamania County",13629.1457437244
"Benton County","Snohomish County",375798.745078656
"Benton County","Spokane County",1838784.51418992
"Benton County","Stevens County",54940.5078468628
"Benton County","Thurston County",136635.697216179
"Benton County","Wahkiakum County",439.787062348409
"Benton County","Walla Walla County",1214930.14687989
"Benton County","Whatcom County",105348.462167967
"Benton County","Whitman County",279746.811409761
"Benton County","Yakima County",5810253.70363188
"Chelan County","Adams County",49160.1387777981
"Chelan County","Asotin County",6476.47875475156
"Chelan County","Benton County",172262.508396047
"Chelan County","Chelan County",37522911.4367222
"Chelan County","Clallam County",37194.3932095613
"Chelan County","Clark County",38807.8215024413
"Chelan County","Columbia County",1206.36469350817
"Chelan County","Cowlitz County",17187.2146045255
"Chelan County","Douglas County",8708743.65783592
"Chelan County","Ferry County",8339.55155273835
"Chelan County","Franklin County",70255.9839998968
"Chelan County","Garfield County",426.861125487837
"Chelan County","Grant County",548413.093276994
"Chelan County","Grays Harbor County",51937.2013517091
"Chelan County","Island County",40775.1026893279
"Chelan County","Jefferson County",10041.1897274035
"Chelan County","King County",2141222.96324769
"Chelan County","Kitsap County",57381.0660301996
"Chelan County","Kittitas County",414841.755181072
"Chelan County","Klickitat County",18686.1893581374
"Chelan County","Lewis County",18894.1498523124
"Chelan County","Lincoln County",15830.4593607087
"Chelan County","Mason County",8422.97440048174
"Chelan County","Okanogan County",545427.792189457
"Chelan County","Pacific County",16597.358075414
"Chelan County","Pend Oreille County",1971.63034362175
"Chelan County","Pierce County",216722.397218015
"Chelan County","San Juan County",14574.8605952219
"Chelan County","Skagit County",65329.0497365907
"Chelan County","Skamania County",332.186461373181
"Chelan County","Snohomish County",630081.666976471
"Chelan County","Spokane County",432270.590884327
"Chelan County","Stevens County",10786.9132608013
"Chelan County","Thurston County",64841.7481958048
"Chelan County","Wahkiakum County",834.272392638037
"Chelan County","Walla Walla County",21638.9805272702
"Chelan County","Whatcom County",112593.895317061
"Chelan County","Whitman County",47061.8199041219
"Chelan County","Yakima County",321013.563901622
"Clallam County","Adams County",9226.02800749921
"Clallam County","Asotin County",1724.56286383676
"Clallam County","Benton County",27628.9094850088
"Clallam County","Chelan County",59182.7339783377
"Clallam County","Clallam County",39896276.2490657
"Clallam County","Clark County",56292.2396808904
"Clallam County","Columbia County",1274.96721752757
"Clallam County","Cowlitz County",56227.01100065
"Clallam County","Douglas County",10105.2734376269
"Clallam County","Ferry County",1311.09906524899
"Clallam County","Franklin County",5172.28472348681
"Clallam County","Garfield County",125.352112676056
"Clallam County","Grant County",29825.7272521226
"Clallam County","Grays Harbor County",168894.97447985
"Clallam County","Island County",84341.113093383
"Clallam County","Jefferson County",734705.915222619
"Clallam County","King County",1898939.49373376
"Clallam County","Kitsap County",1964073.3665523
"Clallam County","Kittitas County",88195.7733803232
"Clallam County","Klickitat County",4364.57434866507
"Clallam County","Lewis County",89567.7096349259
"Clallam County","Lincoln County",4531.02276021619
