"county_origin","county_destination","n_scaled_visits_county"
"Adams County","Adams County",4499537.73738545
"Adams County","Asotin County",20311.4806518141
"Adams County","Benton County",804900.046042636
"Adams County","Chelan County",52144.757750324
"Adams County","Clallam County",3970.54600086513
"Adams County","Clark County",5780.33089648535
"Adams County","Columbia County",1190.92677635328
"Adams County","Cowlitz County",1955.75217004215
"Adams County","Douglas County",23893.8412071084
"Adams County","Ferry County",1853.22614216701
"Adams County","Franklin County",512194.060504081
"Adams County","Garfield County",503.777534778465
"Adams County","Grant County",1319870.44481991
"Adams County","Grays Harbor County",5562.36462798883
"Adams County","Island County",907.160363277656
"Adams County","Jefferson County",469.106358175336
"Adams County","King County",168376.343800689
"Adams County","Kitsap County",4857.55002327272
"Adams County","Kittitas County",97027.3954891954
"Adams County","Klickitat County",1042.82012827491
"Adams County","Lewis County",6034.27223533867
"Adams County","Lincoln County",38174.2375279494
"Adams County","Mason County",314.486956521739
"Adams County","Okanogan County",22872.8706705564
"Adams County","Pacific County",3159.05293515202
"Adams County","Pend Oreille County",1459.39818413912
"Adams County","Pierce County",30683.010422215
"Adams County","San Juan County",417.744687976452
"Adams County","Skagit County",2052.19496249353
"Adams County","Skamania County",578.40749039287
"Adams County","Snohomish County",28259.0219214285
"Adams County","Spokane County",581875.580899305
"Adams County","Stevens County",6348.9863367741
"Adams County","Thurston County",5108.07849086875
"Adams County","Walla Walla County",17578.177264544
"Adams County","Whatcom County",14110.0303699561
"Adams County","Whitman County",25435.1493903758
"Adams County","Yakima County",141575.294201004
"Asotin County","Adams County",11874.0822218897
"Asotin County","Asotin County",5257641.71645901
"Asotin County","Benton County",31236.0717174765
"Asotin County","Chelan County",11338.2923249465
"Asotin County","Clallam County",1663.13766937065
"Asotin County","Clark County",7683.54278356403
"Asotin County","Columbia County",11902.6891054751
"Asotin County","Cowlitz County",3220.43084636181
"Asotin County","Douglas County",2223.57015155764
"Asotin County","Ferry County",565.544350112912
"Asotin County","Franklin County",10787.1722580433
"Asotin County","Garfield County",19354.3732258008
"Asotin County","Grant County",7946.13809992698
"Asotin County","Grays Harbor County",6116.29196933607
"Asotin County","Island County",1339.91443686013
"Asotin County","Jefferson County",1486.73532597377
"Asotin County","King County",114797.575266684
"Asotin County","Kitsap County",3996.71002074401
"Asotin County","Kittitas County",17021.1012347873
"Asotin County","Klickitat County",1350.60572477198
"Asotin County","Lewis County",2058.65143938592
"Asotin County","Lincoln County",1446.47980537091
"Asotin County","Mason County",602.366136056651
"Asotin County","Okanogan County",2912.85472715956
"Asotin County","Pacific County",4803.90551460658
"Asotin County","Pend Oreille County",382.76563202879
"Asotin County","Pierce County",18284.9371115961
"Asotin County","San Juan County",629.221921402785
"Asotin County","Skagit County",4246.95419421748
"Asotin County","Snohomish County",12945.9797146528
"Asotin County","Spokane County",362374.325045544
"Asotin County","Stevens County",3510.41190076537
"Asotin County","Thurston County",3252.34571751091
"Asotin County","Walla Walla County",29994.7473434145
"Asotin County","Whatcom County",8830.24747154115
"Asotin County","Whitman County",227539.315276647
"Asotin County","Yakima County",16293.933295828
"Benton County","Adams County",282788.045687194
"Benton County","Asotin County",34226.9546959274
"Benton County","Benton County",76339868.5306349
"Benton County","Chelan County",265779.2761878
"Benton County","Clallam County",27045.7955239024
"Benton County","Clark County",145204.431022454
"Benton County","Columbia County",65995.9551268842
"Benton County","Cowlitz County",30538.9423472168
"Benton County","Douglas County",78161.064985779
"Benton County","Ferry County",6275.92428599965
"Benton County","Franklin County",8822370.32644835
"Benton County","Garfield County",4455.01781381594
"Benton County","Grant County",327716.662850979
"Benton County","Grays Harbor County",55891.7922715568
"Benton County","Island County",12964.2438107087
"Benton County","Jefferson County",5884.01031037905
"Benton County","King County",1909286.69402761
"Benton County","Kitsap County",47841.0850056426
"Benton County","Kittitas County",410079.8670183
"Benton County","Klickitat County",49053.9844227914
"Benton County","Lewis County",78764.1175822679
"Benton County","Lincoln County",40220.1730969327
"Benton County","Mason County",7496.39639388789
"Benton County","Okanogan County",36709.7164700583
"Benton County","Pacific County",43946.742973219
"Benton County","Pend Oreille County",8463.1411380935
"Benton County","Pierce County",274349.477372265
"Benton County","San Juan County",9157.92643394983
"Benton County","Skagit County",40562.1255606047
"Benton County","Skamania County",8732.05508399271
"Benton County","Snohomish County",250477.769721174
"Benton County","Spokane County",1110792.04674514
"Benton County","Stevens County",31641.9420426203
"Benton County","Thurston County",87492.0702443999
"Benton County","Wahkiakum County",209.972093023256
"Benton County","Walla Walla County",683124.09595271
"Benton County","Whatcom County",70438.6752745337
"Benton County","Whitman County",175989.593955107
"Benton County","Yakima County",3500318.2880034
"Chelan County","Adams County",28299.9481578149
"Chelan County","Asotin County",3187.31186122401
"Chelan County","Benton County",114367.724136082
"Chelan County","Chelan County",22324770.3617331
"Chelan County","Clallam County",22164.8623980735
"Chelan County","Clark County",22849.3488085872
"Chelan County","Columbia County",490.909233515443
"Chelan County","Cowlitz County",11616.9815556471
"Chelan County","Douglas County",5064711.68892154
"Chelan County","Ferry County",6138.27320741928
"Chelan County","Franklin County",48127.5366817623
"Chelan County","Garfield County",91.7525773195876
"Chelan County","Grant County",344992.080558133
"Chelan County","Grays Harbor County",33355.4669063863
"Chelan County","Island County",24945.2276746924
"Chelan County","Jefferson County",6006.97799854408
"Chelan County","King County",1292330.592502
"Chelan County","Kitsap County",35637.9915018628
"Chelan County","Kittitas County",280409.2673839
"Chelan County","Klickitat County",12490.238133107
"Chelan County","Lewis County",12884.8863900229
"Chelan County","Lincoln County",12174.4800135106
"Chelan County","Mason County",4189.9392867766
"Chelan County","Okanogan County",313720.282954775
"Chelan County","Pacific County",11154.1143927313
"Chelan County","Pend Oreille County",841.423258200338
"Chelan County","Pierce County",128940.978548174
"Chelan County","San Juan County",6644.17481571776
"Chelan County","Skagit County",41272.5634960496
"Chelan County","Skamania County",230.434882425813
"Chelan County","Snohomish County",358722.42191532
"Chelan County","Spokane County",267448.596669081
"Chelan County","Stevens County",7149.22046490877
"Chelan County","Thurston County",40287.5792857473
"Chelan County","Wahkiakum County",448.8
"Chelan County","Walla Walla County",12051.0899331919
"Chelan County","Whatcom County",63600.4619151103
"Chelan County","Whitman County",34061.2777897632
"Chelan County","Yakima County",200583.69374091
"Clallam County","Adams County",6267.6562211956
"Clallam County","Asotin County",845.382379093244
"Clallam County","Benton County",15589.6161580124
"Clallam County","Chelan County",37148.5500222193
