"county_origin","county_destination","n_scaled_visits_county"
"Adams County","Adams County",1215509.81332525
"Adams County","Asotin County",3967.84853011242
"Adams County","Benton County",198993.590843939
"Adams County","Chelan County",12921.1174902123
"Adams County","Clallam County",841.754783258246
"Adams County","Clark County",1818.23064743088
"Adams County","Columbia County",150.377358490566
"Adams County","Cowlitz County",93.6831850910631
"Adams County","Douglas County",6346.34313792633
"Adams County","Ferry County",1049.99619047619
"Adams County","Franklin County",135465.12354212
"Adams County","Grant County",334189.689631515
"Adams County","Grays Harbor County",1356.73313915845
"Adams County","Island County",233.342925659472
"Adams County","Jefferson County",147.972445464983
"Adams County","King County",37976.990086975
"Adams County","Kitsap County",1524.56031732801
"Adams County","Kittitas County",23356.1066600722
"Adams County","Lewis County",1629.96125923953
"Adams County","Lincoln County",13969.2881447971
"Adams County","Okanogan County",9406.60208591534
"Adams County","Pacific County",1596.14599002236
"Adams County","Pierce County",12428.7819751028
"Adams County","Skagit County",961.986784189354
"Adams County","Skamania County",341.172095772852
"Adams County","Snohomish County",6342.74006109884
"Adams County","Spokane County",153662.641555877
"Adams County","Stevens County",2783.23739197503
"Adams County","Thurston County",547.906041095356
"Adams County","Walla Walla County",4420.47736833304
"Adams County","Whatcom County",4478.07735225506
"Adams County","Whitman County",7275.62028838708
"Adams County","Yakima County",33727.3248786184
"Asotin County","Adams County",3852.01584217603
"Asotin County","Asotin County",1442591.72068121
"Asotin County","Benton County",6489.57679778109
"Asotin County","Chelan County",2252.91664693509
"Asotin County","Clallam County",531.181897812385
"Asotin County","Clark County",1950.00290774452
"Asotin County","Columbia County",3128.72582374757
"Asotin County","Cowlitz County",641.772207378924
"Asotin County","Douglas County",149.240549828179
"Asotin County","Franklin County",2785.05834986719
"Asotin County","Garfield County",4543.00581809878
"Asotin County","Grant County",1863.67024383589
"Asotin County","Grays Harbor County",1293.79208640837
"Asotin County","Island County",360.639604659372
"Asotin County","Jefferson County",1034.14801308064
"Asotin County","King County",23948.0521207158
"Asotin County","Kitsap County",218.589623674802
"Asotin County","Kittitas County",3638.85573167544
"Asotin County","Klickitat County",539.722858748757
