"","label","time","subgroup"
"1","leaf_0","189.983708221162","0"
"2","leaf_1","188.632870968094","1"
"3","leaf_2","166.127053794015","2"
"4","leaf_3","164.826659702494","2"
"5","leaf_4","162.122168889751","2"
"6","leaf_5","159.034994699141","2"
"7","leaf_6","158.151129716089","4"
"8","leaf_7","157.744149060526","2"
"9","leaf_8","155.591752114698","3"
"10","leaf_9","154.943371445252","4"
"11","leaf_10","154.496891628864","1"
"12","leaf_11","153.828915509957","4"
"13","leaf_12","153.443706898053","4"
"14","leaf_13","152.534080948892","1"
"15","leaf_14","151.556915649187","4"
"16","leaf_15","150.24232536695","2"
"17","leaf_16","148.025160133694","2"
"18","leaf_17","147.710721124943","2"
"19","leaf_18","147.522054605913","4"
"20","leaf_19","146.642480145461","3"
"21","leaf_20","146.502085570886","4"
"22","leaf_21","146.454824203027","2"
"23","leaf_22","146.194849134477","2"
"24","leaf_23","146.07135755956","3"
"25","leaf_24","145.931242070767","2"
"26","leaf_25","145.868148580002","2"
"27","leaf_26","145.77906865323","2"
"28","leaf_27","145.106202446987","2"
"29","leaf_28","145.065940700254","1"
"30","leaf_29","144.711205660051","3"
"31","leaf_30","144.458277826127","2"
"32","leaf_31","144.192748121577","3"
"33","leaf_32","143.482816374807","4"
"34","leaf_33","143.169016035463","3"
"35","leaf_34","142.891561321647","1"
"36","leaf_35","142.803463175948","4"
"37","leaf_36","142.418021310236","2"
"38","leaf_37","142.362536063065","4"
"39","leaf_38","142.339329583227","2"
"40","leaf_39","142.145132379497","4"
"41","leaf_40","142.136207459218","2"
"42","leaf_41","141.841071477456","3"
"43","leaf_42","141.83045674521","3"
"44","leaf_43","141.695042001878","1"
"45","leaf_44","141.432341062784","2"
"46","leaf_45","141.293637391287","2"
"47","leaf_46","141.185992397139","4"
"48","leaf_47","140.92358510898","3"
"49","leaf_48","140.774313968079","2"
"50","leaf_49","140.437651386566","2"
"51","leaf_50","140.32425729832","3"
"52","leaf_51","140.296730502609","3"
