"","label","time","subgroup"
"1","leaf_0","175.525759161446","1"
"2","leaf_1","175.151658107623","1"
"3","leaf_2","162.418167354692","1"
"4","leaf_3","161.935345608753","1"
"5","leaf_4","159.035886607173","1"
"6","leaf_5","158.931456160055","1"
"7","leaf_6","152.786108270591","4"
"8","leaf_7","152.613229874625","4"
"9","leaf_8","152.558583519948","2"
"10","leaf_9","149.61727249521","1"
"11","leaf_10","149.567774326197","1"
"12","leaf_11","149.467504559798","4"
"13","leaf_12","148.736834837473","3"
"14","leaf_13","147.121078703625","1"
"15","leaf_14","146.052311087188","3"
"16","leaf_15","145.389909705739","3"
"17","leaf_16","143.634713458952","2"
"18","leaf_17","142.432296198342","1"
"19","leaf_18","142.394011380563","0"
"20","leaf_19","141.467546542497","0"
"21","leaf_20","141.390229264559","0"
"22","leaf_21","140.546751766773","2"
"23","leaf_22","139.913163742891","2"
"24","leaf_23","139.81759429315","2"
"25","leaf_24","139.808854880406","1"
"26","leaf_25","139.801072208675","4"
"27","leaf_26","139.484004795698","2"
"28","leaf_27","139.460001501167","0"
"29","leaf_28","139.236441696576","0"
"30","leaf_29","139.019988122624","1"
"31","leaf_30","138.916646968724","2"
"32","leaf_31","138.60775499438","2"
"33","leaf_32","138.590639645505","1"
"34","leaf_33","138.436258280577","0"
"35","leaf_34","137.964576345924","0"
"36","leaf_35","137.887261357016","2"
"37","leaf_36","137.721048375972","4"
"38","leaf_37","136.869297612911","2"
"39","leaf_38","136.868469086785","1"
"40","leaf_39","136.293469126223","2"
"41","leaf_40","135.419656528604","2"
"42","leaf_41","134.658242401565","2"
"43","leaf_42","134.571000235203","1"
"44","leaf_43","134.220883313508","4"
"45","leaf_44","133.993127280585","2"
"46","leaf_45","133.842998266171","4"
"47","leaf_46","133.835966736986","3"
"48","leaf_47","133.744223233192","0"
"49","leaf_48","133.564694639281","0"
"50","leaf_49","133.506048698203","2"
"51","leaf_50","133.120247123028","4"
"52","leaf_51","133.052730749618","3"
"53","leaf_52","132.982987300752","1"
"54","leaf_53","132.96474810967","4"
"55","leaf_54","132.204773531227","2"
"56","leaf_55","132.164684730077","4"
"57","leaf_56","132.080603757839","2"
"58","leaf_57","131.710467591617","4"
"59","leaf_58","131.633846049909","1"
"60","leaf_59","130.715312577448","2"
"61","leaf_60","130.689275825431","1"
"62","leaf_61","130.674463699326","3"
"63","leaf_62","130.667849840659","2"
"64","leaf_63","130.601215108704","1"
"65","leaf_64","130.384601026372","4"
"66","leaf_65","130.241248694737","1"
"67","leaf_66","130.212104441868","4"
"68","leaf_67","130.165210342633","2"
"69","leaf_68","129.582006539942","3"
"70","leaf_69","129.540032613049","4"
"71","leaf_70","129.449048989524","3"
"72","leaf_71","129.278842880672","3"
"73","leaf_72","129.224876529995","2"
"74","leaf_73","129.163314853278","1"
"75","leaf_74","129.047423891361","2"
"76","leaf_75","128.983628537026","1"
"77","leaf_76","128.959566514607","1"
"78","leaf_77","128.768619991316","1"
"79","leaf_78","128.66728853438","4"
"80","leaf_79","128.652577551436","1"
"81","leaf_80","128.559756997356","4"
"82","leaf_81","128.517564995727","3"
"83","leaf_82","128.337804557867","3"
"84","leaf_83","128.336355163848","3"
"85","leaf_84","128.218252123806","0"
"86","leaf_85","128.185218965052","1"
"87","leaf_86","128.163450486807","2"
"88","leaf_87","128.031013850671","2"
"89","leaf_88","128.025916121381","1"
"90","leaf_89","127.973385482928","4"
"91","leaf_90","127.960387440789","3"
"92","leaf_91","127.882279669034","1"
"93","leaf_92","127.814540508373","2"
"94","leaf_93","127.800546745142","2"
"95","leaf_94","127.78567318376","3"
"96","leaf_95","127.671995225561","0"
"97","leaf_96","127.55690339612","2"
"98","leaf_97","127.463461550401","2"
"99","leaf_98","127.454664344403","2"
"100","leaf_99","127.397187577982","2"
"101","leaf_100","127.39057772016","2"
