# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Apr 16 16:33:57 PDT 2024 [seed=1713310435176]
# -threads 4 -save_every 2000000 -beagle xmls/rep-2-seq-density-0.5-biased.xml
state	joint	prior	likelihood	region.clock.rate	region.meanRate	region.rates.0.1	region.rates.0.2	region.rates.0.3	region.rates.0.4	region.rates.1.2	region.rates.1.3	region.rates.1.4	region.rates.2.3	region.rates.2.4	region.rates.3.4	region.indicators.0.1	region.indicators.0.2	region.indicators.0.3	region.indicators.0.4	region.indicators.1.2	region.indicators.1.3	region.indicators.1.4	region.indicators.2.3	region.indicators.2.4	region.indicators.3.4	region.nonZeroRates	region.treeLikelihood
0	-229516.8764069766	-215561.35490091413	-13955.521506062485	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-13955.521506062485
10000	-13926.32414265448	-1810.0123054117637	-12116.311837242716	0.008285135338149036	0.008285135338149029	0.14820322304690767	2.4585427033482445	0.6684820748410539	1.9067174599504668	2.997320395317657	0.6638689544145001	0.6864661644429474	5.555443652409622	6.29848113718415	5.477215913211853	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12116.311837242716
20000	-13916.489375920704	-1777.6384129455341	-12138.85096297517	0.00819642046949443	0.008196420469494441	0.03978144126515807	1.4964910613378708	0.4123149220209398	0.7924340851377772	1.685818276735904	0.20872087347787874	0.3198595407571616	2.9133006669228902	3.5162200906187904	3.14622082968884	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-12138.85096297517
30000	-13911.812908995335	-1793.513387639335	-12118.299521355999	0.008271123538112534	0.00827112353811253	0.07590018178358521	1.1534750059179595	0.37970962245201184	0.8456852709261653	1.5266874814506588	0.20627627109806654	0.3276477717175185	2.7122727603081604	3.26984255357566	2.8854403604356724	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12118.299521355999
40000	-13910.55145835185	-1764.0950550145826	-12146.456403337268	0.008135912903982835	0.008135912903982807	0.06960728448672593	1.177415255247259	0.3812213300214956	0.7996706842295612	1.5196469094824714	0.2371288558929015	0.25777848189387775	2.686804638161876	3.2380769574457515	2.7503750090850083	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12146.456403337268
50000	-13913.367898318433	-1762.0220679372076	-12151.345830381226	0.008130959855166837	0.008130959855166816	0.13789511161145765	1.0957309366045294	0.25812495795476637	0.719800537215856	1.3252952698920681	0.2513385612570042	0.2948335178188091	2.4950750009830793	3.143194655708697	2.3913922674460872	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12151.345830381226
60000	-13916.746413995948	-1780.1659461762956	-12136.580467819653	0.008222946471432386	0.008222946471432378	0.05486084689327854	0.9597620163381418	0.37241463028643873	0.5032187904491925	1.230477230178236	0.3113262932791298	0.26990844546209747	2.1039694687060013	2.4019133913706336	2.2152133187458283	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12136.580467819653
70000	-13913.89844863604	-1812.4855790446425	-12101.412869591399	0.00836838173813204	0.008368381738131987	0.04898745166261436	1.0152169398553628	0.2927478240709251	0.6197204260497469	1.1717398230705334	0.22149064236363947	0.34804111035014357	2.2087888345792326	3.0179764867119885	2.440405503920031	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12101.412869591399
80000	-13914.631692982928	-1855.347440432281	-12059.284252550648	0.008572425094253466	0.008572425094253423	0.06084770815013002	1.028660766875873	0.20774855972442358	0.5794402264895802	1.1577422832035555	0.18909419418041798	0.21337868253039619	2.1008420615703747	2.4285610645873565	2.2867272917412373	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12059.284252550648
90000	-13916.404734508185	-1747.0386343331074	-12169.366100175079	0.008053448427763574	0.008053448427763578	0.06204969358738045	1.3612508763440447	0.38134092767947125	0.6663384098586628	1.4827208835892167	0.2159409630930712	0.3341333726369018	3.0006754674395086	3.253544575656276	3.083759860300898	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-12169.366100175079
