# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Apr 16 16:33:49 PDT 2024 [seed=1713310427498]
# -threads 4 -save_every 2000000 -beagle xmls/rep-2-seq-density-0.5-unbiased.xml
state	joint	prior	likelihood	region.clock.rate	region.meanRate	region.rates.0.1	region.rates.0.2	region.rates.0.3	region.rates.0.4	region.rates.1.2	region.rates.1.3	region.rates.1.4	region.rates.2.3	region.rates.2.4	region.rates.3.4	region.indicators.0.1	region.indicators.0.2	region.indicators.0.3	region.indicators.0.4	region.indicators.1.2	region.indicators.1.3	region.indicators.1.4	region.indicators.2.3	region.indicators.2.4	region.indicators.3.4	region.nonZeroRates	region.treeLikelihood
0	-228985.1654410077	-215228.25618117786	-13756.909259829838	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-13756.909259829838
10000	-13959.99351387575	-1995.8938176424524	-11964.099696233297	0.00918823952499966	0.009188239524999663	0.7788790149116936	2.960948009779264	1.2718739548760167	1.8909198182010394	2.2773959744819945	1.1394135152697418	1.6154581071975567	2.238935038293235	3.4274706710993113	4.399718429135506	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	-11964.099696233297
20000	-13901.49409345301	-1995.6000195165873	-11905.894073936423	0.009148859642800912	0.009148859642800928	0.8216669736690291	1.0632717060579917	1.457143171358072	2.6177273284406244	3.7398640057482	2.0471341893141677	2.8875996681405693	2.880480032431232	5.028311413250598	6.7251551510336025	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11905.894073936423
30000	-13892.126883993418	-1961.2526590374175	-11930.874224956	0.009016337268844678	0.009016337268844609	0.9610591632866915	0.6842277976478066	1.3008994428487581	1.7036135557541077	2.2845869788820194	1.9084897171080417	2.492141844515203	2.512133075781575	4.303700004081572	5.298714522627564	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11930.874224956
40000	-13879.631148429797	-1996.2869085440873	-11883.34423988571	0.009231001309319755	0.009231001309319763	0.3717491912338102	0.3930269650641798	0.7016454383951086	1.0826164418971485	1.3669397667210437	0.9455489827259627	1.2719392409856891	1.1626197155749538	2.2060925042784008	2.7701822822299835	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11883.34423988571
50000	-13880.268269769702	-2008.3261223258125	-11871.94214744389	0.009283730012898983	0.009283730012898986	0.4331100689621251	0.2987435850113708	0.7451221722890594	1.1188742220308978	1.55913778582773	1.0807448399757507	1.134503510841658	1.3086252718599072	2.268017124581213	3.013650971570756	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11871.94214744389
60000	-13878.979934357534	-1990.526070267396	-11888.453864090137	0.009213697832392738	0.00921369783239271	0.27996967366297404	0.23463566963003218	0.5494476303736711	0.896162847175221	1.2042204080380134	0.7677720482785734	0.9216104391623064	1.1022527162292286	1.9280563992100657	2.352362317093078	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11888.453864090137
70000	-13873.295359002934	-1994.17311509409	-11879.122243908843	0.009234291670356113	0.009234291670356071	0.37116418091132375	0.27349545365080963	0.5853835216860912	0.7391175891518692	1.0412672483106769	0.6599215352817671	0.8258947707836322	1.0156336449806607	1.7906686107292076	2.1476954952860847	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11879.122243908843
80000	-13875.716446487537	-2021.6391719468643	-11854.077274540672	0.009355774305492002	0.009355774305492054	0.3562980312730851	0.3109917720016003	0.6173371858736523	0.8933751091731635	1.2439463973718943	0.838973921667953	1.0132277473146984	1.2036190884896798	1.973799948738345	2.312874316101776	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11854.077274540672
90000	-13874.783090228117	-1973.6893603087508	-11901.093729919367	0.009138527272018287	0.009138527272018308	0.3218866317330037	0.23972368406291905	0.48411364853224703	0.812696677464338	1.0413908919606243	0.7972418647416919	0.8523227345058522	0.9216660088416037	1.8191879221256035	2.2917475566175196	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11901.093729919367
100000	-13872.125746291254	-1981.8022894608102	-11890.323456830443	0.009184900884508134	0.009184900884508103	0.2524602084918785	0.19461561833419674	0.4261640345955306	0.6432231357439872	0.8608477000803959	0.5743314388017954	0.6756649186482399	0.869201627068017	1.4767067196160373	1.738697404028593	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11890.323456830443
110000	-13877.302966639309	-1905.945046162526	-11971.357920476783	0.008831469616728569	0.008831469616728592	0.30552598541834863	0.26284800440790385	0.3945345068747128	0.6765526625753181	0.7810801581896678	0.6152884662568776	0.707388790189462	0.8283537742161566	1.4701744605105527	1.8975187490008545	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11971.357920476783
120000	-13880.93517488526	-1954.4016184342815	-11926.533556450979	0.009044278926667532	0.009044278926667487	0.37865344190798766	0.33503830570516124	0.4952495693989515	1.0373165297281948	1.115453365759143	0.7737335593222786	1.1151187731544936	1.1615617366254296	1.8267769389474304	2.3445121964504625	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11926.533556450979
130000	-13874.971039481112	-1961.9810381165892	-11912.990001364522	0.009077481702457183	0.00907748170245722	0.3944408526234151	0.32068800984983437	0.5911828068524327	0.9293151144683355	1.3425489079411739	0.7640852718512032	1.073367695776146	1.1385156660728228	1.875818399250295	2.5851848421886494	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11912.990001364522
140000	-13878.752965981654	-2025.3574676944686	-11853.395498287186	0.0093866308894969	0.009386630889496952	0.37435190537500757	0.2263740044970449	0.41718030788334703	0.5971481605415615	0.7792966564706233	0.560035163311931	0.7241791100760745	0.8907563924734522	1.4358307125516814	1.8350302430943672	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11853.395498287186
150000	-13880.19322715527	-1951.5933989123894	-11928.59982824288	0.009021996638802692	0.009021996638802729	0.5357760125486558	0.35112435893626553	0.6012953450969043	1.0947323026365658	1.3824696637944835	0.9742148051639339	1.0153354706878146	1.4001710613600684	2.3681002680639778	2.848771370255422	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11928.59982824288
160000	-13878.62487902124	-2000.0183592277676	-11878.606519793471	0.009237304589148352	0.009237304589148412	0.5565303832213641	0.4195532318059289	0.7790124587677113	1.2591639954884655	1.613664264637398	1.1629435679802698	1.3994208919096227	1.5429410849765963	2.753344425273667	3.1603126591781576	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11878.606519793471
170000	-13878.737267172839	-2002.0439093553834	-11876.693357817456	0.009246713818878897	0.009246713818878932	0.5565303832213641	0.4195532318059289	0.7790124587677113	1.2591639954884655	1.613664264637398	1.1629435679802698	1.3994208919096227	1.5429410849765963	2.753344425273667	3.1603126591781576	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11876.693357817456
180000	-13880.786696687917	-1954.5967770602474	-11926.18991962767	0.009033360455849283	0.009033360455849309	0.5585945275100718	0.3418400797712688	0.7316903849508994	1.0448179598542586	1.5146459197893059	0.9950979764459724	1.4103585334938111	1.3974547114164912	2.149679504869158	2.984855229197643	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11926.18991962767
190000	-13878.216247789042	-1971.9555867467782	-11906.260661042263	0.009106448707539582	0.009106448707539568	0.625760393589149	0.36356317165846397	0.8480594160609088	1.1853288367654693	1.5767292969955335	1.1201121905593145	1.2992801043830917	1.5375074779457858	2.7533052417481727	3.4442193056660564	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11906.260661042263
200000	-13879.14749076467	-2013.1971248918728	-11865.950365872797	0.009313676497923423	0.009313676497923477	0.3913789456796996	0.37509658837103116	0.5846108866631047	0.9077504876045306	1.3869260388364473	0.722641481834772	1.1003956027407436	1.095488240991342	2.1605865605688255	2.660006989325053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11865.950365872797
210000	-13879.844689742175	-1909.2590751978255	-11970.585614544349	0.008828934081636985	0.008828934081636989	0.3875512340927105	0.2781536903767044	0.6441625606031443	0.9764468587581676	1.3453812544905628	0.8621230626277258	1.057155431980149	1.194550992201201	2.2177870718902843	2.835820274824733	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11970.585614544349
220000	-13876.524046327917	-1983.5661120614582	-11892.957934266458	0.00918198458067827	0.009181984580678296	0.3674820975590292	0.2891315684934894	0.6743292701377561	0.7709636778003387	1.1109037565805602	0.7068385711797972	0.9523478629087979	1.1604356834990914	1.8358021486726401	2.2353023248538406	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11892.957934266458
230000	-13878.054350304721	-2027.8237775406753	-11850.230572764045	0.009383352333110396	0.009383352333110405	0.4601864695801313	0.2486354755807764	0.6837855265179213	0.9890182121813513	1.1875725280013254	0.7982794071000388	1.0742417045353898	1.0577791166309785	2.0567945926923903	2.4559803965263414	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11850.230572764045
240000	-13873.614414104373	-1991.0412021741836	-11882.57321193019	0.009216637269995836	0.009216637269995892	0.35820047795952237	0.2802233171911438	0.6689642728047467	0.7875970755367941	1.1244606981349579	0.7797383981719604	0.9691354668678459	1.0556937741739425	1.756595485340256	2.338232007386552	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11882.57321193019
250000	-13874.962347562214	-1971.861154995911	-11903.101192566302	0.009134668117416658	0.009134668117416658	0.29901318899086293	0.2756738184124808	0.47140881726747125	0.6756123199678441	0.8224865132374207	0.6694557277005652	0.7759385425797845	0.9115518827873343	1.5853845880785105	2.098019882113486	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11903.101192566302
260000	-13878.11858117695	-1997.780091638707	-11880.338489538242	0.009242218277233986	0.009242218277234003	0.4474093558573961	0.3166830286273201	0.6752287900466958	0.9289898487725196	1.1966572991983109	0.8114430596217557	0.9769783813013535	1.1090574208303983	2.2558631155714997	2.6325261928318264	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11880.338489538242
270000	-13877.540362631386	-1950.238380942606	-11927.301981688779	0.009008882329627238	0.00900888232962728	0.5203757505051596	0.3933608227634464	0.7882510760831006	1.076552910250047	1.596457466718735	1.1162020792355187	1.316694026076186	1.5109130234203938	2.636506975307151	3.084828908869148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11927.301981688779
280000	-13880.920413698412	-2034.5013048596663	-11846.419108838745	0.0094096060871917	0.009409606087191763	0.5078980297138641	0.32310870564602295	0.669605096996041	1.0886890909415314	1.2043997405484117	0.9289213050179959	1.161059066026007	1.203599489707765	2.2780213829983476	2.6728061133829284	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-11846.419108838745
