"","label","time","subgroup"
"1","leaf_0","167.336918212093","2"
"2","leaf_1","153.333027647494","3"
"3","leaf_2","151.474732296508","1"
"4","leaf_3","149.591292976033","4"
"5","leaf_4","147.215755928578","1"
"6","leaf_5","145.305552212027","1"
"7","leaf_6","143.26557138906","3"
"8","leaf_7","142.522188109881","2"
"9","leaf_8","142.178226871896","1"
"10","leaf_9","140.338831520543","3"
"11","leaf_10","139.137848312468","1"
"12","leaf_11","136.243464491195","3"
"13","leaf_12","135.605267124739","2"
"14","leaf_13","135.362107530151","4"
"15","leaf_14","134.851242882194","1"
"16","leaf_15","134.638308786284","2"
"17","leaf_16","133.89918543617","2"
"18","leaf_17","133.85247062388","0"
"19","leaf_18","133.2745762503","1"
"20","leaf_19","131.433479270716","3"
"21","leaf_20","130.790013941193","3"
"22","leaf_21","130.642026739935","4"
"23","leaf_22","130.571851202764","3"
"24","leaf_23","130.469427880343","4"
"25","leaf_24","130.323687590842","0"
"26","leaf_25","130.170225784271","1"
"27","leaf_26","130.012741736763","1"
"28","leaf_27","129.632007066431","1"
"29","leaf_28","129.485664564879","0"
"30","leaf_29","129.121846333151","2"
"31","leaf_30","129.049707381783","2"
"32","leaf_31","128.959240604311","1"
"33","leaf_32","128.631785731979","4"
"34","leaf_33","128.627750961472","3"
"35","leaf_34","128.371314064274","3"
"36","leaf_35","128.206860993699","1"
"37","leaf_36","128.202511884389","0"
"38","leaf_37","127.93308998409","4"
"39","leaf_38","127.821950043015","2"
"40","leaf_39","127.529957883763","1"
"41","leaf_40","127.473120504436","3"
"42","leaf_41","127.371043919991","3"
"43","leaf_42","127.014684509423","3"
"44","leaf_43","126.660862752075","3"
"45","leaf_44","126.53301505836","1"
"46","leaf_45","126.507841434798","3"
"47","leaf_46","125.84353910945","2"
"48","leaf_47","125.798129802331","1"
"49","leaf_48","125.590927361958","2"
"50","leaf_49","125.408995585161","4"
"51","leaf_50","125.369926834669","1"
"52","leaf_51","125.133631628617","3"
"53","leaf_52","124.389258085237","4"
"54","leaf_53","124.262311454948","4"
"55","leaf_54","124.059477566307","2"
"56","leaf_55","123.534875818907","2"
"57","leaf_56","123.50085143425","3"
"58","leaf_57","123.415804379467","0"
"59","leaf_58","123.391623433688","2"
"60","leaf_59","123.197755985282","4"
"61","leaf_60","122.939177721142","3"
"62","leaf_61","122.856527232557","4"
"63","leaf_62","122.829549916034","2"
"64","leaf_63","122.662026410645","3"
"65","leaf_64","122.386158274159","4"
"66","leaf_65","122.214217662377","0"
"67","leaf_66","122.072567225837","0"
"68","leaf_67","121.742684538293","0"
"69","leaf_68","121.545628060612","4"
"70","leaf_69","121.208381284388","2"
"71","leaf_70","120.875178240517","2"
"72","leaf_71","120.803683901931","2"
"73","leaf_72","120.801723413807","1"
"74","leaf_73","120.631474188816","2"
"75","leaf_74","120.571316291304","4"
"76","leaf_75","120.500444479287","2"
"77","leaf_76","120.492339449707","2"
"78","leaf_77","120.365411667738","4"
"79","leaf_78","120.270188255834","1"
"80","leaf_79","120.074259937561","0"
"81","leaf_80","120.048727797148","3"
"82","leaf_81","119.469909698214","4"
"83","leaf_82","119.406534518283","0"
"84","leaf_83","119.355227862936","1"
"85","leaf_84","119.336150657592","0"
"86","leaf_85","119.199955661205","3"
"87","leaf_86","119.176824648119","2"
"88","leaf_87","119.073785565542","4"
"89","leaf_88","118.881798215878","3"
"90","leaf_89","118.860436337832","3"
"91","leaf_90","118.742963460247","2"
"92","leaf_91","118.372120825462","1"
"93","leaf_92","118.165879712149","0"
"94","leaf_93","118.147149318261","3"
"95","leaf_94","118.072589252901","2"
"96","leaf_95","117.959584335377","2"
"97","leaf_96","117.69824347885","4"
"98","leaf_97","117.684979356194","2"
"99","leaf_98","117.381717196583","4"
"100","leaf_99","117.36351633378","0"
"101","leaf_100","117.146871837119","4"
"102","leaf_101","117.060232019309","1"
"103","leaf_102","116.942993099505","1"
"104","leaf_103","116.942275471689","2"
"105","leaf_104","116.920759332811","4"
"106","leaf_105","116.87601188644","2"
"107","leaf_106","116.788155108997","2"
"108","leaf_107","116.606952932538","3"
"109","leaf_108","116.588599001561","0"
"110","leaf_109","116.555341837835","1"
"111","leaf_110","116.495686050599","2"
"112","leaf_111","116.490480704764","3"
"113","leaf_112","116.460006192687","3"
"114","leaf_113","116.350518038014","2"
"115","leaf_114","116.295347131889","1"
"116","leaf_115","116.24253773531","2"
