"","label","time","subgroup"
"1","leaf_0","157.391186993286","3"
"2","leaf_1","147.296489167947","4"
"3","leaf_2","140.02905635407","2"
"4","leaf_3","139.991912074405","2"
"5","leaf_4","136.024415514961","4"
"6","leaf_5","134.761689965303","2"
"7","leaf_6","134.351060978808","2"
"8","leaf_7","133.8437739112","2"
"9","leaf_8","133.544515395754","2"
"10","leaf_9","132.081890713364","4"
"11","leaf_10","131.178171422063","4"
"12","leaf_11","129.894682406804","3"
"13","leaf_12","129.268004526193","2"
"14","leaf_13","126.579533496627","4"
"15","leaf_14","126.513663621402","2"
"16","leaf_15","126.105764726408","0"
"17","leaf_16","125.760661752989","4"
"18","leaf_17","125.685387027492","2"
"19","leaf_18","125.398272304738","4"
"20","leaf_19","124.826590643924","2"
"21","leaf_20","124.757225215406","2"
"22","leaf_21","123.777679403442","3"
"23","leaf_22","123.709346076731","3"
"24","leaf_23","123.691326180461","3"
"25","leaf_24","123.680130504715","2"
"26","leaf_25","123.029767570739","1"
"27","leaf_26","122.9725199709","2"
"28","leaf_27","122.897344117701","2"
"29","leaf_28","121.587226836827","3"
"30","leaf_29","121.491617638066","2"
"31","leaf_30","121.463238893783","2"
"32","leaf_31","120.985345463403","0"
"33","leaf_32","120.952760772036","3"
"34","leaf_33","120.163573458196","3"
"35","leaf_34","119.786675498174","3"
"36","leaf_35","119.503605331891","4"
"37","leaf_36","119.262040444155","4"
"38","leaf_37","119.208267525734","3"
"39","leaf_38","118.409815207857","3"
"40","leaf_39","118.347158589338","2"
"41","leaf_40","118.177229151843","2"
"42","leaf_41","118.023807681767","2"
"43","leaf_42","117.724640673061","4"
"44","leaf_43","117.658229021332","4"
"45","leaf_44","117.555450875081","3"
"46","leaf_45","117.418840157922","2"
"47","leaf_46","117.27876314492","4"
"48","leaf_47","117.233459269368","1"
"49","leaf_48","117.221415609262","2"
"50","leaf_49","117.029889197093","3"
"51","leaf_50","116.70327948153","2"
"52","leaf_51","116.095920670788","2"
"53","leaf_52","116.080358518173","2"
"54","leaf_53","115.923698818667","2"
"55","leaf_54","115.882351398632","1"
"56","leaf_55","115.869753893195","2"
"57","leaf_56","115.350847772085","3"
"58","leaf_57","115.342549387482","2"
"59","leaf_58","115.314936227586","2"
"60","leaf_59","115.175001631111","3"
"61","leaf_60","114.968436141899","3"
"62","leaf_61","114.925293208714","3"
"63","leaf_62","114.680070314079","3"
"64","leaf_63","114.236532932463","3"
"65","leaf_64","114.135390818586","4"
"66","leaf_65","114.110714734664","3"
"67","leaf_66","114.086174112557","1"
"68","leaf_67","113.756764281849","2"
"69","leaf_68","113.740319610053","1"
"70","leaf_69","113.65172255542","1"
"71","leaf_70","113.384824891331","4"
"72","leaf_71","113.315540815219","2"
"73","leaf_72","113.286825062337","2"
"74","leaf_73","113.013486520132","4"
"75","leaf_74","112.998602867854","3"
"76","leaf_75","112.906115512537","3"
"77","leaf_76","112.728320610724","4"
"78","leaf_77","112.727829791333","2"
"79","leaf_78","112.658512840647","2"
"80","leaf_79","112.653345766324","1"
"81","leaf_80","112.517968329514","2"
"82","leaf_81","112.307403951187","4"
"83","leaf_82","112.117205511055","1"
"84","leaf_83","112.094071614525","4"
"85","leaf_84","111.904364977002","3"
"86","leaf_85","111.874964165975","4"
"87","leaf_86","111.786365943115","3"
"88","leaf_87","111.750397914154","0"
"89","leaf_88","111.567908350383","0"
"90","leaf_89","111.515313846346","4"
"91","leaf_90","111.449336188418","3"
"92","leaf_91","111.396913583974","2"
"93","leaf_92","111.329487561805","2"
"94","leaf_93","111.202000404508","0"
"95","leaf_94","111.194705613683","2"
"96","leaf_95","110.961312445603","4"
"97","leaf_96","110.669818819454","1"
"98","leaf_97","110.632241172053","2"
"99","leaf_98","110.506148735792","1"
"100","leaf_99","110.447444597966","3"
"101","leaf_100","110.426726461334","3"
"102","leaf_101","110.38993653982","2"
"103","leaf_102","110.322764690349","4"
"104","leaf_103","110.240431907903","2"
"105","leaf_104","109.194594095176","2"
"106","leaf_105","109.087544284756","4"
"107","leaf_106","108.980809077144","2"
"108","leaf_107","108.975524740292","3"
"109","leaf_108","108.929792074583","2"
"110","leaf_109","108.828601476436","2"
"111","leaf_110","108.828541151283","3"
"112","leaf_111","108.693604641723","2"
