"","label","time","subgroup"
"1","leaf_0","174.525728946275","2"
"2","leaf_1","169.005009069023","2"
"3","leaf_2","168.23769476055","2"
"4","leaf_3","163.594304002769","3"
"5","leaf_4","160.317704367808","4"
"6","leaf_5","159.537634816444","2"
"7","leaf_6","159.27141357151","2"
"8","leaf_7","157.035302269715","2"
"9","leaf_8","156.80010525743","1"
"10","leaf_9","155.994379351185","0"
"11","leaf_10","155.278304741862","3"
"12","leaf_11","155.237888935273","3"
"13","leaf_12","154.791931596711","2"
"14","leaf_13","153.494902218069","2"
"15","leaf_14","152.894477904888","3"
"16","leaf_15","152.671729616741","3"
"17","leaf_16","152.197357089006","4"
"18","leaf_17","152.066262182067","2"
"19","leaf_18","152.052429664387","2"
"20","leaf_19","151.817460863121","2"
"21","leaf_20","151.323489403829","3"
"22","leaf_21","151.267686125738","2"
"23","leaf_22","151.070807490479","2"
"24","leaf_23","151.066876245721","1"
"25","leaf_24","150.436834171399","4"
"26","leaf_25","149.777181408862","2"
"27","leaf_26","149.653955549172","2"
"28","leaf_27","149.60998806752","4"
"29","leaf_28","149.593146375226","2"
"30","leaf_29","149.579320423264","3"
"31","leaf_30","149.382791803721","1"
"32","leaf_31","149.064074115877","3"
"33","leaf_32","149.036683084497","4"
"34","leaf_33","148.560291332041","1"
"35","leaf_34","148.532188600838","0"
"36","leaf_35","148.456105529495","1"
"37","leaf_36","148.378744529424","2"
"38","leaf_37","148.275470738656","4"
"39","leaf_38","148.263860395099","4"
"40","leaf_39","148.224768148675","3"
"41","leaf_40","147.914791955732","2"
"42","leaf_41","147.809848268546","0"
"43","leaf_42","147.75618918846","2"
"44","leaf_43","147.223598419553","2"
"45","leaf_44","146.758269089113","3"
"46","leaf_45","146.704346931515","2"
"47","leaf_46","146.638194923684","2"
"48","leaf_47","146.482588620789","3"
"49","leaf_48","146.458955900926","2"
"50","leaf_49","146.316380325223","1"
"51","leaf_50","145.971168974349","1"
"52","leaf_51","145.969453627544","4"
"53","leaf_52","145.847838585842","2"
"54","leaf_53","145.797700636691","2"
"55","leaf_54","145.736021814121","2"
"56","leaf_55","145.706133109496","4"
"57","leaf_56","145.64050030765","3"
"58","leaf_57","145.582133444167","3"
"59","leaf_58","145.52493720961","2"
"60","leaf_59","145.473313465638","4"
"61","leaf_60","145.447353340193","2"
"62","leaf_61","145.260336956531","2"
"63","leaf_62","145.125136106832","2"
"64","leaf_63","145.089778396765","2"
"65","leaf_64","145.050786360737","1"
"66","leaf_65","144.94706610787","4"
"67","leaf_66","144.912254693119","2"
"68","leaf_67","144.826654573705","2"
"69","leaf_68","144.642198794672","2"
"70","leaf_69","144.582007183587","2"
"71","leaf_70","143.845841713783","2"
"72","leaf_71","143.538708447086","4"
"73","leaf_72","143.243541596432","3"
"74","leaf_73","143.094577308842","4"
"75","leaf_74","143.046664231228","3"
"76","leaf_75","142.739314181717","2"
"77","leaf_76","142.454790848083","2"
"78","leaf_77","142.421167602393","0"
"79","leaf_78","142.389191639461","2"
"80","leaf_79","142.351529543103","4"
"81","leaf_80","142.325605067802","2"
"82","leaf_81","142.263818531344","2"
"83","leaf_82","142.172878855103","2"
"84","leaf_83","142.101076723204","1"
"85","leaf_84","141.958729326281","0"
"86","leaf_85","141.83699348671","2"
