"","label","time","subgroup"
"1","leaf_0","185.111409236217","4"
"2","leaf_1","176.241753793558","3"
"3","leaf_2","174.670237076957","4"
"4","leaf_3","174.356019488955","2"
"5","leaf_4","173.902397086755","0"
"6","leaf_5","173.46848694053","2"
"7","leaf_6","173.122493160194","0"
"8","leaf_7","170.496051520322","0"
"9","leaf_8","169.455960057673","1"
"10","leaf_9","168.664729409936","3"
"11","leaf_10","167.960060344428","1"
"12","leaf_11","167.617337480963","1"
"13","leaf_12","166.867803940148","0"
"14","leaf_13","165.253216000808","0"
"15","leaf_14","164.916446797516","4"
"16","leaf_15","164.87922149168","2"
"17","leaf_16","164.859851468103","0"
"18","leaf_17","164.088645766839","4"
"19","leaf_18","164.005841313207","3"
"20","leaf_19","163.985458540636","1"
"21","leaf_20","163.94438831103","1"
"22","leaf_21","163.668475628355","3"
"23","leaf_22","162.946572627344","1"
"24","leaf_23","162.8079836118","3"
"25","leaf_24","162.521069986366","0"
"26","leaf_25","162.446112846749","3"
"27","leaf_26","162.23772518644","0"
"28","leaf_27","161.535350764975","4"
"29","leaf_28","161.464894371664","3"
"30","leaf_29","161.082615755714","2"
"31","leaf_30","161.078207557175","3"
"32","leaf_31","160.540989702503","3"
"33","leaf_32","160.501834738955","1"
"34","leaf_33","159.993562785129","4"
"35","leaf_34","159.970900544107","3"
"36","leaf_35","159.789331979436","1"
"37","leaf_36","159.555067202448","1"
"38","leaf_37","159.03662981138","4"
"39","leaf_38","159.02669031061","3"
"40","leaf_39","158.359065669229","1"
"41","leaf_40","158.094025021542","1"
"42","leaf_41","158.025150258661","2"
"43","leaf_42","157.743776832519","3"
"44","leaf_43","157.560356314033","0"
"45","leaf_44","157.397049825641","0"
"46","leaf_45","157.149610788119","3"
"47","leaf_46","157.075741583522","3"
"48","leaf_47","156.880733549906","0"
"49","leaf_48","156.787761628982","4"
"50","leaf_49","156.521944294984","2"
"51","leaf_50","156.384386673729","3"
"52","leaf_51","156.137180299533","4"
"53","leaf_52","156.107481960087","2"
"54","leaf_53","155.976401749663","3"
"55","leaf_54","155.923406121848","3"
"56","leaf_55","155.906008351935","4"
"57","leaf_56","155.565628546718","3"
"58","leaf_57","155.283742125211","4"
"59","leaf_58","155.099601809265","4"
"60","leaf_59","155.096230587389","0"
"61","leaf_60","154.931690207107","1"
"62","leaf_61","154.874825715989","1"
"63","leaf_62","154.723944814849","4"
"64","leaf_63","154.717278063097","4"
"65","leaf_64","154.580206181768","0"
"66","leaf_65","154.524990492979","4"
"67","leaf_66","154.455573231332","1"
"68","leaf_67","154.442728500577","4"
"69","leaf_68","154.169709885788","2"
"70","leaf_69","154.102735897805","4"
"71","leaf_70","154.082129732403","0"
"72","leaf_71","154.075774080777","2"
"73","leaf_72","153.867320056339","0"
"74","leaf_73","153.542539985743","4"
"75","leaf_74","153.5066102275","3"
"76","leaf_75","153.379458685057","4"
"77","leaf_76","153.310775613591","1"
"78","leaf_77","153.225828795724","4"
"79","leaf_78","153.181532897118","4"
"80","leaf_79","152.962394588471","4"
"81","leaf_80","152.804161130412","1"
"82","leaf_81","152.785505541859","0"
"83","leaf_82","152.582416860082","1"
"84","leaf_83","152.490244131555","4"
"85","leaf_84","152.459253112044","3"
"86","leaf_85","152.388971885087","3"
"87","leaf_86","152.224935500277","0"
"88","leaf_87","152.145241143683","0"
"89","leaf_88","151.924526427733","2"
"90","leaf_89","151.898566772524","2"
"91","leaf_90","151.85745175804","3"
"92","leaf_91","151.76034886901","3"
"93","leaf_92","151.567250882436","3"
"94","leaf_93","151.562968673548","3"
"95","leaf_94","151.396852787677","1"
"96","leaf_95","151.2832207601","3"
"97","leaf_96","151.188774003318","1"
"98","leaf_97","151.132618910298","1"
"99","leaf_98","151.03296464567","3"
"100","leaf_99","150.81195235599","0"
"101","leaf_100","150.808501797787","4"
"102","leaf_101","150.562305480405","3"
"103","leaf_102","150.446565675281","2"
"104","leaf_103","150.415309768021","4"
"105","leaf_104","150.315661769834","3"
"106","leaf_105","150.29161671263","3"
"107","leaf_106","150.200737234044","4"
"108","leaf_107","150.142157041419","2"
"109","leaf_108","150.083040109235","4"
"110","leaf_109","150.044010605018","2"
"111","leaf_110","149.966967175169","4"
"112","leaf_111","149.929434314282","0"
"113","leaf_112","149.840964602254","1"
"114","leaf_113","149.830256123536","1"
"115","leaf_114","149.773489047496","1"
"116","leaf_115","149.708408154401","0"
"117","leaf_116","149.694111795475","3"
"118","leaf_117","149.551658342176","4"
"119","leaf_118","149.51831141201","0"
"120","leaf_119","149.399911182736","3"
"121","leaf_120","149.303894644541","2"
"122","leaf_121","149.244549322731","4"
"123","leaf_122","149.205154983103","3"
"124","leaf_123","149.186230488273","3"
"125","leaf_124","149.16146571124","4"
"126","leaf_125","149.121158956866","3"
"127","leaf_126","149.06064206823","0"
"128","leaf_127","149.002838092375","2"
"129","leaf_128","148.963634186091","2"
"130","leaf_129","148.947251439802","3"
"131","leaf_130","148.915392032138","0"
"132","leaf_131","148.870337726573","4"
"133","leaf_132","148.850775403446","1"
"134","leaf_133","148.67253741389","1"
"135","leaf_134","148.562479896037","3"
"136","leaf_135","148.409783697699","1"
