n_mutations,group_1,group_2,n_pairs,RR
1,0-9y,0-9y,112712,1.0189004338288217
1,10-19y,0-9y,231213,1.0122967180397198
1,20-29y,0-9y,279040,0.9930193500280267
1,30-39y,0-9y,236156,0.9985050730759748
1,40-49y,0-9y,181491,0.9995512531213303
1,50-59y,0-9y,134780,0.9963052534400654
1,60-69y,0-9y,90931,0.9889200587507976
1,70-79y,0-9y,38578,0.9832085941679473
1,80y+,0-9y,29142,0.9889596343586996
1,0-9y,10-19y,231213,1.0122967180397198
1,10-19y,10-19y,486922,1.032497399124625
1,20-29y,10-19y,579856,0.9994139161676212
1,30-39y,10-19y,485907,0.9950351810971597
1,40-49y,10-19y,370667,0.9887076319256437
1,50-59y,10-19y,276530,0.990018274012083
1,60-69y,10-19y,185919,0.9792802203024185
1,70-79y,10-19y,77827,0.9606611689144039
1,80y+,10-19y,59615,0.9798255256555877
1,0-9y,20-29y,279040,0.9930193500280267
1,10-19y,20-29y,579856,0.9994139161676212
1,20-29y,20-29y,721964,1.0114314354404927
1,30-39y,20-29y,601892,1.0018426573470125
1,40-49y,20-29y,459930,0.9971749721756173
1,50-59y,20-29y,342885,0.9978037044182391
1,60-69y,20-29y,231717,0.9920573358656644
1,70-79y,20-29y,97967,0.9829137790590161
1,80y+,20-29y,73504,0.9819736683229869
1,0-9y,30-39y,236156,0.9985050730759746
1,10-19y,30-39y,485907,0.9950351810971597
1,20-29y,30-39y,601892,1.0018426573470125
1,30-39y,30-39y,507544,1.0037248817464148
1,40-49y,30-39y,390014,1.0046617588968634
1,50-59y,30-39y,289074,0.9994606516164869
1,60-69y,30-39y,196222,0.99812886984724
1,70-79y,30-39y,83348,0.9935525466852374
1,80y+,30-39y,62044,0.9848015002636054
1,0-9y,40-49y,181491,0.9995512531213303
1,10-19y,40-49y,370667,0.9887076319256439
1,20-29y,40-49y,459930,0.9971749721756173
1,30-39y,40-49y,390014,1.0046617588968634
1,40-49y,40-49y,300814,1.0093374847516714
1,50-59y,40-49y,222149,1.0004599648240342
1,60-69y,40-49y,151271,1.0022897292029798
1,70-79y,40-49y,65327,1.0143481822321099
1,80y+,40-49y,48021,0.9928389231053574
1,0-9y,50-59y,134780,0.9963052534400656
1,10-19y,50-59y,276530,0.990018274012083
1,20-29y,50-59y,342885,0.9978037044182391
1,30-39y,50-59y,289074,0.9994606516164869
1,40-49y,50-59y,222149,1.0004599648240342
1,50-59y,50-59y,166458,1.0061830982126918
1,60-69y,50-59y,113993,1.0137544634023907
1,70-79y,50-59y,49001,1.0212128657560688
1,80y+,50-59y,36545,1.014127489955175
1,0-9y,60-69y,90931,0.9889200587507976
1,10-19y,60-69y,185919,0.9792802203024185
1,20-29y,60-69y,231717,0.9920573358656644
1,30-39y,60-69y,196222,0.99812886984724
1,40-49y,60-69y,151271,1.0022897292029798
1,50-59y,60-69y,113993,1.0137544634023907
1,60-69y,60-69y,78928,1.0326851802955381
1,70-79y,60-69y,34255,1.0503101365660816
1,80y+,60-69y,25638,1.046721109471241
1,0-9y,70-79y,38578,0.9832085941679473
1,10-19y,70-79y,77827,0.9606611689144039
1,20-29y,70-79y,97967,0.9829137790590161
1,30-39y,70-79y,83348,0.9935525466852376
1,40-49y,70-79y,65327,1.0143481822321097
1,50-59y,70-79y,49001,1.0212128657560688
1,60-69y,70-79y,34255,1.0503101365660816
1,70-79y,70-79y,15342,1.1023824787305607
1,80y+,70-79y,11534,1.1035284270894865
1,0-9y,80y+,29142,0.9889596343586998
1,10-19y,80y+,59615,0.9798255256555874
1,20-29y,80y+,73504,0.9819736683229869
1,30-39y,80y+,62044,0.9848015002636054
1,40-49y,80y+,48021,0.9928389231053574
1,50-59y,80y+,36545,1.0141274899551753
1,60-69y,80y+,25638,1.046721109471241
1,70-79y,80y+,11534,1.1035284270894865
1,80y+,80y+,9320,1.1873335645043748
