n_mutations,group_1,group_2,n_pairs,RR
0,0-9y,0-9y,21248,1.0108392188829156
0,10-19y,0-9y,48329,1.0097827277308207
0,20-29y,0-9y,53230,1.0015152114182129
0,30-39y,0-9y,46573,0.9897241757743552
0,40-49y,0-9y,37591,0.997081381642674
0,50-59y,0-9y,28577,0.9869490947120289
0,60-69y,0-9y,19273,0.9982604719504794
0,70-79y,0-9y,7944,1.007692376727052
0,80y+,0-9y,6885,1.0249846040886235
0,0-9y,10-19y,48329,1.0097827277308207
0,10-19y,10-19y,111454,1.0227556596568568
0,20-29y,10-19y,118584,0.9799034402125637
0,30-39y,10-19y,106161,0.990834383117753
0,40-49y,10-19y,85580,0.9969539834299502
0,50-59y,10-19y,66495,1.0086098649957511
0,60-69y,10-19y,43816,0.9967434358866377
0,70-79y,10-19y,17709,0.986594928279095
0,80y+,10-19y,15838,1.0355470579092438
0,0-9y,20-29y,53230,1.0015152114182129
0,10-19y,20-29y,118584,0.9799034402125637
0,20-29y,20-29y,132388,0.985114616690224
0,30-39y,20-29y,121158,1.018284465731565
0,40-49y,20-29y,96381,1.011056006881352
0,50-59y,20-29y,73770,1.0076157785295918
0,60-69y,20-29y,48932,1.0023619638636982
0,70-79y,20-29y,20134,1.0100802043490178
0,80y+,20-29y,17233,1.0146385141087104
0,0-9y,30-39y,46573,0.9897241757743551
0,10-19y,30-39y,106161,0.990834383117753
0,20-29y,30-39y,121158,1.018284465731565
0,30-39y,30-39y,105950,1.0057658028572904
0,40-49y,30-39y,84105,0.996516472576979
0,50-59y,30-39y,64566,0.9960885297137385
0,60-69y,30-39y,42813,0.9905722405153419
0,70-79y,30-39y,17540,0.9938807195785228
0,80y+,30-39y,14783,0.983086910129432
0,0-9y,40-49y,37591,0.997081381642674
0,10-19y,40-49y,85580,0.9969539834299502
0,20-29y,40-49y,96381,1.0110560068813519
0,30-39y,40-49y,84105,0.996516472576979
0,40-49y,40-49y,67250,0.994538771435078
0,50-59y,40-49y,51552,0.992673295781497
0,60-69y,40-49y,34741,1.003274029923371
0,70-79y,40-49y,14310,1.0120712159461223
0,80y+,40-49y,12125,1.006416728070842
0,0-9y,50-59y,28577,0.9869490947120289
0,10-19y,50-59y,66495,1.0086098649957511
0,20-29y,50-59y,73770,1.0076157785295918
0,30-39y,50-59y,64566,0.9960885297137385
0,40-49y,50-59y,51552,0.992673295781497
0,50-59y,50-59y,39838,0.9988257680049608
0,60-69y,50-59y,26639,1.001674374666154
0,70-79y,50-59y,10813,0.9957470604806518
0,80y+,50-59y,9188,0.9929982346413972
0,0-9y,60-69y,19273,0.9982604719504795
0,10-19y,60-69y,43816,0.9967434358866379
0,20-29y,60-69y,48932,1.002361963863698
0,30-39y,60-69y,42813,0.9905722405153419
0,40-49y,60-69y,34741,1.0032740299233707
0,50-59y,60-69y,26639,1.001674374666154
0,60-69y,60-69y,17890,1.0088704959118309
0,70-79y,60-69y,7444,1.028076967622585
0,80y+,60-69y,6120,0.991962711703651
0,0-9y,70-79y,7944,1.007692376727052
0,10-19y,70-79y,17709,0.986594928279095
0,20-29y,70-79y,20134,1.0100802043490178
0,30-39y,70-79y,17540,0.9938807195785228
0,40-49y,70-79y,14310,1.0120712159461225
0,50-59y,70-79y,10813,0.9957470604806518
0,60-69y,70-79y,7444,1.0280769676225852
0,70-79y,70-79y,2922,0.9883110725993185
0,80y+,70-79y,2313,0.9181502188342219
0,0-9y,80y+,6885,1.0249846040886235
0,10-19y,80y+,15838,1.0355470579092436
0,20-29y,80y+,17233,1.0146385141087104
0,30-39y,80y+,14783,0.9830869101294321
0,40-49y,80y+,12125,1.006416728070842
0,50-59y,80y+,9188,0.9929982346413972
0,60-69y,80y+,6120,0.991962711703651
0,70-79y,80y+,2313,0.9181502188342219
0,80y+,80y+,1684,0.7845215113560057
