n_mutations,group_1,group_2,n_pairs,RR
0,0-9y,0-9y,27200,1.041344242765273
0,10-19y,0-9y,61301,1.0069235477555663
0,20-29y,0-9y,69110,0.9900952698707353
0,30-39y,0-9y,57792,0.9942400153778697
0,40-49y,0-9y,46340,1.0032251243096801
0,50-59y,0-9y,34772,0.9847484734165503
0,60-69y,0-9y,23277,0.9940349474951979
0,70-79y,0-9y,9443,1.0041694247159905
0,80y+,0-9y,7831,1.001893133927084
0,0-9y,10-19y,61301,1.0069235477555663
0,10-19y,10-19y,149456,1.0532847946454709
0,20-29y,10-19y,161372,0.9918997850185316
0,30-39y,10-19y,132587,0.9786513058444297
0,40-49y,10-19y,106202,0.9864579739844723
0,50-59y,10-19y,82060,0.9970815490954057
0,60-69y,10-19y,53548,0.9811184059341971
0,70-79y,10-19y,20949,0.9557929495789766
0,80y+,10-19y,18143,0.9959024454795509
0,0-9y,20-29y,69110,0.9900952698707353
0,10-19y,20-29y,161372,0.9918997850185317
0,20-29y,20-29y,188104,1.0084277776537562
0,30-39y,20-29y,157521,1.0140810113746461
0,40-49y,20-29y,123435,0.999980124916552
0,50-59y,20-29y,94112,0.9973585717712425
0,60-69y,20-29y,62005,0.9908594027079786
0,70-79y,20-29y,24669,0.9816557740916722
0,80y+,20-29y,20422,0.9777169058391837
0,0-9y,30-39y,57792,0.9942400153778695
0,10-19y,30-39y,132587,0.9786513058444297
0,20-29y,30-39y,157521,1.0140810113746461
0,30-39y,30-39y,131784,1.0187891171874925
0,40-49y,30-39y,102982,1.001847895216581
0,50-59y,30-39y,78392,0.9976207821315629
0,60-69y,30-39y,51579,0.9897959268110235
0,70-79y,30-39y,20648,0.9866726574810682
0,80y+,30-39y,16811,0.9664865670565571
0,0-9y,40-49y,46340,1.0032251243096801
0,10-19y,40-49y,106202,0.9864579739844723
0,20-29y,40-49y,123435,0.999980124916552
0,30-39y,40-49y,102982,1.0018478952165812
0,40-49y,40-49y,82096,1.0050353141325599
0,50-59y,40-49y,62407,0.9994150965075953
0,60-69y,40-49y,41799,1.009386501571099
0,70-79y,40-49y,16896,1.0160097112020692
0,80y+,40-49y,13914,1.0066375569138286
0,0-9y,50-59y,34772,0.9847484734165503
0,10-19y,50-59y,82060,0.9970815490954057
0,20-29y,50-59y,94112,0.9973585717712425
0,30-39y,50-59y,78392,0.997620782131563
0,40-49y,50-59y,62407,0.9994150965075954
0,50-59y,50-59y,48100,1.007652880345156
0,60-69y,50-59y,32115,1.0145017534787781
0,70-79y,50-59y,12919,1.0162396400286133
0,80y+,50-59y,10787,1.0208809131318966
0,0-9y,60-69y,23277,0.9940349474951982
0,10-19y,60-69y,53548,0.9811184059341971
0,20-29y,60-69y,62005,0.9908594027079786
0,30-39y,60-69y,51579,0.9897959268110234
0,40-49y,60-69y,41799,1.009386501571099
0,50-59y,60-69y,32115,1.0145017534787781
0,60-69y,60-69y,21540,1.0260524837711495
0,70-79y,60-69y,9011,1.0688560605480038
0,80y+,60-69y,7306,1.042636860755582
0,0-9y,70-79y,9443,1.0041694247159905
0,10-19y,70-79y,20949,0.9557929495789768
0,20-29y,70-79y,24669,0.9816557740916722
0,30-39y,70-79y,20648,0.9866726574810682
0,40-49y,70-79y,16896,1.0160097112020692
0,50-59y,70-79y,12919,1.0162396400286133
0,60-69y,70-79y,9011,1.0688560605480038
0,70-79y,70-79y,3762,1.1111875912982385
0,80y+,70-79y,3054,1.0852874896830929
0,0-9y,80y+,7831,1.001893133927084
0,10-19y,80y+,18143,0.9959024454795509
0,20-29y,80y+,20422,0.9777169058391836
0,30-39y,80y+,16811,0.9664865670565573
0,40-49y,80y+,13914,1.0066375569138286
0,50-59y,80y+,10787,1.0208809131318966
0,60-69y,80y+,7306,1.042636860755582
0,70-79y,80y+,3054,1.0852874896830929
0,80y+,80y+,2596,1.1099096430570832
