n_mutations,group_1,group_2,n_pairs,RR
4,Adams County,Adams County,1212,1.614642542724671
4,Asotin County,Adams County,378,1.709253069484403
4,Benton County,Adams County,10490,1.6580325064632049
4,Chelan County,Adams County,2360,1.0707027742418274
4,Clallam County,Adams County,2975,0.9645467779715103
4,Clark County,Adams County,2554,0.9369965415406345
4,Columbia County,Adams County,44,0.8167920953728655
4,Cowlitz County,Adams County,2886,1.1062027639900498
4,Douglas County,Adams County,1581,1.120668973390184
4,Ferry County,Adams County,127,1.1186765345304932
4,Franklin County,Adams County,8048,1.7500260852496672
4,Garfield County,Adams County,30,1.6928676071115196
4,Grant County,Adams County,2829,1.2389704807029474
4,Grays Harbor County,Adams County,3671,0.949809869668626
4,Island County,Adams County,1016,0.9170502136471128
4,Jefferson County,Adams County,225,1.0301388191536534
4,King County,Adams County,73727,0.8527753095559798
4,Kitsap County,Adams County,2810,0.8756768183594279
4,Kittitas County,Adams County,1104,1.39389100142405
4,Klickitat County,Adams County,329,1.29057764593874
4,Lewis County,Adams County,3927,1.3064738765475914
4,Lincoln County,Adams County,146,2.0075402121483967
4,Mason County,Adams County,948,0.969973656826915
4,Okanogan County,Adams County,1114,1.1878151961481809
4,Pacific County,Adams County,1196,1.0347043676799934
4,Pend Oreille County,Adams County,270,1.7379656708467737
4,Pierce County,Adams County,14252,0.9231690714200373
4,San Juan County,Adams County,101,0.9348240141345933
4,Skagit County,Adams County,3333,0.9801221912727134
4,Skamania County,Adams County,14,0.674139288481268
4,Snohomish County,Adams County,13444,0.8661521583046938
4,Spokane County,Adams County,11584,1.3739318600295085
4,Stevens County,Adams County,379,1.4739949133510204
4,Thurston County,Adams County,14212,1.0607718884864812
4,Wahkiakum County,Adams County,54,1.0870055229711393
4,Walla Walla County,Adams County,1662,1.0890757099548352
4,Whatcom County,Adams County,10003,0.8722711140541249
4,Whitman County,Adams County,2215,1.1326355182373784
4,Yakima County,Adams County,15680,1.2299621642031002
4,Adams County,Asotin County,378,1.709253069484403
4,Asotin County,Asotin County,144,2.210130195532018
4,Benton County,Asotin County,3075,1.649694285820625
4,Chelan County,Asotin County,654,1.0071066662426893
4,Clallam County,Asotin County,930,1.023434541257114
4,Clark County,Asotin County,705,0.8779039626326265
4,Columbia County,Asotin County,13,0.8191114547804604
4,Cowlitz County,Asotin County,860,1.1188649292088029
4,Douglas County,Asotin County,458,1.1019242831510376
4,Ferry County,Asotin County,40,1.1959185328626367
4,Franklin County,Asotin County,2282,1.6842749593057973
4,Garfield County,Asotin County,6,1.1491951591100562
4,Grant County,Asotin County,831,1.2352925801724006
4,Grays Harbor County,Asotin County,1045,0.9177182777157554
4,Island County,Asotin County,347,1.0630891374151221
4,Jefferson County,Asotin County,73,1.1344278832267463
4,King County,Asotin County,20503,0.8049451059575544
4,Kitsap County,Asotin County,794,0.839844403874562
4,Kittitas County,Asotin County,315,1.3499295126892341
4,Klickitat County,Asotin County,146,1.9439356912620722
4,Lewis County,Asotin County,1525,1.7220686875995495
4,Lincoln County,Asotin County,37,1.7268472321805732
4,Mason County,Asotin County,275,0.955047766832298
4,Okanogan County,Asotin County,347,1.2558389781622123
4,Pacific County,Asotin County,344,1.0101464515866756
4,Pend Oreille County,Asotin County,138,3.0150694023341535
4,Pierce County,Asotin County,3882,0.8534965319738008
4,San Juan County,Asotin County,29,0.9110606340845587
4,Skagit County,Asotin County,1042,1.0400481000306152
4,Skamania County,Asotin County,10,1.6344152279879627
4,Snohomish County,Asotin County,3971,0.8683731217569927
4,Spokane County,Asotin County,4030,1.6223796459630206
4,Stevens County,Asotin County,135,1.7820970064855177
4,Thurston County,Asotin County,4070,1.0311029033571857
4,Wahkiakum County,Asotin County,15,1.0248729890800194
4,Walla Walla County,Asotin County,500,1.112084670229927
4,Whatcom County,Asotin County,3268,0.96726186807404535
4,Whitman County,Asotin County,788,1.3676767394744165
4,Yakima County,Asotin County,4728,1.258820940689402
4,Adams County,Benton County,10490,1.658032506463205
4,Asotin County,Benton County,3075,1.6496942858206252
4,Benton County,Benton County,95846,1.7973610536990168
4,Chelan County,Benton County,18991,1.0222298065206457
4,Clallam County,Benton County,25899,0.9962379961429554
4,Clark County,Benton County,19735,0.8590095795750116
4,Columbia County,Benton County,414,0.9118071052858031
4,Cowlitz County,Benton County,21690,0.9863742947661809
4,Douglas County,Benton County,12187,1.0249108031283507
4,Ferry County,Benton County,986,1.0304371403595964
4,Franklin County,Benton County,73602,1.8988469068134173
4,Garfield County,Benton County,334,2.2361039476399274
4,Grant County,Benton County,23396,1.2156635795502502
4,Grays Harbor County,Benton County,29558,0.9073422200662224
4,Island County,Benton County,8674,0.9288864069656859
4,Jefferson County,Benton County,1536,0.8343499266738721
4,King County,Benton County,615357,0.8444598033829442
4,Kitsap County,Benton County,22925,0.8475994351940618
4,Kittitas County,Benton County,8308,1.2445146410931773
4,Klickitat County,Benton County,2740,1.2752125690006193
4,Lewis County,Benton County,34246,1.3517409252827424
4,Lincoln County,Benton County,992,1.6183291277494878
4,Mason County,Benton County,8004,0.9716334631845063
4,Okanogan County,Benton County,8925,1.1290565442436538
4,Pacific County,Benton County,9484,0.9734651968821615
4,Pend Oreille County,Benton County,1971,1.5052472251104476
4,Pierce County,Benton County,116758,0.8972962668105763
4,San Juan County,Benton County,752,0.8257909296597689
4,Skagit County,Benton County,27802,0.9699843538148565
4,Skamania County,Benton County,143,0.8169611819838775
4,Snohomish County,Benton County,117852,0.900837437539774
4,Spokane County,Benton County,93064,1.309580326214724
4,Stevens County,Benton County,2687,1.2398473628508597
4,Thurston County,Benton County,114412,1.013169626982858
4,Wahkiakum County,Benton County,411,0.9815752382349288
4,Walla Walla County,Benton County,13778,1.0711665796377492
4,Whatcom County,Benton County,85811,0.8877853340081855
4,Whitman County,Benton County,17766,1.0778290510224906
4,Yakima County,Benton County,144104,1.3411134281675476
4,Adams County,Chelan County,2360,1.0707027742418274
4,Asotin County,Chelan County,654,1.0071066662426895
4,Benton County,Chelan County,18991,1.0222298065206457
4,Chelan County,Chelan County,7060,1.0907991220720827
4,Clallam County,Chelan County,9014,0.9952611047748063
4,Clark County,Chelan County,8422,1.0522416442832814
4,Columbia County,Chelan County,164,1.0367781869910238
4,Cowlitz County,Chelan County,8061,1.0522295338651406
4,Douglas County,Chelan County,4473,1.079760734356495
4,Ferry County,Chelan County,382,1.14590159524316
4,Franklin County,Chelan County,14237,1.0542854020474706
4,Garfield County,Chelan County,59,1.1338011822126133
4,Grant County,Chelan County,7087,1.0569966190068216
4,Grays Harbor County,Chelan County,11482,1.0117028882386974
4,Island County,Chelan County,3064,0.9418274046336103
4,Jefferson County,Chelan County,690,1.0758345305152415
4,King County,Chelan County,247894,0.9764662206898773
4,Kitsap County,Chelan County,9646,1.0236887822216885
4,Kittitas County,Chelan County,2538,1.0912757699072833
4,Klickitat County,Chelan County,784,1.047339436745146
4,Lewis County,Chelan County,8329,0.9436606480991724
4,Lincoln County,Chelan County,223,1.0442378099075444
4,Mason County,Chelan County,3065,1.0679852010977806
4,Okanogan County,Chelan County,2871,1.0425095268523172
4,Pacific County,Chelan County,3698,1.0895198904188874
4,Pend Oreille County,Chelan County,444,0.9732928958802918
4,Pierce County,Chelan County,45574,1.005323267388274
4,San Juan County,Chelan County,312,0.9834362987772785
4,Skagit County,Chelan County,9950,0.9964399771289101
4,Skamania County,Chelan County,84,1.3774760050826045
4,Snohomish County,Chelan County,44645,0.9795388582422138
4,Spokane County,Chelan County,26063,1.0527232225132597
4,Stevens County,Chelan County,773,1.0238101302954097
4,Thurston County,Chelan County,40142,1.0203495175061017
4,Wahkiakum County,Chelan County,149,1.021427186604779
4,Walla Walla County,Chelan County,4974,1.1099821303146395
4,Whatcom County,Chelan County,32208,0.9564629092307204
4,Whitman County,Chelan County,6006,1.0458873915897116
4,Yakima County,Chelan County,38678,1.0332201241625825
4,Adams County,Clallam County,2975,0.9645467779715103
4,Asotin County,Clallam County,930,1.023434541257114
4,Benton County,Clallam County,25899,0.9962379961429554
4,Chelan County,Clallam County,9014,0.9952611047748063
4,Clallam County,Clallam County,14566,1.1493152874589698
4,Clark County,Clallam County,11208,1.0007089189926708
4,Columbia County,Clallam County,211,0.9532435124073549
4,Cowlitz County,Clallam County,10979,1.0241504280876592
4,Douglas County,Clallam County,5827,1.0052013188817452
4,Ferry County,Clallam County,496,1.0632736153137503
4,Franklin County,Clallam County,18597,0.9841515907628948
4,Garfield County,Clallam County,61,0.837710826842071
4,Grant County,Clallam County,9184,0.9788641879740219
4,Grays Harbor County,Clallam County,16550,1.0421082762137588
4,Island County,Clallam County,4506,0.9898129900734177
4,Jefferson County,Clallam County,950,1.058520793358255
4,King County,Clallam County,350946,0.9878952681504105
4,Kitsap County,Clallam County,13541,1.0269536062456657
4,Kittitas County,Clallam County,3438,1.0563994505258492
4,Klickitat County,Clallam County,1151,1.0988188913472279
4,Lewis County,Clallam County,12393,1.0034109404863982
4,Lincoln County,Clallam County,329,1.1009557110288573
4,Mason County,Clallam County,4209,1.0480767363203312
4,Okanogan County,Clallam County,4117,1.0683341386075906
4,Pacific County,Clallam County,4913,1.0344140722315267
4,Pend Oreille County,Clallam County,602,0.9430538103897891
4,Pierce County,Clallam County,63027,0.993561195641202
4,San Juan County,Clallam County,487,1.0969832615625918
4,Skagit County,Clallam County,13873,0.9928367589944199
4,Skamania County,Clallam County,99,1.1601639075081855
4,Snohomish County,Clallam County,63675,0.9983830404158476
4,Spokane County,Clallam County,36195,1.0447629905682971
4,Stevens County,Clallam County,1091,1.0326284322885018
4,Thurston County,Clallam County,55918,1.0157363299369748
4,Wahkiakum County,Clallam County,247,1.2100337880976153
4,Walla Walla County,Clallam County,6370,1.0158487208690312
4,Whatcom County,Clallam County,46033,0.9769066236726154
4,Whitman County,Clallam County,8071,1.0043991731872421
4,Yakima County,Clallam County,52254,0.9975341853911156
4,Adams County,Clark County,2554,0.9369965415406345
4,Asotin County,Clark County,705,0.8779039626326265
4,Benton County,Clark County,19735,0.8590095795750117
4,Chelan County,Clark County,8422,1.0522416442832814
4,Clallam County,Clark County,11208,1.0007089189926708
4,Clark County,Clark County,10986,1.1099413049026587
4,Columbia County,Clark County,208,1.0633237355311371
4,Cowlitz County,Clark County,9737,1.0277959599025421
4,Douglas County,Clark County,5266,1.0279444754896796
4,Ferry County,Clark County,406,0.9848501710663677
4,Franklin County,Clark County,13524,0.8098508460601501
4,Garfield County,Clark County,60,0.9323872245251399
4,Grant County,Clark County,7763,0.9362695981757092
4,Grays Harbor County,Clark County,14185,1.010706264268677
4,Island County,Clark County,4269,1.0611307182301306
4,Jefferson County,Clark County,785,0.9897516068640541
4,King County,Clark County,319655,1.01819950335574
4,Kitsap County,Clark County,12423,1.0661230715851842
4,Kittitas County,Clark County,2612,0.9081889997849272
4,Klickitat County,Clark County,871,0.9409135421371014
4,Lewis County,Clark County,9834,0.9009762782889148
4,Lincoln County,Clark County,265,1.0034612240162286
4,Mason County,Clark County,3509,0.9887313260080098
4,Okanogan County,Clark County,3264,0.9584228515494682
4,Pacific County,Clark County,4194,0.99921018573532006
4,Pend Oreille County,Clark County,451,0.7994610234470312
4,Pierce County,Clark County,56360,1.0053556906042123
4,San Juan County,Clark County,394,1.0042643171979813
4,Skagit County,Clark County,12676,1.026527203432357
4,Skamania County,Clark County,91,1.2067194663316836
4,Snohomish County,Clark County,58989,1.046598350032055
4,Spokane County,Clark County,28343,0.9257544026032379
4,Stevens County,Clark County,830,0.8889517534254979
4,Thurston County,Clark County,47528,0.9769214968360506
4,Wahkiakum County,Clark County,213,1.1807580578194696
4,Walla Walla County,Clark County,5620,1.0141605006978531
4,Whatcom County,Clark County,45765,1.0990008094371506
4,Whitman County,Clark County,6954,0.9792519746947703
4,Yakima County,Clark County,42549,0.9191330336629217
4,Adams County,Columbia County,44,0.8167920953728656
4,Asotin County,Columbia County,13,0.8191114547804604
4,Benton County,Columbia County,414,0.9118071052858031
4,Chelan County,Columbia County,164,1.036778186991024
4,Clallam County,Columbia County,211,0.9532435124073549
4,Clark County,Columbia County,208,1.0633237355311373
4,Columbia County,Columbia County,4,1.0346749133965782
4,Cowlitz County,Columbia County,178,0.9506999984417447
4,Douglas County,Columbia County,89,0.8790641386279778
4,Ferry County,Columbia County,9,1.104659406941048
4,Franklin County,Columbia County,243,0.7362883119671428
4,Garfield County,Columbia County,1,0.7862973618267911
4,Grant County,Columbia County,161,0.98251449469507
4,Grays Harbor County,Columbia County,308,1.1104220790499308
4,Island County,Columbia County,73,0.9181366988473166
4,Jefferson County,Columbia County,12,0.7655605741766898
4,King County,Columbia County,6267,1.0100731535073486
4,Kitsap County,Columbia County,241,1.0465010150049987
4,Kittitas County,Columbia County,60,1.0555919504088016
4,Klickitat County,Columbia County,16,0.8745674337811828
4,Lewis County,Columbia County,192,0.8900740431330904
4,Lincoln County,Columbia County,5,0.9580021420027337
4,Mason County,Columbia County,70,0.998009604075968
4,Okanogan County,Columbia County,88,1.30746910891403
4,Pacific County,Columbia County,87,1.048792163475288
4,Pend Oreille County,Columbia County,9,0.8072443563758992
4,Pierce County,Columbia County,1132,1.0217318639616357
4,San Juan County,Columbia County,11,1.4186858919647631
4,Skagit County,Columbia County,203,0.8318136157330712
