n_mutations,group_1,group_2,n_pairs,RR
1,Adams County,Adams County,16,339.9046520569012
1,Asotin County,Adams County,0,0
1,Benton County,Adams County,59,14.939718054911125
1,Chelan County,Adams County,0,0
1,Clallam County,Adams County,0,0
1,Clark County,Adams County,0,0
1,Cowlitz County,Adams County,0,0
1,Douglas County,Adams County,0,0
1,Ferry County,Adams County,0,0
1,Franklin County,Adams County,54,22.123686230022358
1,Grant County,Adams County,2,22.51316526610644
1,Grays Harbor County,Adams County,2,11.212896025162978
1,Island County,Adams County,0,0
1,Jefferson County,Adams County,0,0
1,King County,Adams County,21,0.161675333910511
1,Kitsap County,Adams County,1,2.6329187811211967
1,Kittitas County,Adams County,0,0
1,Klickitat County,Adams County,0,0
1,Lewis County,Adams County,0,0
1,Lincoln County,Adams County,10,138.0186087173723
1,Mason County,Adams County,0,0
1,Okanogan County,Adams County,0,0
1,Pacific County,Adams County,0,0
1,Pend Oreille County,Adams County,0,0
1,Pierce County,Adams County,15,0.5756682787173883
1,San Juan County,Adams County,0,0
1,Skagit County,Adams County,0,0
1,Skamania County,Adams County,0,0
1,Snohomish County,Adams County,2,0.11937484337057873
1,Spokane County,Adams County,16,9.084311413547471
1,Stevens County,Adams County,0,0
1,Thurston County,Adams County,1,0.3065561514978772
1,Wahkiakum County,Adams County,0,0
1,Walla Walla County,Adams County,0,0
1,Whatcom County,Adams County,2,0.2894786128999726
1,Whitman County,Adams County,2,3.9025522861103012
1,Yakima County,Adams County,1,0.14028824011800758
1,Adams County,Benton County,59,14.939718054911129
1,Asotin County,Benton County,0,0
1,Benton County,Benton County,2768,8.354293709554783
1,Chelan County,Benton County,24,4.202519942363969
1,Clallam County,Benton County,2,0.07596466807581928
1,Clark County,Benton County,21,0.858208433641376
1,Cowlitz County,Benton County,1,0.027418245377684242
1,Douglas County,Benton County,44,1.9627485913890441
1,Ferry County,Benton County,0,0
1,Franklin County,Benton County,2433,11.881167087479529
1,Grant County,Benton County,48,6.440225366220108
1,Grays Harbor County,Benton County,6,0.40095193499268134
1,Island County,Benton County,2,0.042393085179776045
1,Jefferson County,Benton County,0,0
1,King County,Benton County,6345,0.5822498190311679
1,Kitsap County,Benton County,8,0.25106184345835775
1,Kittitas County,Benton County,41,2.4066988022202747
1,Klickitat County,Benton County,0,0
1,Lewis County,Benton County,28,1.4972746171465832
1,Lincoln County,Benton County,13,2.1386231394593707
1,Mason County,Benton County,10,1.9419539207352299
1,Okanogan County,Benton County,3,3.0385867230327714
1,Pacific County,Benton County,5,1.4348881747654754
1,Pend Oreille County,Benton County,0,0
1,Pierce County,Benton County,1323,0.6051933511718506
1,San Juan County,Benton County,0,0
1,Skagit County,Benton County,49,0.31003708234766025
1,Skamania County,Benton County,0,0
1,Snohomish County,Benton County,929,0.6609244176517265
1,Spokane County,Benton County,419,2.8355631112488444
1,Stevens County,Benton County,1,0.7826662771448047
1,Thurston County,Benton County,278,1.0157997349545784
1,Wahkiakum County,Benton County,0,0
1,Walla Walla County,Benton County,36,13.475471554319247
1,Whatcom County,Benton County,250,0.43130029967568223
1,Whitman County,Benton County,130,3.023537441648998
1,Yakima County,Benton County,1839,3.075078878744449
1,Adams County,Franklin County,54,22.123686230022358
1,Asotin County,Franklin County,0,0
1,Benton County,Franklin County,2433,11.881167087479529
1,Chelan County,Franklin County,29,8.216178765650486
1,Clallam County,Franklin County,6,0.3687281038337059
1,Clark County,Franklin County,16,1.0579540531937552
1,Cowlitz County,Franklin County,2,0.08872438450351026
1,Douglas County,Franklin County,46,3.3200388854111456
1,Ferry County,Franklin County,0,0
1,Franklin County,Franklin County,2656,20.985455781558567
1,Grant County,Franklin County,61,13.242287226858979
1,Grays Harbor County,Franklin County,2,0.2162441661120483
1,Island County,Franklin County,3,0.10288679138568732
1,Jefferson County,Franklin County,0,0
1,King County,Franklin County,2098,0.31149893089443237
1,Kitsap County,Franklin County,14,0.7108731365931309
