n_mutations,group_1,group_2,n_pairs,RR,variant
4,Adams County,Adams County,542,0.927397326529127,Omicron
4,Asotin County,Adams County,152,1.023836715244096,Omicron
4,Benton County,Adams County,4110,0.9535588271157431,Omicron
4,Chelan County,Adams County,1676,0.9931722816887956,Omicron
4,Clallam County,Adams County,2093,0.9785955112016206,Omicron
4,Clark County,Adams County,2012,1.0903759634765011,Omicron
4,Columbia County,Adams County,43,0.9095569641571207,Omicron
4,Cowlitz County,Adams County,2260,1.0288782007288404,Omicron
4,Douglas County,Adams County,1206,1.072348835163586,Omicron
4,Ferry County,Adams County,81,0.9428065575741733,Omicron
4,Franklin County,Adams County,2493,0.9712315827796763,Omicron
4,Grant County,Adams County,2089,1.0108168732122373,Omicron
4,Grays Harbor County,Adams County,3365,0.9675788103084063,Omicron
4,Island County,Adams County,628,0.9939582641422576,Omicron
4,Jefferson County,Adams County,203,1.0600047547157947,Omicron
4,King County,Adams County,57244,1.0072122588389836,Omicron
4,Kitsap County,Adams County,2437,1.0220995199468432,Omicron
4,Kittitas County,Adams County,621,1.0130533695690738,Omicron
4,Klickitat County,Adams County,180,0.9487804570701609,Omicron
4,Lewis County,Adams County,2319,1.0085074935943394,Omicron
4,Lincoln County,Adams County,24,0.9696163016870137,Omicron
4,Mason County,Adams County,583,0.9431279211105557,Omicron
4,Okanogan County,Adams County,766,1.0119169088472302,Omicron
4,Pacific County,Adams County,1028,0.985674331018995,Omicron
4,Pend Oreille County,Adams County,106,1.0178783962214142,Omicron
4,Pierce County,Adams County,11274,0.9968896715322306,Omicron
4,San Juan County,Adams County,85,1.1356541465906398,Omicron
4,Skagit County,Adams County,1941,1.015525404138459,Omicron
4,Skamania County,Adams County,11,0.8392880066056976,Omicron
4,Snohomish County,Adams County,9470,0.9994362455314197,Omicron
4,Spokane County,Adams County,5975,1.0062633987165444,Omicron
4,Stevens County,Adams County,199,1.0952268640373852,Omicron
4,Thurston County,Adams County,12377,1.009135108497156,Omicron
4,Wahkiakum County,Adams County,30,0.8515838300047853,Omicron
4,Walla Walla County,Adams County,1055,0.9114499485811793,Omicron
4,Whatcom County,Adams County,6180,1.020028198738873,Omicron
4,Whitman County,Adams County,1691,1.0173559647629078,Omicron
4,Yakima County,Adams County,9896,0.9522595555786615,Omicron
4,Adams County,Asotin County,152,1.023836715244096,Omicron
4,Asotin County,Asotin County,24,0.6363835013325445,Omicron
4,Benton County,Asotin County,1072,0.9790863880699072,Omicron
4,Chelan County,Asotin County,432,1.0077548139101193,Omicron
4,Clallam County,Asotin County,558,1.027043287325793,Omicron
4,Clark County,Asotin County,490,1.0453577212129899,Omicron
4,Columbia County,Asotin County,12,0.9992249105491722,Omicron
4,Cowlitz County,Asotin County,573,1.02690603710977,Omicron
4,Douglas County,Asotin County,332,1.1621104828273403,Omicron
4,Ferry County,Asotin County,25,1.1455080429034215,Omicron
4,Franklin County,Asotin County,657,1.0075960261445616,Omicron
4,Grant County,Asotin County,535,1.0190802462859583,Omicron
4,Grays Harbor County,Asotin County,888,1.005159090225925,Omicron
4,Island County,Asotin County,157,0.978202382193889,Omicron
4,Jefferson County,Asotin County,48,0.9866737434676693,Omicron
4,King County,Asotin County,14363,0.9948480404984078,Omicron
4,Kitsap County,Asotin County,640,1.0566671048679757,Omicron
4,Kittitas County,Asotin County,149,0.9568581320154733,Omicron
4,Klickitat County,Asotin County,50,1.037489686736883,Omicron
4,Lewis County,Asotin County,608,1.0408844454334596,Omicron
4,Lincoln County,Asotin County,4,0.6361641867278754,Omicron
4,Mason County,Asotin County,151,0.9616112892340046,Omicron
4,Okanogan County,Asotin County,172,0.8944685778698958,Omicron
4,Pacific County,Asotin County,278,1.0493145297429718,Omicron
4,Pend Oreille County,Asotin County,25,0.9450408873856738,Omicron
4,Pierce County,Asotin County,2835,0.9868307815046861,Omicron
4,San Juan County,Asotin County,24,1.262289487757031,Omicron
4,Skagit County,Asotin County,502,1.0339261802682902,Omicron
4,Skamania County,Asotin County,5,1.5017889163255307,Omicron
4,Snohomish County,Asotin County,2397,0.9958494985696029,Omicron
4,Spokane County,Asotin County,1483,0.9831855251803711,Omicron
4,Stevens County,Asotin County,58,1.2566072567960223,Omicron
4,Thurston County,Asotin County,3171,1.0177725310829453,Omicron
4,Wahkiakum County,Asotin County,5,0.5587232121644715,Omicron
4,Walla Walla County,Asotin County,280,0.9522674834510897,Omicron
4,Whatcom County,Asotin County,1607,1.0441433772242048,Omicron
4,Whitman County,Asotin County,452,1.0705040665615106,Omicron
4,Yakima County,Asotin County,2495,0.9451195814203713,Omicron
4,Adams County,Benton County,4110,0.9535588271157431,Omicron
4,Asotin County,Benton County,1072,0.9790863880699074,Omicron
4,Benton County,Benton County,31508,0.9912098783539482,Omicron
4,Chelan County,Benton County,13028,1.0468089854849818,Omicron
4,Clallam County,Benton County,17027,1.079471654619816,Omicron
4,Clark County,Benton County,13569,0.9970920445052917,Omicron
4,Columbia County,Benton County,379,1.0870256040693769,Omicron
4,Cowlitz County,Benton County,15772,0.9736018957167648,Omicron
4,Douglas County,Benton County,8599,1.036754290601486,Omicron
4,Ferry County,Benton County,612,0.9658909872178845,Omicron
4,Franklin County,Benton County,18829,0.9946422183607084,Omicron
4,Grant County,Benton County,15592,1.0229984714897715,Omicron
4,Grays Harbor County,Benton County,25416,0.9909405444410153,Omicron
4,Island County,Benton County,4646,0.9970727026567666,Omicron
4,Jefferson County,Benton County,1300,0.9204373715712838,Omicron
4,King County,Benton County,413039,0.9854196231265696,Omicron
4,Kitsap County,Benton County,17865,1.015967444048124,Omicron
4,Kittitas County,Benton County,4453,0.9849916212482589,Omicron
4,Klickitat County,Benton County,1365,0.9755847268740984,Omicron
4,Lewis County,Benton County,17312,1.0208565982671547,Omicron
4,Lincoln County,Benton County,187,1.0243995738726976,Omicron
4,Mason County,Benton County,4728,1.0370952166944538,Omicron
4,Okanogan County,Benton County,5675,1.0165320243269775,Omicron
4,Pacific County,Benton County,7456,0.9693605634486009,Omicron
4,Pend Oreille County,Benton County,796,1.0364353452395925,Omicron
4,Pierce County,Benton County,82173,0.985229312408709,Omicron
4,San Juan County,Benton County,557,1.009070422038879,Omicron
4,Skagit County,Benton County,14817,1.0511499002375497,Omicron
4,Skamania County,Benton County,94,0.9724903519518783,Omicron
4,Snohomish County,Benton County,70392,1.0073201861037862,Omicron
4,Spokane County,Benton County,43385,0.9907235447201845,Omicron
4,Stevens County,Benton County,1354,1.010435954858433,Omicron
4,Thurston County,Benton County,93849,1.0375348425737048,Omicron
4,Wahkiakum County,Benton County,251,0.9660931193391589,Omicron
4,Walla Walla County,Benton County,8215,0.9623367005459237,Omicron
4,Whatcom County,Benton County,46832,1.0481067643479858,Omicron
4,Whitman County,Benton County,12153,0.9914069106581981,Omicron
4,Yakima County,Benton County,76372,0.9964807936693827,Omicron
4,Adams County,Chelan County,1676,0.9931722816887957,Omicron
4,Asotin County,Chelan County,432,1.0077548139101193,Omicron
4,Benton County,Chelan County,13028,1.046808985484982,Omicron
4,Chelan County,Chelan County,4634,0.9510221423197017,Omicron
4,Clallam County,Chelan County,5884,0.9527757129434418,Omicron
4,Clark County,Chelan County,5269,0.9889185296360118,Omicron
4,Columbia County,Chelan County,137,1.003612445107954,Omicron
4,Cowlitz County,Chelan County,6381,1.0060702207414645,Omicron
4,Douglas County,Chelan County,3076,0.9472380405096001,Omicron
4,Ferry County,Chelan County,264,1.064205564860904,Omicron
4,Franklin County,Chelan County,7726,1.0424116221650346,Omicron
4,Grant County,Chelan County,5880,0.9853610517424772,Omicron
4,Grays Harbor County,Chelan County,10002,0.9960293903487905,Omicron
4,Island County,Chelan County,1803,0.9882987702645896,Omicron
4,Jefferson County,Chelan County,566,1.0235574640749463,Omicron
4,King County,Chelan County,165255,1.0070004425940176,Omicron
4,Kitsap County,Chelan County,6805,0.9884388521675341,Omicron
4,Kittitas County,Chelan County,1790,1.011294811927465,Omicron
4,Klickitat County,Chelan County,563,1.0277456406450198,Omicron
4,Lewis County,Chelan County,6285,0.9466025846578656,Omicron
4,Lincoln County,Chelan County,73,1.0213992859585248,Omicron
4,Mason County,Chelan County,1778,0.9961341456174194,Omicron
4,Okanogan County,Chelan County,2214,1.0129260093690218,Omicron
4,Pacific County,Chelan County,3091,1.0264158745660246,Omicron
4,Pend Oreille County,Chelan County,316,1.0508993834655829,Omicron
4,Pierce County,Chelan County,32923,1.0082134596731727,Omicron
4,San Juan County,Chelan County,226,1.045730144873301,Omicron
4,Skagit County,Chelan County,5357,0.9706684774640122,Omicron
4,Skamania County,Chelan County,37,0.9776965418073061,Omicron
4,Snohomish County,Chelan County,27377,1.0006334010686007,Omicron
4,Spokane County,Chelan County,17490,1.0201113956265326,Omicron
4,Stevens County,Chelan County,512,0.9758992749947025,Omicron
4,Thurston County,Chelan County,34478,0.9735539277676182,Omicron
4,Wahkiakum County,Chelan County,121,1.1895303987871644,Omicron
4,Walla Walla County,Chelan County,3510,1.0501987684023995,Omicron
4,Whatcom County,Chelan County,16690,0.9540344618083954,Omicron
4,Whitman County,Chelan County,4785,0.9970003097804349,Omicron
4,Yakima County,Chelan County,30195,1.0062704274291225,Omicron
4,Adams County,Clallam County,2093,0.9785955112016206,Omicron
4,Asotin County,Clallam County,558,1.0270432873257929,Omicron
4,Benton County,Clallam County,17027,1.0794716546198158,Omicron
4,Chelan County,Clallam County,5884,0.9527757129434418,Omicron
4,Clallam County,Clallam County,7480,0.9556591598172074,Omicron
4,Clark County,Clallam County,6475,0.9588606660054521,Omicron
4,Columbia County,Clallam County,161,0.9305822442751279,Omicron
4,Cowlitz County,Clallam County,8171,1.0164784483185498,Omicron
4,Douglas County,Clallam County,3942,0.9577955930150209,Omicron
4,Ferry County,Clallam County,356,1.132283064323098,Omicron
4,Franklin County,Clallam County,9601,1.0220789067688534,Omicron
4,Grant County,Clallam County,7217,0.9542412494516961,Omicron
4,Grays Harbor County,Clallam County,12957,1.018059537835948,Omicron
4,Island County,Clallam County,2219,0.9596950292623204,Omicron
4,Jefferson County,Clallam County,662,0.9445766439155318,Omicron
4,King County,Clallam County,209241,1.0060168497666804,Omicron
4,Kitsap County,Clallam County,8526,0.9771256668937326,Omicron
4,Kittitas County,Clallam County,2182,0.9726641506331959,Omicron
4,Klickitat County,Clallam County,703,1.0125488584883613,Omicron
4,Lewis County,Clallam County,8159,0.9695779984212703,Omicron
4,Lincoln County,Clallam County,101,1.1150067036829712,Omicron
4,Mason County,Clallam County,2198,0.9716216280128535,Omicron
4,Okanogan County,Clallam County,2889,1.0428721339567026,Omicron
4,Pacific County,Clallam County,3771,0.9880167389760002,Omicron
4,Pend Oreille County,Clallam County,415,1.088944049959278,Omicron
4,Pierce County,Clallam County,42393,1.0243082131172603,Omicron
4,San Juan County,Clallam County,245,0.8944595134257529,Omicron
4,Skagit County,Clallam County,6736,0.9630188169456454,Omicron
4,Skamania County,Clallam County,55,1.1466964272356526,Omicron
4,Snohomish County,Clallam County,34518,0.9954470842461114,Omicron
4,Spokane County,Clallam County,22414,1.0314794311921123,Omicron
4,Stevens County,Clallam County,610,0.917377922599202,Omicron
4,Thurston County,Clallam County,43963,0.9794644629776389,Omicron
4,Wahkiakum County,Clallam County,172,1.3341419390376883,Omicron
4,Walla Walla County,Clallam County,4404,1.0396690446388157,Omicron
4,Whatcom County,Clallam County,20292,0.9151999643188596,Omicron
4,Whitman County,Clallam County,5985,0.9839225652481478,Omicron
4,Yakima County,Clallam County,38473,1.011624044411367,Omicron
4,Adams County,Clark County,2012,1.0903759634765011,Omicron
4,Asotin County,Clark County,490,1.0453577212129899,Omicron
4,Benton County,Clark County,13569,0.9970920445052917,Omicron
4,Chelan County,Clark County,5269,0.9889185296360118,Omicron
4,Clallam County,Clark County,6475,0.9588606660054521,Omicron
4,Clark County,Clark County,5702,0.9787172561912125,Omicron
4,Columbia County,Clark County,148,0.9915278178093268,Omicron
4,Cowlitz County,Clark County,7119,1.0264936315793385,Omicron
4,Douglas County,Clark County,3516,0.9901919305196815,Omicron
4,Ferry County,Clark County,282,1.03960515368316,Omicron
4,Franklin County,Clark County,7987,0.9855211345820956,Omicron
4,Grant County,Clark County,6453,0.9889570886741927,Omicron
4,Grays Harbor County,Clark County,10987,1.0006037925172155,Omicron
4,Island County,Clark County,1968,0.9865414546568638,Omicron
4,Jefferson County,Clark County,607,1.0038809345093982,Omicron
4,King County,Clark County,179904,1.0025674243175096,Omicron
4,Kitsap County,Clark County,7412,0.984588605798066,Omicron
4,Kittitas County,Clark County,1940,1.0023610790368618,Omicron
4,Klickitat County,Clark County,591,0.986648468530119,Omicron
4,Lewis County,Clark County,7326,1.009083337690102,Omicron
4,Lincoln County,Clark County,96,1.228405181305506,Omicron
4,Mason County,Clark County,1937,0.9924609048834401,Omicron
4,Okanogan County,Clark County,2407,1.0071030549227675,Omicron
4,Pacific County,Clark County,3269,0.9927433635438357,Omicron
4,Pend Oreille County,Clark County,344,1.0462373354482872,Omicron
4,Pierce County,Clark County,35890,1.0051346948991446,Omicron
4,San Juan County,Clark County,209,0.8844131497046407,Omicron
4,Skagit County,Clark County,5939,0.984147790465939,Omicron
4,Skamania County,Clark County,45,1.087458232793404,Omicron
4,Snohomish County,Clark County,30159,1.0081004151116313,Omicron
4,Spokane County,Clark County,18888,1.0074917079887542,Omicron
4,Stevens County,Clark County,554,0.965700632542432,Omicron
4,Thurston County,Clark County,38779,1.0014107988504164,Omicron
4,Wahkiakum County,Clark County,130,1.1687758888541238,Omicron
4,Walla Walla County,Clark County,3613,0.9886215352322459,Omicron
4,Whatcom County,Clark County,18663,0.9756339373305205,Omicron
4,Whitman County,Clark County,5293,1.0085860612837287,Omicron
4,Yakima County,Clark County,32716,0.997097418902226,Omicron
4,Adams County,Columbia County,43,0.9095569641571207,Omicron
4,Asotin County,Columbia County,12,0.9992249105491722,Omicron
4,Benton County,Columbia County,379,1.0870256040693769,Omicron
4,Chelan County,Columbia County,137,1.003612445107954,Omicron
4,Clallam County,Columbia County,161,0.9305822442751279,Omicron
4,Clark County,Columbia County,148,0.9915278178093268,Omicron
4,Columbia County,Columbia County,4,1.0459630288668313,Omicron
4,Cowlitz County,Columbia County,162,0.9117283009765327,Omicron
4,Douglas County,Columbia County,79,0.8683818999075812,Omicron
4,Ferry County,Columbia County,7,1.007234308890459,Omicron
4,Franklin County,Columbia County,208,1.0017486082814573,Omicron
4,Grant County,Columbia County,158,0.9451179785341172,Omicron
4,Grays Harbor County,Columbia County,294,1.0450654870475657,Omicron
4,Island County,Columbia County,50,0.9783030429328792,Omicron
4,Jefferson County,Columbia County,11,0.7100670423131901,Omicron
4,King County,Columbia County,4605,1.0016489941741495,Omicron
4,Kitsap County,Columbia County,193,1.0006676476738208,Omicron
4,Kittitas County,Columbia County,50,1.0083368162883437,Omicron
4,Klickitat County,Columbia County,15,0.9774158543594549,Omicron
4,Lewis County,Columbia County,170,0.9139494947426163,Omicron
4,Lincoln County,Columbia County,4,1.9977611023752049,Omicron
4,Mason County,Columbia County,58,1.1599117178680296,Omicron
4,Okanogan County,Columbia County,74,1.2084889892272865,Omicron
4,Pacific County,Columbia County,74,0.8771360215952407,Omicron
4,Pend Oreille County,Columbia County,9,1.068384148573742,Omicron
4,Pierce County,Columbia County,903,0.98707854233578185,Omicron
4,San Juan County,Columbia County,5,0.8258326791484476,Omicron
4,Skagit County,Columbia County,134,0.8666923233867914,Omicron
4,Skamania County,Columbia County,2,1.8864409808700677,Omicron
4,Snohomish County,Columbia County,775,1.01111770204615,Omicron
4,Spokane County,Columbia County,508,1.0576266209280079,Omicron
4,Stevens County,Columbia County,10,0.68037117563178,Omicron
4,Thurston County,Columbia County,1005,1.012966030017616,Omicron
4,Wahkiakum County,Columbia County,7,2.4563999875511393,Omicron
4,Walla Walla County,Columbia County,108,1.1534506429087072,Omicron
4,Whatcom County,Columbia County,449,0.916146525251297,Omicron
4,Whitman County,Columbia County,134,0.9966186759269101,Omicron
4,Yakima County,Columbia County,863,1.0266001969715186,Omicron
4,Adams County,Cowlitz County,2260,1.0288782007288404,Omicron
4,Asotin County,Cowlitz County,573,1.02690603710977,Omicron
4,Benton County,Cowlitz County,15772,0.9736018957167649,Omicron
4,Chelan County,Cowlitz County,6381,1.0060702207414645,Omicron
