n_mutations,group_1,group_2,n_pairs,RR,variant
9,Adams County,Benton County,3,0.5204424358591098,Delta
9,Asotin County,Benton County,2,3.453845256155911,Delta
9,Benton County,Benton County,18,0.8778708096519516,Delta
9,Chelan County,Benton County,8,0.5231297461991742,Delta
9,Clallam County,Benton County,33,1.5160167206585196,Delta
9,Clark County,Benton County,8,0.9932626880448372,Delta
9,Cowlitz County,Benton County,1,0.19891255401945038,Delta
9,Douglas County,Benton County,7,0.7753530166880616,Delta
9,Ferry County,Benton County,2,1.2255579941198393,Delta
9,Franklin County,Benton County,7,0.815785535963206,Delta
9,Garfield County,Benton County,0,0,Delta
9,Grant County,Benton County,14,1.3100792350936212,Delta
9,Grays Harbor County,Benton County,4,0.9154770558485548,Delta
9,Island County,Benton County,2,0.39782510803890075,Delta
9,Jefferson County,Benton County,2,0.9498074454428755,Delta
9,King County,Benton County,280,1.0937531759161223,Delta
9,Kitsap County,Benton County,0,0,Delta
9,Kittitas County,Benton County,13,1.5482754596560977,Delta
9,Klickitat County,Benton County,0,0,Delta
9,Lewis County,Benton County,46,1.60629200332251,Delta
9,Lincoln County,Benton County,0,0,Delta
9,Mason County,Benton County,0,0,Delta
9,Okanogan County,Benton County,2,0.9618303244991144,Delta
9,Pacific County,Benton County,2,0.7236628155755241,Delta
9,Pend Oreille County,Benton County,2,1.583012409071459,Delta
9,Pierce County,Benton County,46,0.8035152641907545,Delta
9,Skagit County,Benton County,21,0.6968019687091838,Delta
9,Snohomish County,Benton County,64,0.9961110447905617,Delta
9,Spokane County,Benton County,51,1.0290001002142675,Delta
9,Stevens County,Benton County,0,0,Delta
9,Thurston County,Benton County,14,0.8363084425283179,Delta
9,Wahkiakum County,Benton County,1,0.9498074454428755,Delta
9,Walla Walla County,Benton County,14,1.1340984423198515,Delta
9,Whatcom County,Benton County,80,1.0240511541163078,Delta
9,Whitman County,Benton County,7,1.1664301961579173,Delta
9,Yakima County,Benton County,25,0.6784338896020539,Delta
9,Adams County,Chelan County,2,0.4652032788689003,Delta
9,Asotin County,Chelan County,0,0,Delta
9,Benton County,Chelan County,8,0.5231297461991741,Delta
9,Chelan County,Chelan County,24,2.104224125417332,Delta
9,Clallam County,Chelan County,2,0.12319167844291312,Delta
9,Clark County,Chelan County,11,1.8311678084888572,Delta
9,Cowlitz County,Chelan County,3,0.8001009272692865,Delta
9,Douglas County,Chelan County,8,1.18809933611999,Delta
9,Ferry County,Chelan County,2,1.6432180334240187,Delta
9,Franklin County,Chelan County,6,0.9375415773523543,Delta
9,Garfield County,Chelan County,0,0,Delta
9,Grant County,Chelan County,17,2.1329455754050684,Delta
9,Grays Harbor County,Chelan County,4,1.2274640731601103,Delta
9,Island County,Chelan County,3,0.8001009272692865,Delta
9,Jefferson County,Chelan County,0,0,Delta
9,King County,Chelan County,190,0.9951217578518888,Delta
9,Kitsap County,Chelan County,8,2.469806498722161,Delta
9,Kittitas County,Chelan County,5,0.79842882501794,Delta
9,Klickitat County,Chelan County,0,0,Delta
9,Lewis County,Chelan County,10,0.46819631467044653,Delta
9,Lincoln County,Chelan County,0,0,Delta
9,Mason County,Chelan County,0,0,Delta
9,Okanogan County,Chelan County,4,2.5792283056275735,Delta
9,Pacific County,Chelan County,2,0.9702811244979921,Delta
9,Pend Oreille County,Chelan County,0,0,Delta
9,Pierce County,Chelan County,47,1.1007672067580667,Delta
9,Skagit County,Chelan County,16,0.7118219603304046,Delta
9,Snohomish County,Chelan County,59,1.2312354703533512,Delta
9,Spokane County,Chelan County,50,1.3526223854525912,Delta
9,Stevens County,Chelan County,0,0,Delta
9,Thurston County,Chelan County,14,1.12131545048117,Delta
9,Wahkiakum County,Chelan County,1,1.2734939759036146,Delta
9,Walla Walla County,Chelan County,22,2.3894982916741596,Delta
9,Whatcom County,Chelan County,28,0.48056376449192995,Delta
9,Whitman County,Chelan County,7,1.5639399704079475,Delta
9,Yakima County,Chelan County,28,1.0187951807228917,Delta
9,Adams County,Clallam County,7,1.1438825484642186,Delta
9,Asotin County,Clallam County,0,0,Delta
9,Benton County,Clallam County,33,1.5160167206585193,Delta
9,Chelan County,Clallam County,2,0.12319167844291315,Delta
9,Clallam County,Clallam County,0,0,Delta
9,Clark County,Clallam County,6,0.70170946250326,Delta
9,Cowlitz County,Clallam County,9,1.6863070329266825,Delta
9,Douglas County,Clallam County,3,0.31300742788046293,Delta
9,Ferry County,Clallam County,0,0,Delta
9,Franklin County,Clallam County,16,1.756426139271964,Delta
