n_mutations,group_1,group_2,n_pairs,n_pairs_1_x,n_pairs_x_2,n_pairs_x_x,RR,type,age_decade,i_period
0,No valid vaccination record,No valid vaccination record,2924,2924,2924,2924,1,All pairs,0-9y,1
0,No valid vaccination record,No valid vaccination record,2450,2450,2450,2450,1,Only pairs in different postal_codes,0-9y,1
0,No valid vaccination record,No valid vaccination record,1446,1446,1446,1446,1,All pairs,0-9y,2
0,No valid vaccination record,No valid vaccination record,898,898,898,898,1,Only pairs in different postal_codes,0-9y,2
0,Completed primary series,Completed primary series,186,1957,1957,21450,1.0417381990778227,All pairs,0-9y,3
0,Completed primary series,No valid vaccination record,1771,1957,19493,21450,0.995809692936167,All pairs,0-9y,3
0,No valid vaccination record,Completed primary series,1771,19493,1957,21450,0.9958096929361667,All pairs,0-9y,3
0,No valid vaccination record,No valid vaccination record,17722,19493,19493,21450,1.0004206859346392,All pairs,0-9y,3
0,Completed primary series,Completed primary series,168,1910,1910,20952,0.9648682876017654,Only pairs in different postal_codes,0-9y,3
0,Completed primary series,No valid vaccination record,1742,1910,19042,20952,1.003523872002974,Only pairs in different postal_codes,0-9y,3
0,No valid vaccination record,Completed primary series,1742,19042,1910,20952,1.0035238720029738,Only pairs in different postal_codes,0-9y,3
0,No valid vaccination record,No valid vaccination record,17300,19042,19042,20952,0.9996465394640437,Only pairs in different postal_codes,0-9y,3
0,Completed primary series,Completed primary series,374,831,831,2116,1.146001584219207,All pairs,0-9y,4
0,Completed primary series,Completed primary series + booster,5,831,20,2116,0.6365824308062575,All pairs,0-9y,4
0,Completed primary series,No valid vaccination record,452,831,1265,2116,0.909834810195821,All pairs,0-9y,4
0,Completed primary series + booster,Completed primary series,5,20,831,2116,0.6365824308062575,All pairs,0-9y,4
0,Completed primary series + booster,Completed primary series + booster,10,20,20,2116,52.900000000000006,All pairs,0-9y,4
0,Completed primary series + booster,No valid vaccination record,5,20,1265,2116,0.41818181818181815,All pairs,0-9y,4
0,No valid vaccination record,Completed primary series,452,1265,831,2116,0.909834810195821,All pairs,0-9y,4
0,No valid vaccination record,Completed primary series + booster,5,1265,20,2116,0.41818181818181815,All pairs,0-9y,4
0,No valid vaccination record,No valid vaccination record,808,1265,1265,2116,1.0684297520661157,All pairs,0-9y,4
0,Completed primary series,Completed primary series,284,684,684,1728,1.048938134810711,Only pairs in different postal_codes,0-9y,4
0,Completed primary series,Completed primary series + booster,4,684,14,1728,0.7218045112781954,Only pairs in different postal_codes,0-9y,4
0,Completed primary series,No valid vaccination record,396,684,1030,1728,0.9712825753704649,Only pairs in different postal_codes,0-9y,4
0,Completed primary series + booster,Completed primary series,4,14,684,1728,0.7218045112781954,Only pairs in different postal_codes,0-9y,4
0,Completed primary series + booster,Completed primary series + booster,6,14,14,1728,52.89795918367347,Only pairs in different postal_codes,0-9y,4
0,Completed primary series + booster,No valid vaccination record,4,14,1030,1728,0.47933425797503465,Only pairs in different postal_codes,0-9y,4
0,No valid vaccination record,Completed primary series,396,1030,684,1728,0.9712825753704649,Only pairs in different postal_codes,0-9y,4
0,No valid vaccination record,Completed primary series + booster,4,1030,14,1728,0.47933425797503465,Only pairs in different postal_codes,0-9y,4
0,No valid vaccination record,No valid vaccination record,630,1030,1030,1728,1.0261476105193703,Only pairs in different postal_codes,0-9y,4
0,Completed primary series,No valid vaccination record,36,36,8308,8344,1.00433317284545,All pairs,10-19y,1
0,No valid vaccination record,Completed primary series,36,8308,36,8344,1.0043331728454503,All pairs,10-19y,1
0,No valid vaccination record,No valid vaccination record,8272,8308,8308,8344,0.9999812236130914,All pairs,10-19y,1
0,Completed primary series,No valid vaccination record,35,35,7507,7542,1.0046623151725058,Only pairs in different postal_codes,10-19y,1
0,No valid vaccination record,Completed primary series,35,7507,35,7542,1.0046623151725056,Only pairs in different postal_codes,10-19y,1
0,No valid vaccination record,No valid vaccination record,7472,7507,7507,7542,0.9999782628172321,Only pairs in different postal_codes,10-19y,1
0,Completed primary series,Completed primary series,380,769,769,3320,2.1333838382984336,All pairs,10-19y,2
0,Completed primary series,No valid vaccination record,389,769,2551,3320,0.6583409754404173,All pairs,10-19y,2
0,No valid vaccination record,Completed primary series,389,2551,769,3320,0.6583409754404173,All pairs,10-19y,2
0,No valid vaccination record,No valid vaccination record,2162,2551,2551,3320,1.1029932535814657,All pairs,10-19y,2
0,Completed primary series,Completed primary series,262,545,545,2366,2.087002777543978,Only pairs in different postal_codes,10-19y,2
0,Completed primary series,No valid vaccination record,283,545,1821,2366,0.6746751709162724,Only pairs in different postal_codes,10-19y,2
0,No valid vaccination record,Completed primary series,283,1821,545,2366,0.6746751709162724,Only pairs in different postal_codes,10-19y,2
0,No valid vaccination record,No valid vaccination record,1538,1821,1821,2366,1.0973652014555912,Only pairs in different postal_codes,10-19y,2
0,Completed primary series,Completed primary series,43580,75740,75740,132072,1.0033382726572337,All pairs,10-19y,3
0,Completed primary series,Completed primary series + booster,3064,75740,5539,132072,0.9645902094817682,All pairs,10-19y,3
0,Completed primary series,No valid vaccination record,29096,75740,50793,132072,0.9988835874750772,All pairs,10-19y,3
0,Completed primary series + booster,Completed primary series,3064,5539,75740,132072,0.9645902094817682,All pairs,10-19y,3
0,Completed primary series + booster,Completed primary series + booster,364,5539,5539,132072,1.5669293230059556,All pairs,10-19y,3
0,Completed primary series + booster,No valid vaccination record,2111,5539,50793,132072,0.9909774184183034,All pairs,10-19y,3
0,No valid vaccination record,Completed primary series,29096,50793,75740,132072,0.9988835874750771,All pairs,10-19y,3
0,No valid vaccination record,Completed primary series + booster,2111,50793,5539,132072,0.9909774184183034,All pairs,10-19y,3
0,No valid vaccination record,No valid vaccination record,19586,50793,50793,132072,1.0026486556025174,All pairs,10-19y,3
0,Completed primary series,Completed primary series,42684,74316,74316,129418,1.0002190992128637,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,Completed primary series + booster,2958,74316,5255,129418,0.980252158486539,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,No valid vaccination record,28674,74316,49847,129418,1.0017552175667555,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,Completed primary series,2958,5255,74316,129418,0.980252158486539,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,Completed primary series + booster,304,5255,5255,129418,1.4246980402878504,Only pairs in different postal_codes,10-19y,3
0,Completed primary series + booster,No valid vaccination record,1993,5255,49847,129418,0.9846689347042292,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,Completed primary series,28674,49847,74316,129418,1.0017552175667552,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,Completed primary series + booster,1993,49847,5255,129418,0.9846689347042292,Only pairs in different postal_codes,10-19y,3
0,No valid vaccination record,No valid vaccination record,19180,49847,49847,129418,0.9989994182084836,Only pairs in different postal_codes,10-19y,3
0,Completed primary series,Completed primary series,1090,2421,2421,5742,1.0678250561613147,All pairs,10-19y,4
0,Completed primary series,Completed primary series + booster,845,2421,2123,5742,0.9440067800527765,All pairs,10-19y,4
0,Completed primary series,No valid vaccination record,486,2421,1198,5742,0.9621612228559371,All pairs,10-19y,4
0,Completed primary series + booster,Completed primary series,845,2123,2421,5742,0.9440067800527765,All pairs,10-19y,4
0,Completed primary series + booster,Completed primary series + booster,864,2123,2123,5742,1.10072021457562,All pairs,10-19y,4
0,Completed primary series + booster,No valid vaccination record,414,2123,1198,5742,0.9346665859333778,All pairs,10-19y,4
0,No valid vaccination record,Completed primary series,486,1198,2421,5742,0.9621612228559371,All pairs,10-19y,4
0,No valid vaccination record,Completed primary series + booster,414,1198,2123,5742,0.9346665859333778,All pairs,10-19y,4
0,No valid vaccination record,No valid vaccination record,298,1198,1198,5742,1.1922458410093617,All pairs,10-19y,4
0,Completed primary series,Completed primary series,924,2132,2132,5024,1.021285583039118,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,Completed primary series + booster,783,2132,1895,5024,0.9736771498017396,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,No valid vaccination record,425,2132,997,5024,1.0045144815308966,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,Completed primary series,783,1895,2132,5024,0.9736771498017396,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,Completed primary series + booster,736,1895,1895,5024,1.0296959781677932,Only pairs in different postal_codes,10-19y,4
0,Completed primary series + booster,No valid vaccination record,376,1895,997,5024,0.9998459759224904,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,Completed primary series,425,997,2132,5024,1.0045144815308966,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,Completed primary series + booster,376,997,1895,5024,0.9998459759224904,Only pairs in different postal_codes,10-19y,4
0,No valid vaccination record,No valid vaccination record,196,997,997,5024,0.9906389177562778,Only pairs in different postal_codes,10-19y,4
0,Completed primary series,Completed primary series,18,316,316,18992,3.423489825348502,All pairs,20-29y,1
0,Completed primary series,No valid vaccination record,298,316,18676,18992,0.9589942822440497,All pairs,20-29y,1
0,No valid vaccination record,Completed primary series,298,18676,316,18992,0.9589942822440497,All pairs,20-29y,1
0,No valid vaccination record,No valid vaccination record,18378,18676,18676,18992,1.0006938213113556,All pairs,20-29y,1
0,Completed primary series,Completed primary series,16,302,302,18060,3.1682820928906628,Only pairs in different postal_codes,20-29y,1
0,Completed primary series,No valid vaccination record,286,302,17758,18060,0.9631252848263891,Only pairs in different postal_codes,20-29y,1
0,No valid vaccination record,Completed primary series,286,17758,302,18060,0.9631252848263893,Only pairs in different postal_codes,20-29y,1
0,No valid vaccination record,No valid vaccination record,17472,17758,17758,18060,1.0006271068804162,Only pairs in different postal_codes,20-29y,1
0,Completed primary series,Completed primary series,792,1754,1754,6764,1.7412839718694781,All pairs,20-29y,2
0,Completed primary series,Completed primary series + booster,1,1754,1,6764,3.856328392246294,All pairs,20-29y,2
0,Completed primary series,No valid vaccination record,961,1754,5009,6764,0.7398545787479913,All pairs,20-29y,2
0,Completed primary series + booster,Completed primary series,1,1,1754,6764,3.856328392246294,All pairs,20-29y,2
0,No valid vaccination record,Completed primary series,961,5009,1754,6764,0.7398545787479913,All pairs,20-29y,2
0,No valid vaccination record,No valid vaccination record,4048,5009,5009,6764,1.0912946833451833,All pairs,20-29y,2
0,Completed primary series,Completed primary series,540,1375,1375,5604,1.6006135537190083,Only pairs in different postal_codes,20-29y,2
0,Completed primary series,Completed primary series + booster,1,1375,1,5604,4.075636363636363,Only pairs in different postal_codes,20-29y,2
0,Completed primary series,No valid vaccination record,834,1375,4228,5604,0.803945299733379,Only pairs in different postal_codes,20-29y,2
