group_1,group_2,n_pairs,RR
98272,98272,588,10.373494645741767
98272,98326,39,1.706916845988162
98272,98331,19,0.5638658894324742
98272,98520,111,1.417364442620917
98272,98584,437,5.1519901972544835
98272,98675,24,3.2794046550049667
98272,99001,26,4.278618261099132
98272,99326,770,7.30328935093673
98272,99362,88,2.5105930819054465
98272,Other,13830,0.8921568537995167
98326,98272,39,1.706916845988162
98326,98326,46,4.9946560411447685
98326,98331,15,1.1043671446554828
98326,98520,26,0.8236295108814404
98326,98584,138,4.0361999617757265
98326,98675,2,0.6779751240986601
98326,99001,13,5.307298827143521
98326,99326,369,8.682686987412739
98326,99362,37,2.6187580552184793
98326,Other,5737,0.9181293747427373
98331,98272,19,0.5638658894324742
98331,98326,15,1.1043671446554828
98331,98331,388,19.36994595118625
98331,98520,88,1.8902345104549667
98331,98584,42,0.8329469505615129
98331,98675,7,1.6090008303627474
98331,99001,1,0.27682458247375136
98331,99326,5,0.07977599832374424
98331,99362,25,1.1997979772258611
98331,Other,8881,0.963729975396461
98520,98272,111,1.417364442620917
98520,98326,26,0.8236295108814404
98520,98331,88,1.890234510454967
98520,98520,670,6.192188249853243
98520,98584,288,2.4575189331849394
98520,98675,14,1.3845944815887317
98520,99001,25,2.9777003686726546
98520,99326,437,2.9999914211727
98520,99362,58,1.1976569603012095
98520,Other,20295,0.9475865447812811
98584,98272,437,5.151990197254485
98584,98326,138,4.036199961775727
98584,98331,42,0.8329469505615129
98584,98520,288,2.4575189331849394
98584,98584,3620,28.51989955173309
98584,98675,82,7.487614031518199
98584,99001,101,11.107015967513897
98584,99326,5972,37.85239917202812
98584,99362,426,8.12174004382771
98584,Other,12735,0.5489892183641918
98675,98272,24,3.279404655004967
98675,98326,2,0.6779751240986599
98675,98331,7,1.6090008303627477
98675,98520,14,1.3845944815887319
98675,98584,82,7.4876140315181985
98675,98675,276,292.0981828297035
98675,99001,2,2.5491547113358277
98675,99326,107,7.860452831627364
98675,99362,4,0.883872563329597
98675,Other,1539,0.7689421399336366
99001,98272,26,4.278618261099132
99001,98326,13,5.307298827143521
99001,98331,1,0.27682458247375136
99001,98520,25,2.977700368672655
99001,98584,101,11.107015967513897
99001,98675,2,2.549154711335828
99001,99001,300,460.50450010694954
99001,99326,116,10.262855233536897
99001,99362,28,7.451335503151562
99001,Other,1096,0.6594957810815997
99326,98272,770,7.30328935093673
99326,98326,369,8.68268698741274
99326,98331,5,0.07977599832374424
99326,98520,437,2.9999914211727
99326,98584,5972,37.85239917202813
99326,98675,107,7.860452831627364
99326,99001,116,10.262855233536893
99326,99326,16900,86.17762242085894
99326,99362,521,7.991188959494491
99326,Other,4437,0.1538822352088937
99362,98272,88,2.510593081905447
99362,98326,37,2.6187580552184793
99362,98331,25,1.1997979772258611
99362,98520,58,1.1976569603012095
99362,98584,426,8.12174004382771
99362,98675,4,0.883872563329597
99362,99001,28,7.451335503151562
99362,99326,521,7.991188959494492
99362,99362,1080,49.82683545956403
99362,Other,7585,0.7912623759702647
Other,98272,13830,0.8921568537995168
Other,98326,5737,0.9181293747427374
Other,98331,8881,0.963729975396461
Other,98520,20295,0.9475865447812811
Other,98584,12735,0.5489892183641918
Other,98675,1539,0.7689421399336366
Other,99001,1096,0.6594957810815996
Other,99326,4437,0.1538822352088937
Other,99362,7585,0.7912623759702646
Other,Other,4280980,1.0097956837776307
