days,central_mean_max_dist_null,lower_mean_max_dist_null,upper_mean_max_dist_null,central_prop_outside_zip_null,lower_prop_outside_zip_null,upper_prop_outside_zip_null,central_prop_outside_county_null,lower_prop_outside_county_null,upper_prop_outside_county_null
0,0,0,0,0,0,0,0,0,0
1,21.655623368934314,20.925465108092776,22.437454906393523,0.14295548416704912,0.1423918921706175,0.14340467521236613,0.11147914728118527,0.10841984306863554,0.11414599202816922
2,37.78560475588006,36.848012429667534,38.74807301350579,0.24563886753368783,0.24503724265283477,0.24620436180637895,0.1929546247953445,0.18961980076846602,0.19638098628747552
3,51.68760527450501,50.29242375684477,52.75268973481719,0.3303113782095452,0.32956022944550667,0.33114208045749793,0.26054357372094317,0.2564617505356551,0.2639581534909846
4,63.6532695566152,62.315169758993136,64.74194287352968,0.4025636101487833,0.40171103257644714,0.40339902262095884,0.3186852852620561,0.31424597903088114,0.32302119913631877
5,74.55496372341281,73.0160999333664,75.71186890127657,0.4663963584008564,0.46540508083539617,0.4672521664313166,0.37046796199873755,0.365791750793193,0.374819370897019
6,84.51319899204617,83.14826890761363,85.80648124871877,0.5240189705375426,0.5229874904577683,0.5249831683482218,0.41739540450272095,0.41291640218410675,0.4217857013952926
7,94.49526355674377,93.23504500632706,95.989115671111,0.5802922500191263,0.579291522058877,0.5811384926933808,0.46375503377379423,0.45932070276732356,0.4693978492714468
8,101.98130304791724,100.73788365579287,103.54884483492451,0.6206250233518903,0.6195082910225072,0.6215922626462052,0.4976236678371219,0.4925503355432149,0.502882932130744
9,108.18194018375517,106.86871080465679,109.70705765316615,0.6545273706369534,0.6533182245211462,0.6556349711203433,0.5257309282780724,0.5202943602143759,0.5312409776559348
10,113.86347502329329,112.37336300987536,115.24378582629075,0.6842729266369245,0.6829899126080283,0.6854306447974625,0.5511754271400864,0.5456334157865013,0.5565558260283998
11,118.87468821800945,117.51447040872495,120.25494418944444,0.7103944295001883,0.7091931917412013,0.7116034749820317,0.5735378734642294,0.5679721249283709,0.5783933529516645
12,123.32515103679256,121.78339393720141,124.70475938303343,0.733465936954625,0.7322526599569201,0.7345280251248232,0.5928454553478053,0.5875427989259788,0.5976025033261276
13,127.64310739401316,126.26498688216057,129.05402163412452,0.7557459103596555,0.7544669028966686,0.756868283248338,0.6118807124767549,0.6067855296220152,0.6168446243501917
14,132.08976411784982,130.51986346445835,133.58375616555526,0.7774505671182068,0.7761351940431831,0.7786606385997152,0.6305123867859623,0.6249587903928826,0.6356360434591256
15,135.56901448805206,134.18325091473943,137.07775875835523,0.7951885576246103,0.7936768585325138,0.7963745951544146,0.6455801764633206,0.6398750135312394,0.6501907566477462
16,138.53273405864903,137.07456313506123,140.1366692917175,0.8090502234898806,0.807520840044897,0.8101857019124259,0.6577183147127921,0.6521943571180246,0.6623102110964684
17,141.16060727177648,139.78692209877107,142.70873921826154,0.8214558776039727,0.8199541531589594,0.8226659665251363,0.6684553786536479,0.6634751973166975,0.6736215826581746
18,143.4625747371449,142.16424958298717,145.14188508247744,0.832000613330089,0.8305050717922566,0.8331822078147599,0.6775353086232634,0.6721838577821124,0.6828826611995791
