week,location_id,cluster_name,n_seq
42,8,7,5
8,8,3,6
4,5,6,19
41,8,6,10
9,9,7,18
24,8,6,3
20,1,5,6
16,5,4,7
34,0,8,7
36,1,2,20
27,0,4,9
38,0,2,2
11,0,7,8
20,1,4,4
6,0,8,4
20,10,3,10
9,10,5,3
8,0,7,18
33,5,3,19
32,5,8,16
4,6,4,7
11,6,3,10
26,8,6,16
49,8,4,18
29,10,2,3
3,10,2,14
29,0,4,1
21,4,8,18
8,5,4,17
13,5,8,10
43,5,4,17
22,6,5,7
47,7,8,12
35,8,6,7
38,8,7,20
47,9,3,6
5,9,1,7
47,9,6,20
17,10,3,11
27,10,7,15
8,10,8,14
20,0,3,8
11,0,8,14
32,10,6,13
5,4,3,15
20,5,3,15
15,0,7,9
23,5,6,7
12,10,5,14
8,0,4,14
8,4,4,11
11,4,2,19
29,5,2,19
6,5,6,7
15,8,3,16
32,9,4,15
28,10,8,2
14,10,2,1
28,0,6,2
5,0,5,7
48,5,7,9
27,0,6,3
27,5,5,8
15,6,6,2
45,7,3,9
30,8,1,14
43,9,3,1
12,0,3,5
41,5,4,4
40,5,4,15
34,5,4,13
14,9,6,2
