age_decade,period,is_west,delay_sequence_collection_symptom_onset,n_seq,prop
0-9y,Wave 4,FALSE,-2,2,0.012987012987012988
0-9y,Wave 4,FALSE,-1,4,0.025974025974025976
0-9y,Wave 4,FALSE,0,30,0.19480519480519481
0-9y,Wave 4,FALSE,1,36,0.23376623376623376
0-9y,Wave 4,FALSE,2,20,0.12987012987012986
0-9y,Wave 4,FALSE,3,23,0.14935064935064934
0-9y,Wave 4,FALSE,4,14,0.09090909090909091
0-9y,Wave 4,FALSE,5,9,0.05844155844155844
0-9y,Wave 4,FALSE,6,6,0.03896103896103896
0-9y,Wave 4,FALSE,7,4,0.025974025974025976
0-9y,Wave 4,FALSE,8,2,0.012987012987012988
0-9y,Wave 4,FALSE,9,2,0.012987012987012988
0-9y,Wave 4,FALSE,11,1,0.006493506493506494
0-9y,Wave 4,FALSE,16,1,0.006493506493506494
0-9y,Wave 4,TRUE,-6,1,0.0013175230566534915
0-9y,Wave 4,TRUE,-4,1,0.0013175230566534915
0-9y,Wave 4,TRUE,-3,5,0.006587615283267457
0-9y,Wave 4,TRUE,-2,8,0.010540184453227932
0-9y,Wave 4,TRUE,-1,53,0.06982872200263504
0-9y,Wave 4,TRUE,0,141,0.1857707509881423
0-9y,Wave 4,TRUE,1,166,0.21870882740447958
0-9y,Wave 4,TRUE,2,124,0.16337285902503293
0-9y,Wave 4,TRUE,3,73,0.09617918313570488
0-9y,Wave 4,TRUE,4,54,0.07114624505928854
0-9y,Wave 4,TRUE,5,40,0.052700922266139656
0-9y,Wave 4,TRUE,6,36,0.04743083003952569
0-9y,Wave 4,TRUE,7,13,0.017127799736495388
0-9y,Wave 4,TRUE,8,11,0.014492753623188406
0-9y,Wave 4,TRUE,9,8,0.010540184453227932
0-9y,Wave 4,TRUE,10,8,0.010540184453227932
0-9y,Wave 4,TRUE,11,2,0.002635046113306983
0-9y,Wave 4,TRUE,12,4,0.005270092226613966
0-9y,Wave 4,TRUE,13,2,0.002635046113306983
0-9y,Wave 4,TRUE,14,2,0.002635046113306983
0-9y,Wave 4,TRUE,16,2,0.002635046113306983
0-9y,Wave 4,TRUE,17,2,0.002635046113306983
0-9y,Wave 4,TRUE,18,1,0.0013175230566534915
0-9y,Wave 4,TRUE,20,1,0.0013175230566534915
0-9y,Wave 4,TRUE,27,1,0.0013175230566534915
0-9y,Wave 5,FALSE,-11,1,0.0022371364653243847
