age_decade_1,age_decade_2,median_delay,name_wave
0-9y,10-19y,-1,Wave 4
0-9y,20-29y,2,Wave 4
0-9y,30-39y,0,Wave 4
0-9y,40-49y,0,Wave 4
0-9y,50-59y,0,Wave 4
0-9y,60-69y,-1,Wave 4
0-9y,70-79y,-5,Wave 4
0-9y,80y+,-14,Wave 4
10-19y,0-9y,1,Wave 4
10-19y,20-29y,3,Wave 4
10-19y,30-39y,1,Wave 4
10-19y,40-49y,1,Wave 4
10-19y,50-59y,2,Wave 4
10-19y,60-69y,-1,Wave 4
10-19y,70-79y,-3,Wave 4
10-19y,80y+,-13,Wave 4
20-29y,0-9y,-2,Wave 4
20-29y,10-19y,-3,Wave 4
20-29y,30-39y,-2,Wave 4
20-29y,40-49y,-2,Wave 4
20-29y,50-59y,-1,Wave 4
20-29y,60-69y,-5,Wave 4
20-29y,70-79y,-7,Wave 4
20-29y,80y+,-13.5,Wave 4
30-39y,0-9y,0,Wave 4
30-39y,10-19y,-1,Wave 4
30-39y,20-29y,2,Wave 4
30-39y,40-49y,1,Wave 4
30-39y,50-59y,2,Wave 4
30-39y,60-69y,0,Wave 4
30-39y,70-79y,-4,Wave 4
30-39y,80y+,-9.5,Wave 4
40-49y,0-9y,0,Wave 4
40-49y,10-19y,-1,Wave 4
40-49y,20-29y,2,Wave 4
40-49y,30-39y,-1,Wave 4
40-49y,50-59y,0,Wave 4
40-49y,60-69y,-3,Wave 4
40-49y,70-79y,-4,Wave 4
40-49y,80y+,-7.5,Wave 4
50-59y,0-9y,0,Wave 4
50-59y,10-19y,-2,Wave 4
50-59y,20-29y,1,Wave 4
50-59y,30-39y,-2,Wave 4
50-59y,40-49y,0,Wave 4
50-59y,60-69y,-4,Wave 4
50-59y,70-79y,-6,Wave 4
50-59y,80y+,-9,Wave 4
60-69y,0-9y,1,Wave 4
60-69y,10-19y,1,Wave 4
60-69y,20-29y,5,Wave 4
60-69y,30-39y,0,Wave 4
60-69y,40-49y,3,Wave 4
60-69y,50-59y,4,Wave 4
60-69y,70-79y,-1,Wave 4
60-69y,80y+,-2.5,Wave 4
70-79y,0-9y,5,Wave 4
70-79y,10-19y,3,Wave 4
70-79y,20-29y,7,Wave 4
70-79y,30-39y,4,Wave 4
70-79y,40-49y,4,Wave 4
70-79y,50-59y,6,Wave 4
70-79y,60-69y,1,Wave 4
70-79y,80y+,0,Wave 4
80y+,0-9y,14,Wave 4
80y+,10-19y,13,Wave 4
80y+,20-29y,13.5,Wave 4
80y+,30-39y,9.5,Wave 4
80y+,40-49y,7.5,Wave 4
80y+,50-59y,9,Wave 4
80y+,60-69y,2.5,Wave 4
80y+,70-79y,0,Wave 4
0-9y,10-19y,0,Wave 5
0-9y,20-29y,2,Wave 5
0-9y,30-39y,0,Wave 5
0-9y,40-49y,0,Wave 5
0-9y,50-59y,2,Wave 5
0-9y,60-69y,1,Wave 5
0-9y,70-79y,-1,Wave 5
0-9y,80y+,-5,Wave 5
10-19y,0-9y,0,Wave 5
10-19y,20-29y,3,Wave 5
10-19y,30-39y,1,Wave 5
10-19y,40-49y,1,Wave 5
10-19y,50-59y,1,Wave 5
10-19y,60-69y,0,Wave 5
10-19y,70-79y,-2,Wave 5
10-19y,80y+,-2,Wave 5
20-29y,0-9y,-2,Wave 5
20-29y,10-19y,-3,Wave 5
20-29y,30-39y,-1,Wave 5
20-29y,40-49y,0,Wave 5
20-29y,50-59y,-1,Wave 5
20-29y,60-69y,-1,Wave 5
20-29y,70-79y,-4,Wave 5
20-29y,80y+,-1,Wave 5
30-39y,0-9y,0,Wave 5
30-39y,10-19y,-1,Wave 5
30-39y,20-29y,1,Wave 5
30-39y,40-49y,0,Wave 5
30-39y,50-59y,0,Wave 5
30-39y,60-69y,0,Wave 5
30-39y,70-79y,-2,Wave 5
30-39y,80y+,-1,Wave 5
40-49y,0-9y,0,Wave 5
40-49y,10-19y,-1,Wave 5
40-49y,20-29y,0,Wave 5
40-49y,30-39y,0,Wave 5
40-49y,50-59y,0,Wave 5
40-49y,60-69y,0,Wave 5
40-49y,70-79y,-2,Wave 5
40-49y,80y+,-4,Wave 5
50-59y,0-9y,-2,Wave 5
50-59y,10-19y,-1,Wave 5
50-59y,20-29y,1,Wave 5
50-59y,30-39y,0,Wave 5
50-59y,40-49y,0,Wave 5
50-59y,60-69y,0,Wave 5
50-59y,70-79y,-3,Wave 5
50-59y,80y+,-1,Wave 5
60-69y,0-9y,-1,Wave 5
60-69y,10-19y,0,Wave 5
60-69y,20-29y,1,Wave 5
60-69y,30-39y,0,Wave 5
60-69y,40-49y,0,Wave 5
60-69y,50-59y,0,Wave 5
60-69y,70-79y,-1,Wave 5
60-69y,80y+,0,Wave 5
70-79y,0-9y,1,Wave 5
70-79y,10-19y,2,Wave 5
70-79y,20-29y,4,Wave 5
70-79y,30-39y,2,Wave 5
70-79y,40-49y,2,Wave 5
70-79y,50-59y,3,Wave 5
70-79y,60-69y,1,Wave 5
70-79y,80y+,0,Wave 5
80y+,0-9y,5,Wave 5
80y+,10-19y,2,Wave 5
80y+,20-29y,1,Wave 5
80y+,30-39y,1,Wave 5
80y+,40-49y,4,Wave 5
80y+,50-59y,1,Wave 5
80y+,60-69y,0,Wave 5
80y+,70-79y,0,Wave 5
0-9y,10-19y,12,Wave 6
0-9y,20-29y,5,Wave 6
0-9y,30-39y,3,Wave 6
0-9y,40-49y,5,Wave 6
0-9y,50-59y,2,Wave 6
0-9y,60-69y,1,Wave 6
0-9y,70-79y,1,Wave 6
0-9y,80y+,0,Wave 6
10-19y,0-9y,-12,Wave 6
10-19y,20-29y,-7,Wave 6
10-19y,30-39y,-8,Wave 6
10-19y,40-49y,-7,Wave 6
10-19y,50-59y,-9,Wave 6
10-19y,60-69y,-12,Wave 6
10-19y,70-79y,-12,Wave 6
10-19y,80y+,-13,Wave 6
20-29y,0-9y,-5,Wave 6
20-29y,10-19y,7,Wave 6
