age_decade_first,age_decade_last,n_clusters,n_tot_clusters,i_wave
10-19y,0-9y,38,66,1
20-29y,0-9y,52,91,1
30-39y,0-9y,86,120,1
40-49y,0-9y,32,58,1
50-59y,0-9y,14,18,1
60-69y,0-9y,13,17,1
70-79y,0-9y,5,7,1
80y+,0-9y,0,2,1
0-9y,10-19y,28,66,1
20-29y,10-19y,96,177,1
30-39y,10-19y,70,126,1
40-49y,10-19y,86,139,1
50-59y,10-19y,38,70,1
60-69y,10-19y,6,26,1
70-79y,10-19y,8,12,1
80y+,10-19y,0,0,1
0-9y,20-29y,39,91,1
10-19y,20-29y,81,177,1
30-39y,20-29y,106,214,1
40-49y,20-29y,89,162,1
50-59y,20-29y,51,104,1
60-69y,20-29y,18,30,1
70-79y,20-29y,4,6,1
80y+,20-29y,3,9,1
0-9y,30-39y,34,120,1
10-19y,30-39y,56,126,1
20-29y,30-39y,108,214,1
40-49y,30-39y,56,109,1
50-59y,30-39y,27,71,1
60-69y,30-39y,22,47,1
70-79y,30-39y,11,13,1
80y+,30-39y,0,4,1
0-9y,40-49y,26,58,1
10-19y,40-49y,53,139,1
20-29y,40-49y,73,162,1
30-39y,40-49y,53,109,1
50-59y,40-49y,25,62,1
60-69y,40-49y,20,30,1
70-79y,40-49y,0,0,1
80y+,40-49y,0,0,1
0-9y,50-59y,4,18,1
10-19y,50-59y,32,70,1
20-29y,50-59y,53,104,1
30-39y,50-59y,44,71,1
40-49y,50-59y,37,62,1
60-69y,50-59y,19,31,1
70-79y,50-59y,5,5,1
80y+,50-59y,0,2,1
0-9y,60-69y,4,17,1
10-19y,60-69y,20,26,1
20-29y,60-69y,12,30,1
30-39y,60-69y,25,47,1
40-49y,60-69y,10,30,1
50-59y,60-69y,12,31,1
70-79y,60-69y,0,5,1
80y+,60-69y,6,8,1
0-9y,70-79y,2,7,1
10-19y,70-79y,4,12,1
20-29y,70-79y,2,6,1
30-39y,70-79y,2,13,1
40-49y,70-79y,0,0,1
50-59y,70-79y,0,5,1
60-69y,70-79y,5,5,1
80y+,70-79y,0,5,1
0-9y,80y+,2,2,1
10-19y,80y+,0,0,1
20-29y,80y+,6,9,1
30-39y,80y+,4,4,1
40-49y,80y+,0,0,1
50-59y,80y+,2,2,1
60-69y,80y+,2,8,1
70-79y,80y+,5,5,1
10-19y,0-9y,50,108,2
20-29y,0-9y,95,155,2
30-39y,0-9y,131,242,2
