region_first,region_last,n_clusters,n_tot_clusters,i_wave,prop,lower_prop,upper_prop,lower_prop_bootstrap,upper_prop_bootstrap
North Central,North Puget Sound,10,14,1,0.7142857142857143,0.42003172912803177,0.9041823877110269,0.5,0.9285714285714286
North Central,South Central,9,18,1,0.5,0.2903102150516998,0.7096897849483002,0.2777777777777778,0.7222222222222222
North Central,South Puget Sound,2,2,1,1,0.19786745576231118,1,1,1
North Puget Sound,North Central,4,14,1,0.2857142857142857,0.09581761228897309,0.5799682708719683,0.07142857142857142,0.5
North Puget Sound,Northeast,21,28,1,0.75,0.5477916137908583,0.8857060392427716,0.5714285714285714,0.8928571428571429
North Puget Sound,Northwest,111,122,1,0.9098360655737705,0.8408198594084657,0.9519029512791846,0.8524590163934426,0.9590163934426229
North Puget Sound,Peninsula/Coastal,36,44,1,0.8181818181818182,0.6676306370486597,0.9128749721827913,0.7045454545454546,0.9318181818181818
North Puget Sound,South Central,89,157,1,0.5668789808917197,0.4855160120620552,0.6449176801035236,0.49044585987261147,0.643312101910828
North Puget Sound,South Puget Sound,439,734,1,0.5980926430517711,0.5615144426310346,0.6336298711939649,0.5626702997275205,0.6335149863760218
North Puget Sound,Southeast,10,10,1,1,0.6554627816930775,1,1,1
North Puget Sound,Southwest,14,23,1,0.6086956521739131,0.3878250603636229,0.7953232462324,0.391304347826087,0.782608695652174
Northeast,North Central,3,3,1,1,0.3099881064419567,1,1,1
Northeast,North Puget Sound,7,28,1,0.25,0.11429396075722854,0.4522083862091417,0.10714285714285714,0.42857142857142855
Northeast,Northwest,2,4,1,0.5,0.15003898915214955,0.8499610108478505,0,1
Northeast,South Central,16,23,1,0.6956521739130435,0.4699422371900996,0.8594366843792163,0.5217391304347826,0.8695652173913043
Northeast,Southeast,16,25,1,0.64,0.426153069444933,0.8128801971606984,0.44,0.84
Northeast,Southwest,2,2,1,1,0.19786745576231118,1,1,1
Northwest,North Central,2,2,1,1,0.19786745576231118,1,1,1
Northwest,North Puget Sound,11,122,1,0.09016393442622951,0.048097048720815334,0.15918014059153435,0.040983606557377046,0.14754098360655737
Northwest,Northeast,2,4,1,0.5,0.15003898915214955,0.8499610108478505,0,1
Northwest,South Central,7,14,1,0.5,0.26799202452413634,0.7320079754758636,0.21428571428571427,0.7857142857142857
Northwest,Southwest,2,2,1,1,0.19786745576231118,1,1,1
Peninsula/Coastal,North Puget Sound,8,44,1,0.18181818181818182,0.0871250278172086,0.33236936295134045,0.06818181818181818,0.29545454545454547
