name_wave,age_decade_1,age_decade_2,n_1_before_2,n_pairs
Wave 4,0-9y,10-19y,2247,4235
Wave 4,0-9y,20-29y,2764,6177
Wave 4,0-9y,30-39y,2863,5623
Wave 4,0-9y,40-49y,1802,3804
Wave 4,0-9y,50-59y,1115,2346
Wave 4,0-9y,60-69y,630,1252
Wave 4,0-9y,70-79y,216,378
Wave 4,0-9y,80y+,108,157
Wave 4,10-19y,0-9y,1988,4235
Wave 4,10-19y,20-29y,4907,11474
Wave 4,10-19y,30-39y,4457,9496
Wave 4,10-19y,40-49y,3099,6928
Wave 4,10-19y,50-59y,1931,4502
Wave 4,10-19y,60-69y,1183,2320
Wave 4,10-19y,70-79y,353,630
Wave 4,10-19y,80y+,168,219
Wave 4,20-29y,0-9y,3413,6177
Wave 4,20-29y,10-19y,6567,11474
Wave 4,20-29y,30-39y,8260,14992
Wave 4,20-29y,40-49y,5544,10488
Wave 4,20-29y,50-59y,3298,6680
Wave 4,20-29y,60-69y,2043,3633
Wave 4,20-29y,70-79y,667,1024
Wave 4,20-29y,80y+,311,401
Wave 4,30-39y,0-9y,2760,5623
Wave 4,30-39y,10-19y,5039,9496
Wave 4,30-39y,20-29y,6732,14992
Wave 4,30-39y,40-49y,4117,8729
Wave 4,30-39y,50-59y,2495,5648
Wave 4,30-39y,60-69y,1510,2961
Wave 4,30-39y,70-79y,506,857
Wave 4,30-39y,80y+,231,325
Wave 4,40-49y,0-9y,2002,3804
Wave 4,40-49y,10-19y,3829,6928
Wave 4,40-49y,20-29y,4944,10488
Wave 4,40-49y,30-39y,4612,8729
Wave 4,40-49y,50-59y,1932,4106
Wave 4,40-49y,60-69y,1267,2282
Wave 4,40-49y,70-79y,411,649
Wave 4,40-49y,80y+,162,234
Wave 4,50-59y,0-9y,1231,2346
Wave 4,50-59y,10-19y,2571,4502
Wave 4,50-59y,20-29y,3382,6680
Wave 4,50-59y,30-39y,3153,5648
Wave 4,50-59y,40-49y,2174,4106
Wave 4,50-59y,60-69y,854,1492
Wave 4,50-59y,70-79y,263,396
Wave 4,50-59y,80y+,106,141
Wave 4,60-69y,0-9y,622,1252
Wave 4,60-69y,10-19y,1137,2320
Wave 4,60-69y,20-29y,1590,3633
Wave 4,60-69y,30-39y,1451,2961
Wave 4,60-69y,40-49y,1015,2282
Wave 4,60-69y,50-59y,638,1492
Wave 4,60-69y,70-79y,155,274
Wave 4,60-69y,80y+,62,105
Wave 4,70-79y,0-9y,162,378
Wave 4,70-79y,10-19y,277,630
