age_decade_1,age_decade_2,n_1_before_2,n_1_2_tot,prop_1_before_2,lower_prop,upper_prop,i_wave
0-9y,10-19y,2199,4054,0.5424272323630982,0.526934913513894,0.5578385758497434,1
0-9y,20-29y,2723,6078,0.44800921355709117,0.43546203043850534,0.460622506332299,1
0-9y,30-39y,2889,5493,0.5259421081376298,0.5126328126914659,0.5392148945216207,1
0-9y,40-49y,1856,3746,0.4954618259476775,0.47933045663696955,0.511602570837135,1
0-9y,50-59y,1152,2338,0.49272882805816937,0.47227884587008806,0.5132029164305376,1
0-9y,60-69y,657,1260,0.5214285714285715,0.4934262672145555,0.5492987396814756,1
0-9y,70-79y,233,386,0.6036269430051814,0.5527299882583567,0.6524277052313893,1
0-9y,80y+,108,154,0.7012987012987013,0.6214476790968471,0.770917838138729,1
10-19y,0-9y,1855,4054,0.4575727676369018,0.4421614241502566,0.47306508648610596,1
10-19y,20-29y,4798,11351,0.42269403576777376,0.413590225332142,0.4318504064939818,1
10-19y,30-39y,4474,9395,0.4762107503991485,0.4660704042932193,0.48637064506519284,1
10-19y,40-49y,3109,6799,0.45727312840123546,0.4453857981942658,0.4692090126033921,1
10-19y,50-59y,2001,4439,0.45077720207253885,0.4360765236245213,0.4655636552648137,1
10-19y,60-69y,1238,2321,0.5333907798362775,0.5128406792035048,0.5538293634932986,1
10-19y,70-79y,370,647,0.5718701700154559,0.5326525469175044,0.6102222507571968,1
10-19y,80y+,161,214,0.7523364485981309,0.6879212950032157,0.8074968110977576,1
20-29y,0-9y,3355,6078,0.5519907864429089,0.5393774936677012,0.5645379695614948,1
20-29y,10-19y,6553,11351,0.5773059642322262,0.5681495935060183,0.586409774667858,1
20-29y,30-39y,8378,14834,0.5647836052312256,0.556755738341623,0.5727777859818167,1
20-29y,40-49y,5686,10382,0.5476786746291659,0.5380405496076274,0.5572813520032149,1
20-29y,50-59y,3465,6664,0.5199579831932774,0.5078797636641668,0.5320130626422617,1
20-29y,60-69y,2142,3653,0.5863673692855188,0.5701768768012785,0.6023748521207145,1
20-29y,70-79y,688,1050,0.6552380952380953,0.6254869627989749,0.6838387725171212,1
20-29y,80y+,306,400,0.765,0.7197362632239753,0.8050715565435164,1
30-39y,0-9y,2604,5493,0.4740578918623703,0.4607851054783793,0.4873671873085341,1
30-39y,10-19y,4921,9395,0.5237892496008515,0.5136293549348072,0.5339295957067807,1
30-39y,20-29y,6456,14834,0.43521639476877444,0.4272222140181834,0.44324426165837705,1
30-39y,40-49y,4066,8671,0.4689193864606159,0.45837419212900454,0.4794922585793637,1
30-39y,50-59y,2548,5635,0.45217391304347826,0.4391274640816967,0.4652859698036928,1
30-39y,60-69y,1518,2939,0.5165022116366111,0.4982555310706767,0.5347054042251443,1
30-39y,70-79y,526,865,0.608092485549133,0.5745666823617676,0.6406455139173114,1
30-39y,80y+,231,324,0.7129629629629629,0.6598329385926258,0.7609469943111471,1
