period,i_imput,n_pairs,n_west_before_east,prop_west_before_east,lower_prop,upper_prop
Wave 4,1,10496,7347,0.6999809451219512,0.6910940071825895,0.7087207585740994
Wave 5,1,12579,6853,0.5447968836950473,0.5360422077262008,0.5535240823624761
Wave 6,1,485347,310007,0.6387327005214826,0.6373791393206674,0.6400840639628129
Wave 7,1,31578,16797,0.5319209576287288,0.5263980657384087,0.5374360617645116
Wave 4,2,10481,7279,0.6944948001144929,0.6855583800829024,0.7032879304734996
Wave 5,2,12570,6865,0.5461416070007955,0.5373855122054504,0.5548693793389913
Wave 6,2,485501,310685,0.6399265912943537,0.6385742100689956,0.6412767565491562
Wave 7,2,31520,16517,0.5240164974619289,0.5184845868756837,0.5295425379634737
Wave 4,3,10489,7261,0.6922490227857756,0.6832988697102085,0.7010576505433916
Wave 5,3,12575,6799,0.540675944333996,0.5319149561669133,0.549411975010627
Wave 6,3,485510,309685,0.637855039031122,0.6365010018351192,0.6392068931056071
Wave 7,3,31560,16739,0.5303865652724968,0.5248612238531727,0.535904489053268
Wave 4,4,10496,7293,0.6948361280487805,0.6859088122450975,0.703620108085687
Wave 5,4,12580,6880,0.5468998410174881,0.5381482525292666,0.5556226645426259
Wave 6,4,485207,308314,0.6354277658813661,0.6340713842531163,0.6367820014898002
Wave 7,4,31635,16903,0.5343132606290502,0.5287968220296131,0.5398213429196588
Wave 4,5,10467,7310,0.6983854017387982,0.6894733177257651,0.707151130970489
Wave 5,5,12575,6866,0.5460039761431411,0.537249452218864,0.5547302733434918
Wave 6,5,485323,310496,0.6397718632745615,0.638419108087067,0.6411224041298876
Wave 7,5,31627,16332,0.5163942201283713,0.5108692372672231,0.521915209514498
Wave 4,6,10486,7332,0.6992180049589929,0.6903207007468446,0.7079686064506036
Wave 5,6,12578,6878,0.5468277945619335,0.5380754098401243,0.5555514539346975
Wave 6,6,485016,309423,0.6379645207580781,0.6366098806470806,0.6393169737875019
Wave 7,6,31634,16771,0.5301574255547828,0.5246384473628456,0.5356690592873227
Wave 4,7,10474,7289,0.6959136910444911,0.6869852390917949,0.7046977102861347
Wave 5,7,12574,6869,0.5462859869572133,0.5375314830106244,0.5550120888762726
Wave 6,7,485453,312597,0.6439284544538812,0.6425793070991748,0.6452753222321088
Wave 7,7,31599,16772,0.5307762903889364,0.5252545871629183,0.5362904901244537
Wave 4,8,10455,7304,0.6986131037780966,0.6896976412506375,0.7073818748035149
Wave 5,8,12557,6850,0.5455124631679541,0.536750991398957,0.5542459696943455
Wave 6,8,485242,311202,0.6413336026147778,0.6399820090888952,0.6426829566911467
Wave 7,8,31629,16815,0.5316323627051124,0.526113773298491,0.5371432472266037
Wave 4,9,10479,7270,0.6937684893596717,0.6848256177368219,0.702568579603703
Wave 5,9,12578,6820,0.542216568611862,0.5334583971577475,0.5509488434565356
Wave 6,9,485221,310149,0.6391912139004701,0.6378378463156344,0.640542375888929
Wave 7,9,31692,16903,0.5333522655559763,0.5278402067620911,0.5388562167027625
Wave 4,10,10479,7297,0.6963450710945701,0.6874221384834054,0.7051233218860103
Wave 5,10,12608,6886,0.5461611675126904,0.5374183808679509,0.5548757052599008
Wave 6,10,485219,311248,0.6414588051993018,0.6401072824588131,0.6428080864000073
Wave 7,10,31565,16638,0.5271028037383177,0.5215762165135622,0.5326227759773144
Wave 4,11,10469,7295,0.6968191804374821,0.6878956371257614,0.7055975533684509
Wave 5,11,12556,6932,0.5520866517999363,0.5433340810210875,0.560807215067372
Wave 6,11,485436,311566,0.6418271409619394,0.6404762239593673,0.6431758115927332
Wave 7,11,31597,16643,0.5267272209386967,0.5212032648993249,0.5322446602768016
Wave 4,12,10484,7283,0.6946776039679512,0.6857438894395146,0.7034679351541101
Wave 5,12,12563,6825,0.5432619597229961,0.5344997779285521,0.5519975718713153
Wave 6,12,485256,309968,0.6387721120398305,0.6374184554469874,0.6401235698363879
Wave 7,12,31556,16424,0.5204715426543288,0.514941490058666,0.5259965973393697
Wave 4,13,10475,7228,0.6900238663484487,0.6810508594784306,0.6988568000649905
Wave 5,13,12563,6872,0.5470031043540555,0.5382457002878084,0.5557316410336898
Wave 6,13,485284,312437,0.643822998491605,0.6424735275504919,0.6451701907330163
Wave 7,13,31643,16734,0.5288373415921372,0.5233184522805217,0.5343492099373576
Wave 4,14,10470,7315,0.6986628462273161,0.6897542513869422,0.7074249234924749
Wave 5,14,12575,6928,0.550934393638171,0.542186746436095,0.5596507888159952
Wave 6,14,485353,309139,0.636936415351301,0.6355814275178069,0.638289233910088
Wave 7,14,31478,16381,0.5203951966452761,0.5148582497137659,0.5259271519508756
Wave 4,15,10494,7260,0.6918238993710691,0.6828726814404195,0.700633972669131
Wave 5,15,12579,6850,0.5445583909690754,0.5358034144124709,0.5532860365151431
Wave 6,15,485436,310712,0.6400678977249318,0.6387155406342984,0.6414180363099125
Wave 7,15,31594,16376,0.5183262644805976,0.5127988924321455,0.5238491677559329
Wave 4,16,10481,7295,0.696021372006488,0.6870967793875196,0.7048015491920957
Wave 5,16,12571,6851,0.5449844881075491,0.5362272486395209,0.5537141176040493
Wave 6,16,485568,314123,0.646918660208251,0.6455722058991791,0.6482627881291119
Wave 7,16,31670,17094,0.5397537101357752,0.5342441189964944,0.5452536307442194
Wave 4,17,10495,7344,0.6997617913292044,0.6908726776243278,0.7085039279063355
Wave 5,17,12565,6864,0.5462793473935535,0.5375216815477629,0.5550085949053418
Wave 6,17,485160,310524,0.6400445213950037,0.63869176007736,0.6413950633149372
Wave 7,17,31522,16596,0.5264894359494956,0.5209587795350943,0.5320136182530958
Wave 4,18,10468,7269,0.6944019870080245,0.6854592312330208,0.7032013432769727
Wave 5,18,12585,6863,0.545331744139849,0.5365798487851593,0.5540558473931685
Wave 6,18,485397,310325,0.6393220394852049,0.6379690233550886,0.6406728487465524
Wave 7,18,31521,16681,0.5292027537197423,0.5236733481722301,0.5347250217791649
Wave 4,19,10472,7259,0.6931818181818182,0.6842314231032226,0.7019897692142877
Wave 5,19,12578,6861,0.5454762283351884,0.5367220696080072,0.554202490830015
Wave 6,19,485242,308328,0.6354107847218501,0.634054438779119,0.6367649850686975
Wave 7,19,31603,17086,0.5406448754865044,0.535130109681439,0.5461497329816004
Wave 4,20,10476,7245,0.6915807560137457,0.6826199097672394,0.7004003939284655
Wave 5,20,12564,6825,0.5432187201528176,0.5344568367508682,0.5519540625822335
Wave 6,20,485430,311766,0.6422470799085347,0.6408965012183399,0.6435954055473175
Wave 7,20,31583,16890,0.5347813697242187,0.5292606761959107,0.5402935789792013
Wave 4,21,10477,7271,0.6939963730075404,0.6850543872561348,0.7027953819490494
Wave 5,21,12535,6830,0.5448743518149183,0.5361043329441296,0.5536167490581422
Wave 6,21,485344,312481,0.6438340640865036,0.6424846859573853,0.6451811636224157
Wave 7,21,31454,16734,0.5320150060405672,0.5264812559486126,0.5375409146003494
Wave 4,22,10501,7321,0.6971716979335302,0.6882646999246531,0.7059337094983911
Wave 5,22,12571,6839,0.544029910110572,0.5352714729908452,0.5527613231678046
Wave 6,22,485444,310764,0.6401644679921886,0.6388122006014704,0.6415145153841979
Wave 7,22,31540,16818,0.5332276474318326,0.5277021997449288,0.5387449787874108
Wave 4,23,10454,7328,0.7009757030801607,0.692078665257265,0.7097242883974516
Wave 5,23,12547,6900,0.5499322547222444,0.5411733245633983,0.5586604792668631
Wave 6,23,484980,310685,0.6406140459400388,0.6392614973890186,0.6419643652396606
Wave 7,23,31487,16467,0.5229777368437768,0.5174425060417669,0.528507345561552
Wave 4,24,10495,7299,0.6954740352548833,0.6865512245250637,0.7042530267381953
Wave 5,24,12567,6862,0.5460332617171958,0.5372759737197269,0.5547622870056222
Wave 6,24,485364,310037,0.6387721380242457,0.637418632300005,0.6401234454412331
Wave 7,24,31571,16273,0.515441386082164,0.5099112716771371,0.5209677324334774
Wave 4,25,10482,7228,0.6895630604846403,0.680589641306773,0.6983968400218018
Wave 5,25,12584,6787,0.5393356643356644,0.5305763594527015,0.54807085140102
Wave 6,25,485161,308458,0.6357848219457046,0.6344286561862265,0.637138835822947
Wave 7,25,31538,16633,0.5273955228613102,0.5218667030846881,0.5329176504757204
Wave 4,26,10494,7257,0.691538021726701,0.6825846400832398,0.7003504692813627
Wave 5,26,12614,6896,0.5466941493578563,0.5379541584315051,0.5554055788276784
Wave 6,26,485535,310837,0.6401948366235184,0.6388427208691306,0.6415447323144939
Wave 7,26,31639,16520,0.5221403963462815,0.5166182062731718,0.5276571952722288
Wave 4,27,10475,7275,0.6945107398568019,0.6855718502686835,0.7033062457451753
Wave 5,27,12582,6867,0.5457796852646638,0.5370273189340511,0.5545039781532384
Wave 6,27,485508,310769,0.6400903795612018,0.6387381411859812,0.6414403994038378
Wave 7,27,31670,16574,0.5233343858541206,0.5178153611278156,0.5288477342661297
Wave 4,28,10486,7327,0.6987411787144765,0.6898400935915665,0.7074959126045522
Wave 5,28,12565,6805,0.54158376442499,0.5328203017734652,0.5503216922125813
Wave 6,28,485426,311697,0.6421102289535378,0.6407595315906068,0.6434586754142297
Wave 7,28,31588,16490,0.5220336836773458,0.5165069840975786,0.5275550094208269
Wave 4,29,10475,7305,0.6973747016706444,0.6884581035918014,0.7061458028005464
Wave 5,29,12598,6897,0.5474678520400064,0.5387233205265454,0.5561833118781679
Wave 6,29,485221,309596,0.6380515270361341,0.6366972431739548,0.6394036233623295
Wave 7,29,31592,16429,0.5200367181564953,0.5145096860184212,0.5255588641238407
Wave 4,30,10494,7257,0.691538021726701,0.6825846400832398,0.7003504692813627
Wave 5,30,12574,6871,0.5464450453316367,0.5376907513850686,0.5551708396453503
Wave 6,30,485588,309499,0.6373695396097103,0.6360152242594389,0.6387216798770544
Wave 7,30,31637,16908,0.5344375256819547,0.5289213412790781,0.5399453240441905
Wave 4,31,10495,7330,0.698427822772749,0.6895281282910984,0.7071815226046811
Wave 5,31,12573,6871,0.5464885071184283,0.5377339205348897,0.5552145651256917
Wave 6,31,485500,311578,0.6417672502574665,0.6404163730933663,0.6431158822945572
Wave 7,31,31607,16547,0.523523270161673,0.517998804565935,0.5290420020741576
Wave 4,32,10488,7283,0.6944126620900076,0.6854786308590963,0.7032035600368353
Wave 5,32,12557,6745,0.5371505932945767,0.5283795643873592,0.5458987950747283
Wave 6,32,485390,310578,0.6398524897505099,0.6384998934957575,0.6412028707016306
Wave 7,32,31639,16859,0.5328550207022978,0.5273380280727411,0.5383640131656141
Wave 4,33,10468,7268,0.6943064577760795,0.6853629656656869,0.7031066209144619
Wave 5,33,12587,6877,0.5463573528243426,0.537607491507936,0.5550787977568903
Wave 6,33,485541,311312,0.6411652157078392,0.6398139009185747,0.6425142950938213
Wave 7,33,31500,16808,0.5335873015873016,0.5280585565013807,0.5391078320583467
Wave 4,34,10473,7299,0.6969349756516757,0.6880140658255295,0.705710685211443
Wave 5,34,12569,6837,0.5439573553982019,0.5351981277288939,0.5526895992367369
Wave 6,34,485359,311839,0.6424914341755278,0.6411409588040851,0.6438396522946968
Wave 7,34,31634,16570,0.5238035025605361,0.5182815149184605,0.5293196931721794
Wave 4,35,10489,7306,0.6965392315759367,0.68762212458041,0.705311651933317
Wave 5,35,12564,6839,0.5443330149633875,0.5355725010723534,0.5530663035599156
Wave 6,35,485213,310133,0.6391687774235233,0.6378153805463133,0.6405199690235306
Wave 7,35,31588,16356,0.5177915664176269,0.5122635199272646,0.5233152736938149
Wave 4,36,10495,7293,0.6949023344449738,0.6859750991269451,0.7036861715491433
Wave 5,36,12575,6863,0.545765407554672,0.5370105727245748,0.5544921620453422
Wave 6,36,485342,310680,0.6401259318171516,0.6387734907617393,0.6414761530176478
Wave 7,36,31572,16371,0.5185290763968073,0.5129998305781097,0.524053800834947
Wave 4,37,10471,7272,0.6944895425460796,0.6855487598839243,0.7032869022541721
Wave 5,37,12580,6873,0.5463434022257552,0.5375910741786606,0.555067306602515
Wave 6,37,485401,308042,0.634613443317999,0.6332566971551707,0.6359680572185833
Wave 7,37,31590,17112,0.541690408357075,0.5361753286555196,0.5471953206782336
Wave 4,38,10472,7284,0.6955691367456074,0.6866371422383907,0.7043569252035701
Wave 5,38,12587,6864,0.5453245411932947,0.5365733359892662,0.5540479631361026
Wave 6,38,485239,310327,0.6395343325660139,0.6381812675903689,0.6408851865899916
Wave 7,38,31574,16679,0.5282510926711852,0.5227258577589868,0.5337694343000682
Wave 4,39,10476,7290,0.6958762886597938,0.6869484092320758,0.704659790610278
Wave 5,39,12555,6882,0.5481481481481482,0.5393894997293267,0.5568772070322083
Wave 6,39,485401,313708,0.6462862664065381,0.644939039534061,0.6476311761079467
Wave 7,39,31582,16908,0.5353682477360522,0.529847850002099,0.5408800177630358
Wave 4,40,10490,7282,0.6941849380362249,0.6852500167375336,0.7029769211900116
Wave 5,40,12562,6865,0.5464894125139309,0.5377309724458625,0.555219298419164
Wave 6,40,485402,312311,0.6434069080885534,0.6420572537425844,0.6447542908802671
Wave 7,40,31473,16538,0.5254662726781686,0.5199308355177141,0.5309954760915229
Wave 4,41,10470,7265,0.6938872970391595,0.684941445046782,0.7026901569289246
Wave 5,41,12576,6867,0.5460400763358778,0.5372859497414554,0.55476595630614
Wave 6,41,485322,310009,0.6387697240182807,0.6374161576941552,0.6401210918830857
Wave 7,41,31586,16430,0.5201671626670044,0.5146396458946595,0.5256897605227335
Wave 4,42,10477,7264,0.6933282428176004,0.6843811318439009,0.7021328698647248
Wave 5,42,12566,6864,0.5462358745822059,0.5374785020108741,0.554964857779382
Wave 6,42,485314,312665,0.6442529990892495,0.6429039304501208,0.6455997823567038
Wave 7,42,31623,16421,0.5192739461784145,0.5137493946363473,0.5247938021743653
Wave 4,43,10477,7277,0.6945690560274888,0.6856314806881458,0.7033632320809774
Wave 5,43,12578,6855,0.544999204961043,0.5362444355444533,0.5537263707740192
Wave 6,43,485196,313149,0.6454072168773032,0.6440589576490426,0.6467531718860989
Wave 7,43,31552,16488,0.5225659229208925,0.5170362583020226,0.5280900776061495
Wave 4,44,10473,7280,0.6951207867850664,0.6861857474809295,0.7039119647278944
Wave 5,44,12566,6809,0.5418589845615152,0.5330961908548469,0.5505960764471153
Wave 6,44,485130,311911,0.64294312864593,0.6415927090332287,0.6442912827811483
Wave 7,44,31586,16731,0.5296967010700944,0.5241732682639206,0.5352128906166383
Wave 4,45,10481,7282,0.6947810323442419,0.6858468212515095,0.7035717426865368
Wave 5,45,12588,6878,0.5463933905306642,0.5376439263791354,0.5551144184704895
Wave 6,45,485579,308606,0.6355423113437773,0.6341865399619252,0.6368959365366498
Wave 7,45,31570,16629,0.5267342413683878,0.5212079190844672,0.5322540396571505
Wave 4,46,10471,7324,0.699455639384968,0.6905537693487348,0.7082104206313851
Wave 5,46,12575,6868,0.5461630218687873,0.5374087063339785,0.5548890130899538
Wave 6,46,485409,310902,0.6404949228382663,0.6391428758316843,0.6418447444513714
Wave 7,46,31560,16530,0.5237642585551331,0.5182357639046863,0.5292869521446423
Wave 4,47,10481,7301,0.696593836465986,0.6876737086256048,0.7053691267049121
Wave 5,47,12560,6818,0.5428343949044586,0.5340706461529933,0.5515718303148087
Wave 6,47,485298,313490,0.6459742261455848,0.6446265902613182,0.6473195493109134
Wave 7,47,31663,17027,0.5377570034425039,0.5322453344863493,0.5432594855638431
Wave 4,48,10479,7282,0.6949136367974044,0.6859795867897507,0.7037040607964132
Wave 5,48,12563,6826,0.5433415585449335,0.5345794732489866,0.5520770253068811
Wave 6,48,485266,311939,0.6428206385776049,0.6414703067155563,0.6441687075382362
Wave 7,48,31576,16778,0.5313529262731188,0.5258295310170474,0.536868671873691
Wave 4,49,10483,7340,0.7001812458265764,0.6912903249068295,0.7089247116882692
Wave 5,49,12570,6910,0.5497215592680986,0.5409703901583266,0.5584422083925249
Wave 6,49,485063,310577,0.6402817778309209,0.6389290741511704,0.641632257907984
Wave 7,49,31639,16787,0.5305793482727014,0.5250610391477141,0.5360902113617018
Wave 4,50,10473,7279,0.6950253031605079,0.6860895246775757,0.703817290749634
Wave 5,50,12574,6858,0.5454111658978845,0.5366555229555691,0.5541389436412484
Wave 6,50,485163,310692,0.6403868390623357,0.6390343606317298,0.6417370926836581
Wave 7,50,31727,16687,0.5259558105083998,0.5204428667968775,0.5314624515725644
Wave 4,51,10506,7277,0.6926518180087569,0.6837120649481379,0.7014499789709661
Wave 5,51,12588,6883,0.5467905942167143,0.5380416574406195,0.5555108513106561
Wave 6,51,485279,310832,0.6405222562690741,0.6391700501926343,0.6418722359225632
Wave 7,51,31495,16789,0.5330687410700111,0.5275392365139512,0.5385901565540889
Wave 4,52,10491,7243,0.6904012963492517,0.6814380526364766,0.699224402986525
Wave 5,52,12559,6850,0.5454255912094912,0.5366647091788709,0.5541585658318805
Wave 6,52,485310,309703,0.6381549937153572,0.63680091706933994,0.6395068815873939
Wave 7,52,31569,16943,0.5366973930121322,0.5311767517387592,0.5422090786515479
Wave 4,53,10464,7284,0.6961009174311926,0.6871696026056259,0.7048875229005109
Wave 5,53,12587,6869,0.5457217764360054,0.536971083647238,0.5544444424550417
Wave 6,53,485201,310285,0.6394978575889168,0.6381447100136133,0.6408487946173672
Wave 7,53,31605,16632,0.5262458471760797,0.5207223698323812,0.5317629268112163
Wave 4,54,10457,7292,0.6973319307640815,0.6884072238893102,0.7061109212715946
Wave 5,54,12576,6860,0.5454834605597965,0.5367286110189475,0.5542104049858391
Wave 6,54,485450,311168,0.6409887733031208,0.6396371870879143,0.6423381264905895
Wave 7,54,31581,16673,0.5279440169722301,0.5224192433688858,0.5334619737328745
Wave 4,55,10485,7302,0.6964234620886981,0.6875037281451515,0.7051985394107275
Wave 5,55,12576,6853,0.544926844783715,0.5361712832567023,0.5536548427047957
Wave 6,55,485195,312067,0.6431785158544503,0.6418283827516994,0.6445263800529707
Wave 7,55,31615,16943,0.5359164953344931,0.5303993546568017,0.5414248837213562
Wave 4,56,10484,7336,0.6997329263639832,0.6908388582226058,0.708479884088272
Wave 5,56,12576,6823,0.542541348600509,0.5337828597677298,0.5512737374315313
Wave 6,56,485224,310895,0.6407246962227755,0.6393725787232194,0.6420745838389066
Wave 7,56,31642,16873,0.5332469502559889,0.5277304583909045,0.5387553472877088
Wave 4,57,10497,7346,0.6998189959035915,0.6909311960487999,0.7085598045755458
Wave 5,57,12575,6874,0.5466401590457256,0.5378864740510194,0.5553652269574029
Wave 6,57,485343,312666,0.64421656436788,0.6428675055054828,0.6455633385724422
Wave 7,57,31579,16549,0.5240507932486779,0.518524083740889,0.5295716352864855
Wave 4,58,10467,7266,0.6941817139581542,0.6852368281517894,0.7029833491805766
Wave 5,58,12581,6845,0.5440743979015976,0.5353195175082367,0.5528022484704376
Wave 6,58,485317,310593,0.6399796421720236,0.6386270472967512,0.6413300193957558
Wave 7,58,31598,16460,0.5209190455092094,0.5153928309580912,0.5264401596933991
