n_clusters,n_singletons,n_non_singletons,n_seq_non_singletons,i_subsample_step,curr_subsample_step,n_new_clusters,n_new_samples,n_new_clusters_per_sample,n_new_seq_non_singleton,n_new_seq_non_singleton_per_sample,n_new_clusters_non_singleton,n_new_clusters_non_singleton_per_sample,i_subsample
100,100,0,0,1,100,NA,NA,NA,NA,NA,NA,NA,1
200,200,0,0,2,200,100,100,1,0,0,0,0,1
299,298,1,2,3,300,99,100,0.99,2,0.02,1,0.01,1
398,396,2,4,4,400,99,100,0.99,2,0.02,1,0.01,1
496,492,4,8,5,500,98,100,0.98,4,0.04,2,0.02,1
595,590,5,10,6,600,99,100,0.99,2,0.02,1,0.01,1
692,684,8,16,7,700,97,100,0.97,6,0.06,3,0.03,1
790,780,10,20,8,800,98,100,0.98,4,0.04,2,0.02,1
889,878,11,22,9,900,99,100,0.99,2,0.02,1,0.01,1
984,969,15,31,10,1000,95,100,0.95,9,0.09,4,0.04,1
1945,1903,42,97,11,2000,961,1000,0.961,66,0.066,27,0.027,1
2871,2774,97,226,12,3000,926,1000,0.926,129,0.129,55,0.055,1
3785,3626,159,374,13,4000,914,1000,0.914,148,0.148,62,0.062,1
4688,4471,217,529,14,5000,903,1000,0.903,155,0.155,58,0.058,1
5550,5250,300,750,15,6000,862,1000,0.862,221,0.221,83,0.083,1
6433,6052,381,948,16,7000,883,1000,0.883,198,0.198,81,0.081,1
7295,6820,475,1180,17,8000,862,1000,0.862,232,0.232,94,0.094,1
8147,7580,567,1420,18,9000,852,1000,0.852,240,0.24,92,0.092,1
8974,8297,677,1703,19,10000,827,1000,0.827,283,0.283,110,0.11,1
9807,9033,774,1967,20,11000,833,1000,0.833,264,0.264,97,0.097,1
10607,9723,884,2277,21,12000,800,1000,0.8,310,0.31,110,0.11,1
11415,10421,994,2579,22,13000,808,1000,0.808,302,0.302,110,0.11,1
12208,11095,1113,2905,23,14000,793,1000,0.793,326,0.326,119,0.119,1
13007,11770,1237,3230,24,15000,799,1000,0.799,325,0.325,124,0.124,1
13808,12480,1328,3520,25,16000,801,1000,0.801,290,0.29,91,0.091,1
14620,13186,1434,3814,26,17000,812,1000,0.812,294,0.294,106,0.106,1
15394,13835,1559,4165,27,18000,774,1000,0.774,351,0.351,125,0.125,1
16147,14450,1697,4550,28,19000,753,1000,0.753,385,0.385,138,0.138,1
16894,15051,1843,4949,29,20000,747,1000,0.747,399,0.399,146,0.146,1
17647,15663,1984,5337,30,21000,753,1000,0.753,388,0.388,141,0.141,1
18383,16258,2125,5742,31,22000,736,1000,0.736,405,0.405,141,0.141,1
19139,16881,2258,6119,32,23000,756,1000,0.756,377,0.377,133,0.133,1
19870,17481,2389,6519,33,24000,731,1000,0.731,400,0.4,131,0.131,1
20595,18063,2532,6937,34,25000,725,1000,0.725,418,0.418,143,0.143,1
21320,18651,2669,7349,35,26000,725,1000,0.725,412,0.412,137,0.137,1
22039,19220,2819,7780,36,27000,719,1000,0.719,431,0.431,150,0.15,1
22766,19808,2958,8192,37,28000,727,1000,0.727,412,0.412,139,0.139,1
23484,20394,3090,8606,38,29000,718,1000,0.718,414,0.414,132,0.132,1
24209,20981,3228,9019,39,30000,725,1000,0.725,413,0.413,138,0.138,1
24898,21544,3354,9456,40,31000,689,1000,0.689,437,0.437,126,0.126,1
25575,22055,3520,9945,41,32000,677,1000,0.677,489,0.489,166,0.166,1
26252,22565,3687,10435,42,33000,677,1000,0.677,490,0.49,167,0.167,1
26949,23108,3841,10892,43,34000,697,1000,0.697,457,0.457,154,0.154,1
27617,23631,3986,11369,44,35000,668,1000,0.668,477,0.477,145,0.145,1
28287,24143,4144,11857,45,36000,670,1000,0.67,488,0.488,158,0.158,1
28969,24680,4289,12320,46,37000,682,1000,0.682,463,0.463,145,0.145,1
29608,25154,4454,12846,47,38000,639,1000,0.639,526,0.526,165,0.165,1
30280,25685,4595,13315,48,39000,672,1000,0.672,469,0.469,141,0.141,1
30932,26186,4746,13814,49,40000,652,1000,0.652,499,0.499,151,0.151,1
31575,26655,4920,14345,50,41000,643,1000,0.643,531,0.531,174,0.174,1
32200,27102,5098,14898,51,42000,625,1000,0.625,553,0.553,178,0.178,1
32862,27608,5254,15392,52,43000,662,1000,0.662,494,0.494,156,0.156,1
33486,28061,5425,15939,53,44000,624,1000,0.624,547,0.547,171,0.171,1
34114,28521,5593,16479,54,45000,628,1000,0.628,540,0.54,168,0.168,1
34734,28991,5743,17009,55,46000,620,1000,0.62,530,0.53,150,0.15,1
35384,29509,5875,17491,56,47000,650,1000,0.65,482,0.482,132,0.132,1
36016,29964,6052,18036,57,48000,632,1000,0.632,545,0.545,177,0.177,1
36623,30404,6219,18596,58,49000,607,1000,0.607,560,0.56,167,0.167,1
37213,30826,6387,19174,59,50000,590,1000,0.59,578,0.578,168,0.168,1
37845,31293,6552,19707,60,51000,632,1000,0.632,533,0.533,165,0.165,1
38483,31792,6691,20208,61,52000,638,1000,0.638,501,0.501,139,0.139,1
39101,32250,6851,20750,62,53000,618,1000,0.618,542,0.542,160,0.16,1
39697,32672,7025,21328,63,54000,596,1000,0.596,578,0.578,174,0.174,1
40305,33125,7180,21875,64,55000,608,1000,0.608,547,0.547,155,0.155,1
40928,33591,7337,22409,65,56000,623,1000,0.623,534,0.534,157,0.157,1
41532,34025,7507,22975,66,57000,604,1000,0.604,566,0.566,170,0.17,1
42136,34451,7685,23549,67,58000,604,1000,0.604,574,0.574,178,0.178,1
42750,34893,7857,24107,68,59000,614,1000,0.614,558,0.558,172,0.172,1
43347,35339,8008,24661,69,60000,597,1000,0.597,554,0.554,151,0.151,1
43944,35781,8163,25219,70,61000,597,1000,0.597,558,0.558,155,0.155,1
44533,36211,8322,25789,71,62000,589,1000,0.589,570,0.57,159,0.159,1
45103,36598,8505,26402,72,63000,570,1000,0.57,613,0.613,183,0.183,1
45679,37004,8675,26996,73,64000,576,1000,0.576,594,0.594,170,0.17,1
46265,37435,8830,27565,74,65000,586,1000,0.586,569,0.569,155,0.155,1
46843,37834,9009,28166,75,66000,578,1000,0.578,601,0.601,179,0.179,1
47391,38210,9181,28790,76,67000,548,1000,0.548,624,0.624,172,0.172,1
47931,38576,9355,29424,77,68000,540,1000,0.54,634,0.634,174,0.174,1
48469,38935,9534,30065,78,69000,538,1000,0.538,641,0.641,179,0.179,1
49039,39347,9692,30653,79,70000,570,1000,0.57,588,0.588,158,0.158,1
49579,39715,9864,31285,80,71000,540,1000,0.54,632,0.632,172,0.172,1
50139,40141,9998,31859,81,72000,560,1000,0.56,574,0.574,134,0.134,1
50686,40514,10172,32486,82,73000,547,1000,0.547,627,0.627,174,0.174,1
51217,40869,10348,33131,83,74000,531,1000,0.531,645,0.645,176,0.176,1
51776,41271,10505,33729,84,75000,559,1000,0.559,598,0.598,157,0.157,1
52326,41648,10678,34352,85,76000,550,1000,0.55,623,0.623,173,0.173,1
52875,42041,10834,34959,86,77000,549,1000,0.549,607,0.607,156,0.156,1
53409,42409,11000,35591,87,78000,534,1000,0.534,632,0.632,166,0.166,1
53939,42766,11173,36234,88,79000,530,1000,0.53,643,0.643,173,0.173,1
54478,43140,11338,36860,89,80000,539,1000,0.539,626,0.626,165,0.165,1
55024,43519,11505,37481,90,81000,546,1000,0.546,621,0.621,167,0.167,1
55560,43875,11685,38125,91,82000,536,1000,0.536,644,0.644,180,0.18,1
56091,44221,11870,38779,92,83000,531,1000,0.531,654,0.654,185,0.185,1
56609,44551,12058,39449,93,84000,518,1000,0.518,670,0.67,188,0.188,1
57161,44952,12209,40048,94,85000,552,1000,0.552,599,0.599,151,0.151,1
57695,45309,12386,40691,95,86000,534,1000,0.534,643,0.643,177,0.177,1
58200,45626,12574,41374,96,87000,505,1000,0.505,683,0.683,188,0.188,1
58728,45986,12742,42014,97,88000,528,1000,0.528,640,0.64,168,0.168,1
59247,46331,12916,42669,98,89000,519,1000,0.519,655,0.655,174,0.174,1
59755,46651,13104,43349,99,90000,508,1000,0.508,680,0.68,188,0.188,1
60284,47011,13273,43989,100,91000,529,1000,0.529,640,0.64,169,0.169,1
60792,47343,13449,44657,101,92000,508,1000,0.508,668,0.668,176,0.176,1
61312,47688,13624,45312,102,93000,520,1000,0.52,655,0.655,175,0.175,1
61839,48028,13811,45972,103,94000,527,1000,0.527,660,0.66,187,0.187,1
62362,48391,13971,46609,104,95000,523,1000,0.523,637,0.637,160,0.16,1
62899,48768,14131,47232,105,96000,537,1000,0.537,623,0.623,160,0.16,1
63402,49110,14292,47890,106,97000,503,1000,0.503,658,0.658,161,0.161,1
63926,49480,14446,48520,107,98000,524,1000,0.524,630,0.63,154,0.154,1
